Hong Kong, Life tables (period 5x1), Females	Last modified: 27 Sep 2022;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1986           0      0.00703  0.00698  0.13  100000     698   99396  7972856  79.73
  1986         1-4      0.00039  0.00156  1.58   99302     155  396831  7873461  79.29
  1986         5-9      0.00018  0.00089  2.59   99146      88  495520  7476629  75.41
  1986        10-14     0.00023  0.00114  2.72   99058     113  495033  6981109  70.47
  1986        15-19     0.00029  0.00146  2.90   98945     144  494423  6486076  65.55
  1986        20-24     0.00029  0.00146  2.35   98801     144  493622  5991652  60.64
  1986        25-29     0.00037  0.00186  2.64   98656     184  492850  5498031  55.73
  1986        30-34     0.00053  0.00264  2.72   98473     260  491771  5005181  50.83
  1986        35-39     0.00082  0.00408  2.59   98213     401  490098  4513410  45.96
  1986        40-44     0.00121  0.00604  2.73   97812     590  487719  4023312  41.13
  1986        45-49     0.00187  0.00933  2.82   97221     907  484128  3535593  36.37
  1986        50-54     0.00357  0.01769  2.68   96314    1704  477625  3051465  31.68
  1986        55-59     0.00515  0.02545  2.59   94611    2408  467250  2573840  27.20
  1986        60-64     0.00869  0.04260  2.74   92203    3928  452141  2106590  22.85
  1986        65-69     0.01480  0.07152  2.64   88275    6313  426476  1654449  18.74
  1986        70-74     0.02418  0.11442  2.66   81961    9378  387895  1227973  14.98
  1986        75-79     0.04082  0.18532  2.52   72583   13451  329549   840077  11.57
  1986        80-84     0.07056  0.30155  2.59   59132   17832  252707   510528   8.63
  1986        85-89     0.12216  0.46380  2.41   41301   19155  156799   257821   6.24
  1986        90-94     0.18730  0.62182  2.30   22145   13770   73522   101022   4.56
  1986        95-99     0.28277  0.77469  2.08    8375    6488   22945    27501   3.28
  1986       100-104    0.40188  0.88335  1.83    1887    1667    4148     4556   2.41
  1986       105-109    0.53400  0.94418  1.58     220     208     389      408   1.86
  1986       110+       0.64211  1.00000  1.56      12      12      19       19   1.56
  1987           0      0.00651  0.00648  0.14  100000     648   99440  7986910  79.87
  1987         1-4      0.00031  0.00124  1.57   99352     123  397111  7887469  79.39
  1987         5-9      0.00015  0.00076  2.72   99230      76  495976  7490358  75.49
  1987        10-14     0.00013  0.00067  2.91   99154      67  495631  6994383  70.54
  1987        15-19     0.00019  0.00093  2.89   99088      92  495244  6498752  65.59
  1987        20-24     0.00029  0.00143  2.39   98996     142  494609  6003508  60.64
  1987        25-29     0.00040  0.00200  2.82   98854     197  493841  5508899  55.73
  1987        30-34     0.00056  0.00279  2.50   98657     276  492596  5015058  50.83
  1987        35-39     0.00081  0.00404  2.76   98381     398  491017  4522462  45.97
  1987        40-44     0.00099  0.00494  2.59   97984     484  488754  4031445  41.14
  1987        45-49     0.00176  0.00878  2.85   97500     856  485659  3542691  36.34
  1987        50-54     0.00318  0.01581  2.72   96644    1528  479744  3057033  31.63
  1987        55-59     0.00509  0.02513  2.66   95116    2391  469991  2577289  27.10
  1987        60-64     0.00882  0.04324  2.68   92725    4009  454331  2107298  22.73
  1987        65-69     0.01469  0.07098  2.64   88716    6297  428719  1652966  18.63
  1987        70-74     0.02454  0.11595  2.63   82419    9556  389436  1224248  14.85
  1987        75-79     0.04011  0.18291  2.60   72862   13327  332290   834811  11.46
