Lithuania, Life tables (period 5x1), Females	Last modified: 29 Jan 2022;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1959           0      0.04732  0.04565  0.23  100000    4565   96486  7063418  70.63
  1959         1-4      0.00221  0.00878  1.45   95435     838  379604  6966932  73.00
  1959         5-9      0.00060  0.00300  2.20   94596     284  472185  6587328  69.64
  1959        10-14     0.00055  0.00273  2.50   94312     258  470917  6115143  64.84
  1959        15-19     0.00076  0.00381  2.58   94054     358  469404  5644226  60.01
  1959        20-24     0.00100  0.00501  2.63   93696     469  467365  5174822  55.23
  1959        25-29     0.00119  0.00594  2.51   93226     553  464756  4707457  50.49
  1959        30-34     0.00148  0.00735  2.48   92673     681  461649  4242701  45.78
  1959        35-39     0.00209  0.01038  2.62   91992     955  457686  3781052  41.10
  1959        40-44     0.00281  0.01394  2.48   91037    1269  451990  3323366  36.51
  1959        45-49     0.00373  0.01847  2.58   89768    1658  444830  2871376  31.99
  1959        50-54     0.00561  0.02771  2.74   88111    2441  435035  2426546  27.54
  1959        55-59     0.00788  0.03868  2.63   85669    3313  420498  1991511  23.25
  1959        60-64     0.01509  0.07301  2.77   82356    6013  398395  1571013  19.08
  1959        65-69     0.02203  0.10486  2.70   76343    8005  363337  1172618  15.36
  1959        70-74     0.04366  0.19875  2.74   68337   13582  311059   809282  11.84
  1959        75-79     0.06848  0.29399  2.59   54755   16098  235060   498223   9.10
  1959        80-84     0.11265  0.43638  2.42   38658   16869  149756   263163   6.81
  1959        85-89     0.16902  0.57387  2.20   21788   12504   73977   113407   5.20
  1959        90-94     0.21323  0.66636  2.19    9285    6187   29015    39430   4.25
  1959        95-99     0.28056  0.76674  2.04    3098    2375    8466    10415   3.36
  1959       100-104    0.35915  0.84720  1.88     723     612    1705     1949   2.70
  1959       105-109    0.44602  0.90478  1.72     110     100     224      244   2.21
  1959       110+       0.51772  1.00000  1.93      11      11      20       20   1.93
  1960           0      0.03479  0.03383  0.18  100000    3383   97232  7302319  73.02
  1960         1-4      0.00161  0.00640  1.63   96617     618  385005  7205087  74.57
  1960         5-9      0.00074  0.00367  2.41   95999     352  479084  6820083  71.04
  1960        10-14     0.00053  0.00265  2.58   95647     253  477621  6340999  66.30
  1960        15-19     0.00080  0.00401  2.92   95393     382  476173  5863378  61.47
  1960        20-24     0.00097  0.00486  2.65   95011     461  473972  5387206  56.70
  1960        25-29     0.00133  0.00661  2.68   94550     625  471302  4913234  51.96
  1960        30-34     0.00142  0.00707  2.52   93925     664  467981  4441932  47.29
  1960        35-39     0.00191  0.00950  2.67   93261     886  464240  3973951  42.61
  1960        40-44     0.00261  0.01296  2.59   92375    1197  458987  3509711  37.99
  1960        45-49     0.00376  0.01864  2.57   91177    1700  451757  3050725  33.46
  1960        50-54     0.00581  0.02867  2.66   89478    2565  441390  2598968  29.05
  1960        55-59     0.00791  0.03883  2.60   86913    3374  426461  2157578  24.82
  1960        60-64     0.01279  0.06201  2.53   83538    5180  404888  1731117  20.72
  1960        65-69     0.01928  0.09203  2.54   78358    7211  374036  1326229  16.93
  1960        70-74     0.03495  0.16155  2.66   71147   11494  328885   952193  13.38
  1960        75-79     0.05423  0.23915  2.53   59653   14266  263092   623309  10.45
  1960        80-84     0.09390  0.37764  2.41   45387   17140  182540   360216   7.94
  1960        85-89     0.13157  0.48787  2.35   28247   13781  104741   177676   6.29
  1960        90-94     0.17447  0.59016  2.26   14466    8537   48932    72935   5.04
  1960        95-99     0.22746  0.68963  2.15    5929    4089   17975    24003   4.05
  1960       100-104    0.29062  0.77799  2.01    1840    1432    4926     6028   3.28
  1960       105-109    0.36289  0.84933  1.87     409     347     956     1102   2.70
  1960       110+       0.42246  1.00000  2.37      62      62     146      146   2.37
  1961           0      0.03119  0.03040  0.17  100000    3040   97470  7360651  73.61
  1961         1-4      0.00145  0.00580  1.55   96960     562  386464  7263181  74.91
  1961         5-9      0.00055  0.00273  2.05   96398     263  481214  6876718  71.34
  1961        10-14     0.00034  0.00168  2.38   96135     162  480253  6395503  66.53
  1961        15-19     0.00058  0.00290  2.71   95974     279  479230  5915251  61.63
  1961        20-24     0.00081  0.00406  2.50   95695     389  477504  5436021  56.81
  1961        25-29     0.00091  0.00456  2.37   95306     434  475391  4958517  52.03
  1961        30-34     0.00119  0.00594  2.51   94872     563  472960  4483126  47.25
  1961        35-39     0.00166  0.00825  2.31   94309     778  469454  4010167  42.52
  1961        40-44     0.00228  0.01131  2.35   93531    1058  464854  3540713  37.86
  1961        45-49     0.00337  0.01669  2.51   92473    1543  458522  3075858  33.26
  1961        50-54     0.00497  0.02455  2.46   90930    2233  448968  2617336  28.78
  1961        55-59     0.00748  0.03676  2.58   88697    3260  435605  2168368  24.45
  1961        60-64     0.01267  0.06144  2.55   85437    5249  414321  1732763  20.28
  1961        65-69     0.01878  0.08981  2.57   80188    7202  383401  1318442  16.44
  1961        70-74     0.03664  0.16849  2.62   72986   12297  335634   935040  12.81
  1961        75-79     0.06135  0.26596  2.50   60689   16141  263082   599407   9.88
  1961        80-84     0.09681  0.38677  2.40   44548   17230  177980   336325   7.55
  1961        85-89     0.14610  0.52247  2.27   27318   14273   97696   158345   5.80
  1961        90-94     0.19053  0.62415  2.24   13045    8142   42735    60650   4.65
  1961        95-99     0.25456  0.73224  2.10    4903    3590   14103    17915   3.65
  1961       100-104    0.33097  0.82229  1.94    1313    1080    3262     3812   2.90
  1961       105-109    0.41729  0.88879  1.77     233     207     497      550   2.36
  1961       110+       0.48901  1.00000  2.04      26      26      53       53   2.04
  1962           0      0.03102  0.03023  0.17  100000    3023   97482  7246135  72.46
  1962         1-4      0.00176  0.00701  1.42   96977     680  386149  7148653  73.72
  1962         5-9      0.00063  0.00315  1.93   96296     303  480552  6762504  70.23
  1962        10-14     0.00047  0.00233  2.12   95993     224  479323  6281953  65.44
  1962        15-19     0.00057  0.00283  2.79   95770     271  478249  5802630  60.59
  1962        20-24     0.00092  0.00460  2.35   95498     440  476325  5324381  55.75
  1962        25-29     0.00097  0.00485  2.72   95059     461  474241  4848056  51.00
  1962        30-34     0.00143  0.00712  2.54   94598     673  471330  4373815  46.24
  1962        35-39     0.00188  0.00938  2.61   93924     881  467518  3902485  41.55
  1962        40-44     0.00267  0.01328  2.43   93044    1236  462048  3434967  36.92
  1962        45-49     0.00329  0.01634  2.58   91808    1500  455413  2972919  32.38
  1962        50-54     0.00502  0.02478  2.46   90307    2238  445853  2517506  27.88
  1962        55-59     0.00773  0.03790  2.50   88070    3338  432004  2071653  23.52
  1962        60-64     0.01395  0.06757  2.69   84732    5726  410428  1639650  19.35
  1962        65-69     0.02214  0.10488  2.50   79006    8286  374298  1229222  15.56
  1962        70-74     0.03773  0.17285  2.57   70720   12224  323943   854923  12.09
  1962        75-79     0.06669  0.28423  2.40   58496   16626  249315   530980   9.08
  1962        80-84     0.11274  0.43574  2.39   41870   18244  161820   281665   6.73
  1962        85-89     0.16870  0.58071  2.32   23626   13720   81325   119845   5.07
  1962        90-94     0.23398  0.70301  2.16    9906    6964   29763    38520   3.89
  1962        95-99     0.31995  0.81323  1.98    2942    2393    7478     8757   2.98
  1962       100-104    0.41987  0.89187  1.78     549     490    1167     1279   2.33
  1962       105-109    0.52697  0.94017  1.58      59      56     106      112   1.88
  1962       110+       0.61418  1.00000  1.63       4       4       6        6   1.63
  1963           0      0.03017  0.02942  0.16  100000    2942   97539  7385413  73.85
  1963         1-4      0.00129  0.00515  1.34   97058     499  386902  7287874  75.09
  1963         5-9      0.00051  0.00255  2.13   96558     246  482083  6900972  71.47
  1963        10-14     0.00047  0.00233  2.66   96312     224  481035  6418889  66.65
  1963        15-19     0.00050  0.00250  2.46   96088     240  479828  5937854  61.80
  1963        20-24     0.00098  0.00488  2.38   95848     468  478013  5458026  56.94
  1963        25-29     0.00097  0.00483  2.47   95380     461  475734  4980013  52.21
  1963        30-34     0.00145  0.00722  2.55   94919     686  472911  4504279  47.45
  1963        35-39     0.00173  0.00859  2.62   94233     810  469238  4031368  42.78
  1963        40-44     0.00249  0.01238  2.52   93423    1157  464244  3562129  38.13
  1963        45-49     0.00302  0.01501  2.56   92266    1385  457957  3097885  33.58
  1963        50-54     0.00538  0.02654  2.45   90882    2412  448264  2639928  29.05
  1963        55-59     0.00701  0.03450  2.66   88469    3052  435216  2191665  24.77
  1963        60-64     0.01236  0.06009  2.72   85418    5132  415374  1756449  20.56
  1963        65-69     0.02042  0.09723  2.55   80285    7806  382293  1341075  16.70
  1963        70-74     0.03287  0.15219  2.56   72479   11030  335537   958782  13.23
  1963        75-79     0.05724  0.25062  2.52   61449   15401  269058   623245  10.14
  1963        80-84     0.09477  0.38260  2.48   46049   17618  185900   354187   7.69
  1963        85-89     0.13831  0.50776  2.38   28430   14436  104375   168287   5.92
  1963        90-94     0.19313  0.63009  2.24   13995    8818   45657    63913   4.57
  1963        95-99     0.26404  0.74641  2.09    5177    3864   14634    18256   3.53
  1963       100-104    0.34927  0.83996  1.91    1313    1103    3157     3622   2.76
  1963       105-109    0.44521  0.90529  1.72     210     190     427      465   2.21
  1963       110+       0.52511  1.00000  1.90      20      20      38       38   1.90
  1964           0      0.02564  0.02509  0.15  100000    2509   97858  7505162  75.05
  1964         1-4      0.00107  0.00427  1.50   97491     416  388924  7407304  75.98
  1964         5-9      0.00052  0.00262  2.55   97075     254  484754  7018380  72.30
  1964        10-14     0.00058  0.00288  2.30   96821     279  483354  6533626  67.48
  1964        15-19     0.00068  0.00339  2.67   96542     328  481948  6050272  62.67
  1964        20-24     0.00089  0.00442  2.32   96215     426  479933  5568324  57.87
  1964        25-29     0.00085  0.00423  2.71   95789     406  478015  5088392  53.12
  1964        30-34     0.00115  0.00572  2.68   95383     545  475654  4610376  48.34
  1964        35-39     0.00157  0.00780  2.64   94838     740  472441  4134722  43.60
  1964        40-44     0.00220  0.01092  2.54   94098    1028  467965  3662281  38.92
  1964        45-49     0.00317  0.01572  2.53   93070    1463  461738  3194317  34.32
  1964        50-54     0.00450  0.02223  2.58   91607    2037  453111  2732579  29.83
  1964        55-59     0.00695  0.03422  2.66   89570    3065  440681  2279468  25.45
  1964        60-64     0.01194  0.05813  2.76   86505    5029  421247  1838787  21.26
  1964        65-69     0.01825  0.08753  2.66   81476    7132  390702  1417540  17.40
  1964        70-74     0.03307  0.15342  2.65   74344   11406  344937  1026838  13.81
  1964        75-79     0.05356  0.23829  2.69   62939   14997  279994   681900  10.83
  1964        80-84     0.08459  0.34871  2.48   47941   16718  197630   401906   8.38
  1964        85-89     0.12079  0.46052  2.42   31224   14379  119037   204277   6.54
  1964        90-94     0.17069  0.58318  2.28   16844    9823   57550    85239   5.06
  1964        95-99     0.23218  0.69873  2.15    7021    4906   21130    27689   3.94
  1964       100-104    0.30719  0.79835  1.99    2115    1689    5497     6559   3.10
  1964       105-109    0.39375  0.87387  1.82     427     373     947     1062   2.49
  1964       110+       0.46616  1.00000  2.15      54      54     115      115   2.15
  1965           0      0.02194  0.02153  0.13  100000    2153   98131  7474649  74.75
  1965         1-4      0.00127  0.00506  1.49   97847     495  390144  7376518  75.39
  1965         5-9      0.00050  0.00251  2.27   97352     244  486089  6986374  71.76
  1965        10-14     0.00043  0.00216  2.62   97107     209  485038  6500285  66.94
  1965        15-19     0.00053  0.00264  2.76   96898     256  483916  6015247  62.08
  1965        20-24     0.00074  0.00370  2.61   96642     357  482354  5531331  57.24
  1965        25-29     0.00087  0.00432  2.40   96285     416  480342  5048977  52.44
  1965        30-34     0.00105  0.00523  2.64   95869     501  478162  4568635  47.65
  1965        35-39     0.00160  0.00799  2.66   95368     762  475053  4090473  42.89
  1965        40-44     0.00234  0.01161  2.60   94605    1099  470393  3615420  38.22
  1965        45-49     0.00337  0.01673  2.58   93507    1564  463742  3145027  33.63
  1965        50-54     0.00450  0.02227  2.66   91943    2048  454930  2681284  29.16
  1965        55-59     0.00707  0.03476  2.67   89895    3125  442205  2226355  24.77
  1965        60-64     0.01234  0.05990  2.57   86770    5198  421238  1784150  20.56
  1965        65-69     0.01993  0.09522  2.66   81572    7767  389679  1362912  16.71
  1965        70-74     0.03250  0.15030  2.50   73805   11093  341308   973233  13.19
  1965        75-79     0.06040  0.26462  2.66   62712   16595  274731   631925  10.08
  1965        80-84     0.09084  0.36868  2.45   46117   17002  187165   357195   7.75
  1965        85-89     0.14047  0.51011  2.32   29115   14852  105728   170030   5.84
  1965        90-94     0.19551  0.63511  2.24   14263    9059   46333    64302   4.51
  1965        95-99     0.27010  0.75499  2.08    5204    3929   14548    17968   3.45
  1965       100-104    0.35992  0.84942  1.89    1275    1083    3009     3421   2.68
  1965       105-109    0.46064  0.91335  1.70     192     175     381      411   2.14
  1965       110+       0.54446  1.00000  1.84      17      17      31       31   1.84
  1966           0      0.02047  0.02011  0.13  100000    2011   98242  7511734  75.12
  1966         1-4      0.00105  0.00418  1.71   97989     410  391017  7413492  75.66
  1966         5-9      0.00038  0.00188  2.69   97579     184  487471  7022475  71.97
  1966        10-14     0.00039  0.00195  2.51   97396     190  486504  6535004  67.10
  1966        15-19     0.00062  0.00307  2.57   97205     299  485300  6048500  62.22
  1966        20-24     0.00088  0.00440  2.83   96907     427  483606  5563200  57.41
  1966        25-29     0.00088  0.00441  2.56   96480     425  481363  5079594  52.65
  1966        30-34     0.00100  0.00500  2.62   96054     480  479128  4598231  47.87
  1966        35-39     0.00176  0.00878  2.42   95574     839  475706  4119102  43.10
  1966        40-44     0.00204  0.01014  2.64   94735     960  471410  3643396  38.46
  1966        45-49     0.00315  0.01564  2.65   93775    1467  465427  3171986  33.83
  1966        50-54     0.00475  0.02347  2.75   92308    2167  456666  2706559  29.32
  1966        55-59     0.00718  0.03531  2.66   90141    3183  443256  2249893  24.96
  1966        60-64     0.01100  0.05354  2.56   86958    4656  423418  1806637  20.78
  1966        65-69     0.01960  0.09368  2.64   82303    7710  393339  1383219  16.81
  1966        70-74     0.03468  0.16023  2.63   74593   11952  344657   989880  13.27
  1966        75-79     0.05743  0.25275  2.63   62640   15832  275675   645223  10.30
  1966        80-84     0.08838  0.36148  2.48   46808   16920  191436   369548   7.89
  1966        85-89     0.13644  0.50147  2.36   29888   14988  109849   178112   5.96
  1966        90-94     0.19111  0.62675  2.26   14900    9339   48867    68263   4.58
  1966        95-99     0.26655  0.75057  2.09    5561    4174   15660    19397   3.49
  1966       100-104    0.35806  0.84817  1.90    1387    1177    3286     3737   2.69
  1966       105-109    0.46109  0.91378  1.70     211     192     417      451   2.14
  1966       110+       0.54699  1.00000  1.83      18      18      33       33   1.83
  1967           0      0.01800  0.01772  0.12  100000    1772   98435  7547802  75.48
  1967         1-4      0.00129  0.00513  1.52   98228     504  391662  7449367  75.84
  1967         5-9      0.00049  0.00245  2.27   97725     239  487970  7057705  72.22
  1967        10-14     0.00030  0.00150  2.74   97485     147  487095  6569735  67.39
  1967        15-19     0.00042  0.00211  2.80   97339     205  486241  6082640  62.49
  1967        20-24     0.00067  0.00335  2.65   97133     325  484904  5596399  57.62
  1967        25-29     0.00075  0.00373  2.83   96808     361  483257  5111495  52.80
  1967        30-34     0.00089  0.00445  2.63   96447     429  481219  4628239  47.99
  1967        35-39     0.00141  0.00702  2.49   96018     675  478394  4147020  43.19
  1967        40-44     0.00216  0.01073  2.58   95344    1023  474242  3668626  38.48
  1967        45-49     0.00327  0.01623  2.63   94321    1531  467977  3194384  33.87
  1967        50-54     0.00515  0.02543  2.49   92790    2359  458023  2726407  29.38
  1967        55-59     0.00645  0.03179  2.78   90430    2875  445755  2268384  25.08
  1967        60-64     0.01094  0.05331  2.59   87555    4668  426533  1822629  20.82
  1967        65-69     0.01977  0.09455  2.71   82887    7837  396451  1396096  16.84
  1967        70-74     0.03502  0.16153  2.60   75050   12123  346158   999645  13.32
  1967        75-79     0.05350  0.23647  2.55   62927   14880  278141   653487  10.38
  1967        80-84     0.09257  0.37368  2.42   48047   17954  193951   375346   7.81
  1967        85-89     0.13856  0.50754  2.37   30093   15273  110230   181395   6.03
