Japan, Life tables (period 1x5), Males	Last modified: 05 Feb 2024;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1947-1949        0      0.07741  0.07333  0.28  100000    7333   94725  5362248  53.62
1947-1949        1      0.02346  0.02319  0.50   92667    2149   91593  5267522  56.84
1947-1949        2      0.01285  0.01277  0.50   90518    1156   89940  5175930  57.18
1947-1949        3      0.00888  0.00884  0.50   89363     790   88968  5085989  56.91
1947-1949        4      0.00589  0.00588  0.50   88573     521   88313  4997022  56.42
1947-1949        5      0.00413  0.00412  0.50   88052     363   87871  4908709  55.75
1947-1949        6      0.00319  0.00318  0.50   87689     279   87550  4820838  54.98
1947-1949        7      0.00263  0.00262  0.50   87410     229   87296  4733288  54.15
1947-1949        8      0.00209  0.00209  0.50   87181     182   87090  4645992  53.29
1947-1949        9      0.00184  0.00183  0.50   86999     160   86919  4558902  52.40
1947-1949       10      0.00169  0.00169  0.50   86839     147   86766  4471983  51.50
1947-1949       11      0.00149  0.00149  0.50   86692     129   86628  4385218  50.58
1947-1949       12      0.00147  0.00147  0.50   86563     127   86500  4298590  49.66
1947-1949       13      0.00152  0.00152  0.50   86436     131   86370  4212090  48.73
1947-1949       14      0.00171  0.00171  0.50   86305     147   86231  4125720  47.80
1947-1949       15      0.00214  0.00214  0.50   86158     184   86065  4039489  46.88
1947-1949       16      0.00268  0.00268  0.50   85973     230   85858  3953423  45.98
1947-1949       17      0.00349  0.00348  0.50   85743     298   85594  3867565  45.11
1947-1949       18      0.00438  0.00437  0.50   85445     373   85258  3781971  44.26
1947-1949       19      0.00552  0.00551  0.50   85071     468   84837  3696714  43.45
1947-1949       20      0.00640  0.00638  0.50   84603     539   84333  3611877  42.69
1947-1949       21      0.00700  0.00697  0.50   84063     586   83770  3527544  41.96
1947-1949       22      0.00751  0.00748  0.50   83477     624   83165  3443773  41.25
1947-1949       23      0.00792  0.00789  0.50   82853     654   82526  3360609  40.56
1947-1949       24      0.00812  0.00809  0.50   82199     665   81866  3278083  39.88
1947-1949       25      0.00806  0.00803  0.50   81534     655   81207  3196217  39.20
1947-1949       26      0.00788  0.00784  0.50   80879     634   80562  3115010  38.51
1947-1949       27      0.00782  0.00779  0.50   80245     625   79932  3034448  37.81
1947-1949       28      0.00752  0.00749  0.50   79620     597   79321  2954516  37.11
1947-1949       29      0.00761  0.00758  0.50   79023     599   78724  2875195  36.38
1947-1949       30      0.00725  0.00723  0.50   78424     567   78141  2796471  35.66
1947-1949       31      0.00724  0.00722  0.50   77857     562   77576  2718331  34.91
1947-1949       32      0.00732  0.00729  0.50   77295     564   77014  2640754  34.16
1947-1949       33      0.00743  0.00740  0.50   76732     568   76448  2563741  33.41
1947-1949       34      0.00738  0.00735  0.50   76164     560   75884  2487293  32.66
1947-1949       35      0.00741  0.00738  0.50   75604     558   75325  2411409  31.90
1947-1949       36      0.00754  0.00751  0.50   75046     564   74764  2336084  31.13
1947-1949       37      0.00766  0.00763  0.50   74482     568   74198  2261320  30.36
1947-1949       38      0.00776  0.00773  0.50   73914     571   73628  2187122  29.59
1947-1949       39      0.00791  0.00787  0.50   73343     578   73054  2113494  28.82
1947-1949       40      0.00808  0.00804  0.50   72765     585   72473  2040440  28.04
1947-1949       41      0.00839  0.00835  0.50   72180     603   71879  1967967  27.26
1947-1949       42      0.00860  0.00857  0.50   71577     613   71271  1896089  26.49
1947-1949       43      0.00916  0.00912  0.50   70964     647   70640  1824818  25.71
1947-1949       44      0.00960  0.00955  0.50   70317     672   69981  1754178  24.95
1947-1949       45      0.00993  0.00988  0.50   69645     688   69301  1684197  24.18
1947-1949       46      0.01035  0.01029  0.50   68957     710   68602  1614896  23.42
1947-1949       47      0.01100  0.01094  0.50   68247     746   67874  1546294  22.66
1947-1949       48      0.01151  0.01144  0.50   67501     772   67114  1478420  21.90
1947-1949       49      0.01261  0.01253  0.50   66728     836   66310  1411306  21.15
1947-1949       50      0.01338  0.01329  0.50   65892     876   65454  1344995  20.41
1947-1949       51      0.01446  0.01435  0.50   65016     933   64550  1279541  19.68
1947-1949       52      0.01543  0.01531  0.50   64083     981   63593  1214992  18.96
1947-1949       53      0.01692  0.01678  0.50   63102    1059   62573  1151399  18.25
1947-1949       54      0.01821  0.01804  0.50   62043    1119   61483  1088826  17.55
1947-1949       55      0.01947  0.01928  0.50   60924    1175   60336  1027343  16.86
1947-1949       56      0.02064  0.02043  0.50   59749    1221   59139   967007  16.18
1947-1949       57      0.02297  0.02271  0.50   58529    1329   57864   907868  15.51
1947-1949       58      0.02599  0.02565  0.50   57199    1467   56466   850004  14.86
1947-1949       59      0.02743  0.02706  0.50   55732    1508   54978   793538  14.24
1947-1949       60      0.03020  0.02975  0.50   54224    1613   53417   738560  13.62
1947-1949       61      0.03253  0.03201  0.50   52611    1684   51769   685143  13.02
1947-1949       62      0.03636  0.03572  0.50   50927    1819   50017   633374  12.44
1947-1949       63      0.03949  0.03873  0.50   49108    1902   48157   583357  11.88
1947-1949       64      0.04294  0.04204  0.50   47206    1985   46214   535200  11.34
1947-1949       65      0.04660  0.04554  0.50   45221    2059   44192   488987  10.81
1947-1949       66      0.05025  0.04902  0.50   43162    2116   42104   444795  10.31
1947-1949       67      0.05518  0.05369  0.50   41046    2204   39944   402691   9.81
1947-1949       68      0.06013  0.05837  0.50   38842    2267   37709   362747   9.34
1947-1949       69      0.06398  0.06200  0.50   36575    2268   35441   325038   8.89
1947-1949       70      0.06939  0.06706  0.50   34307    2301   33157   289597   8.44
1947-1949       71      0.07466  0.07198  0.50   32007    2304   30855   256440   8.01
1947-1949       72      0.08160  0.07840  0.50   29703    2329   28539   225585   7.59
1947-1949       73      0.08765  0.08397  0.50   27374    2299   26225   197047   7.20
1947-1949       74      0.09499  0.09069  0.50   25076    2274   23939   170822   6.81
1947-1949       75      0.10208  0.09712  0.50   22802    2215   21694   146883   6.44
1947-1949       76      0.10659  0.10119  0.50   20587    2083   19545   125189   6.08
1947-1949       77      0.11864  0.11200  0.50   18504    2072   17468   105643   5.71
1947-1949       78      0.13213  0.12394  0.50   16431    2036   15413    88176   5.37
1947-1949       79      0.14673  0.13670  0.50   14395    1968   13411    72763   5.05
1947-1949       80      0.15531  0.14412  0.50   12427    1791   11532    59351   4.78
1947-1949       81      0.17236  0.15869  0.50   10636    1688    9792    47820   4.50
1947-1949       82      0.18127  0.16621  0.50    8948    1487    8205    38027   4.25
1947-1949       83      0.20133  0.18291  0.50    7461    1365    6779    29823   4.00
1947-1949       84      0.20594  0.18671  0.50    6096    1138    5527    23044   3.78
1947-1949       85      0.23133  0.20734  0.50    4958    1028    4444    17517   3.53
1947-1949       86      0.25478  0.22599  0.50    3930     888    3486    13073   3.33
1947-1949       87      0.26938  0.23741  0.50    3042     722    2681     9587   3.15
1947-1949       88      0.28751  0.25137  0.50    2320     583    2028     6906   2.98
1947-1949       89      0.31629  0.27310  0.50    1737     474    1499     4878   2.81
1947-1949       90      0.33092  0.28394  0.50    1262     358    1083     3378   2.68
1947-1949       91      0.36616  0.30950  0.50     904     280     764     2295   2.54
1947-1949       92      0.36670  0.30989  0.50     624     193     527     1531   2.45
1947-1949       93      0.39178  0.32760  0.50     431     141     360     1004   2.33
1947-1949       94      0.39853  0.33231  0.50     290      96     242      644   2.22
1947-1949       95      0.44609  0.36474  0.50     193      71     158      402   2.08
1947-1949       96      0.47046  0.38087  0.50     123      47      99      244   1.99
1947-1949       97      0.49497  0.39677  0.50      76      30      61      145   1.90
1947-1949       98      0.51950  0.41238  0.50      46      19      36       84   1.82
1947-1949       99      0.54394  0.42764  0.50      27      12      21       47   1.75
1947-1949      100      0.56817  0.44247  0.50      15       7      12       26   1.68
1947-1949      101      0.59208  0.45684  0.50       9       4       7       14   1.62
1947-1949      102      0.61556  0.47069  0.50       5       2       4        7   1.57
1947-1949      103      0.63852  0.48400  0.50       2       1       2        4   1.52
1947-1949      104      0.66086  0.49672  0.50       1       1       1        2   1.47
1947-1949      105      0.68250  0.50885  0.50       1       0       0        1   1.43
1947-1949      106      0.70338  0.52037  0.50       0       0       0        0   1.39
1947-1949      107      0.72345  0.53128  0.50       0       0       0        0   1.36
1947-1949      108      0.74266  0.54156  0.50       0       0       0        0   1.33
1947-1949      109      0.76097  0.55123  0.50       0       0       0        0   1.30
1947-1949      110+     0.77837  1.00000  1.28       0       0       0        0   1.28
1950-1954        0      0.05546  0.05313  0.21  100000    5313   95798  6036770  60.37
1950-1954        1      0.01064  0.01058  0.50   94687    1002   94186  5940972  62.74
1950-1954        2      0.00790  0.00787  0.50   93685     737   93317  5846786  62.41
1950-1954        3      0.00598  0.00596  0.50   92948     554   92671  5753469  61.90
1950-1954        4      0.00404  0.00403  0.50   92394     373   92208  5660798  61.27
1950-1954        5      0.00279  0.00279  0.50   92022     256   91893  5568590  60.51
1950-1954        6      0.00209  0.00209  0.50   91765     192   91669  5476697  59.68
1950-1954        7      0.00167  0.00167  0.50   91574     153   91497  5385027  58.81
1950-1954        8      0.00139  0.00139  0.50   91421     127   91357  5293530  57.90
1950-1954        9      0.00114  0.00114  0.50   91294     104   91242  5202173  56.98
1950-1954       10      0.00102  0.00102  0.50   91190      93   91143  5110931  56.05
1950-1954       11      0.00091  0.00091  0.50   91097      83   91055  5019788  55.10
1950-1954       12      0.00090  0.00090  0.50   91014      81   90973  4928732  54.15
1950-1954       13      0.00091  0.00091  0.50   90932      83   90891  4837760  53.20
1950-1954       14      0.00098  0.00098  0.50   90850      89   90805  4746869  52.25
1950-1954       15      0.00116  0.00116  0.50   90760     105   90708  4656064  51.30
1950-1954       16      0.00145  0.00145  0.50   90655     131   90590  4565356  50.36
1950-1954       17      0.00185  0.00185  0.50   90524     167   90440  4474766  49.43
1950-1954       18      0.00227  0.00226  0.50   90357     205   90254  4384325  48.52
1950-1954       19      0.00270  0.00270  0.50   90152     243   90031  4294071  47.63
1950-1954       20      0.00304  0.00303  0.50   89909     272   89773  4204040  46.76
1950-1954       21      0.00330  0.00330  0.50   89637     296   89489  4114268  45.90
1950-1954       22      0.00354  0.00353  0.50   89341     316   89183  4024779  45.05
1950-1954       23      0.00373  0.00373  0.50   89025     332   88859  3935596  44.21
1950-1954       24      0.00391  0.00391  0.50   88693     346   88520  3846737  43.37
1950-1954       25      0.00388  0.00388  0.50   88347     343   88176  3758216  42.54
1950-1954       26      0.00397  0.00396  0.50   88005     349   87830  3670041  41.70
1950-1954       27      0.00386  0.00386  0.50   87656     338   87487  3582211  40.87
1950-1954       28      0.00391  0.00390  0.50   87318     340   87148  3494724  40.02
1950-1954       29      0.00412  0.00411  0.50   86977     357   86799  3407576  39.18
1950-1954       30      0.00400  0.00399  0.50   86620     345   86447  3320778  38.34
1950-1954       31      0.00391  0.00390  0.50   86275     337   86106  3234330  37.49
1950-1954       32      0.00398  0.00397  0.50   85938     341   85767  3148224  36.63
1950-1954       33      0.00403  0.00402  0.50   85597     344   85425  3062456  35.78
1950-1954       34      0.00418  0.00417  0.50   85253     356   85075  2977032  34.92
1950-1954       35      0.00422  0.00421  0.50   84897     357   84718  2891957  34.06
1950-1954       36      0.00442  0.00441  0.50   84539     373   84353  2807239  33.21
1950-1954       37      0.00459  0.00458  0.50   84166     385   83974  2722886  32.35
1950-1954       38      0.00466  0.00465  0.50   83781     390   83586  2638913  31.50
1950-1954       39      0.00504  0.00503  0.50   83391     419   83182  2555326  30.64
1950-1954       40      0.00522  0.00520  0.50   82972     432   82756  2472145  29.79
1950-1954       41      0.00558  0.00556  0.50   82540     459   82311  2389389  28.95
1950-1954       42      0.00589  0.00588  0.50   82081     482   81840  2307078  28.11
