Germany, Exposure to risk (period 1x10), 	Last modified: 03 Jun 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1990-1999        0           3948426.75      4163975.19      8112401.94
1990-1999        1           4025467.30      4241750.65      8267217.95
1990-1999        2           4094903.29      4314030.75      8408934.04
1990-1999        3           4147093.45      4368042.14      8515135.58
1990-1999        4           4204102.25      4425763.74      8629865.98
1990-1999        5           4259893.43      4483187.35      8743080.78
1990-1999        6           4299352.35      4523520.38      8822872.74
1990-1999        7           4336272.50      4562656.23      8898928.73
1990-1999        8           4371258.39      4598741.99      8970000.38
1990-1999        9           4377366.61      4602320.01      8979686.62
1990-1999       10           4356553.74      4579148.52      8935702.26
1990-1999       11           4316761.98      4537123.70      8853885.68
1990-1999       12           4274833.91      4491855.23      8766689.14
1990-1999       13           4234099.60      4448805.84      8682905.44
1990-1999       14           4199913.24      4415436.78      8615350.02
1990-1999       15           4175142.75      4394372.21      8569514.96
1990-1999       16           4164330.32      4386911.35      8551241.67
1990-1999       17           4165360.12      4388398.48      8553758.60
1990-1999       18           4242939.87      4458542.96      8701482.83
1990-1999       19           4377493.88      4576222.93      8953716.81
1990-1999       20           4560931.72      4754383.80      9315315.53
1990-1999       21           4796290.92      4998508.10      9794799.02
1990-1999       22           5051989.81      5281980.63     10333970.44
1990-1999       23           5325298.11      5591740.87     10917038.98
1990-1999       24           5610144.70      5917596.17     11527740.87
1990-1999       25           5892300.42      6244558.69     12136859.11
1990-1999       26           6167204.77      6561449.36     12728654.13
1990-1999       27           6407123.96      6832652.51     13239776.46
1990-1999       28           6568354.86      7011695.03     13580049.89
1990-1999       29           6677972.72      7126815.77     13804788.49
1990-1999       30           6738662.17      7190360.37     13929022.54
1990-1999       31           6733064.61      7179319.45     13912384.05
1990-1999       32           6676298.19      7115479.96     13791778.15
1990-1999       33           6591555.45      7018033.75     13609589.20
1990-1999       34           6482399.32      6887973.24     13370372.56
1990-1999       35           6357118.94      6733582.12     13090701.06
1990-1999       36           6216684.36      6558584.41     12775268.77
1990-1999       37           6083405.02      6389762.44     12473167.46
1990-1999       38           5962809.95      6239418.05     12202228.00
1990-1999       39           5851852.77      6103466.64     11955319.41
1990-1999       40           5755854.34      5985472.44     11741326.79
1990-1999       41           5653388.93      5865785.30     11519174.23
1990-1999       42           5531563.53      5725325.38     11256888.90
1990-1999       43           5404875.77      5580935.24     10985811.01
1990-1999       44           5207870.70      5363509.87     10571380.57
1990-1999       45           5076760.17      5218815.05     10295575.22
1990-1999       46           5019743.50      5160194.37     10179937.86
