"","Sex","Age","U","Value"
"1","Male",0,"u1",-939.012399513938
"2","Male",1,"u1",-1091.47664487015
"3","Male",2,"u1",-1131.36540825433
"4","Male",3,"u1",-1155.37164891404
"5","Male",4,"u1",-1170.02048032427
"6","Male",5,"u1",-1181.06917625746
"7","Male",6,"u1",-1190.5954524173
"8","Male",7,"u1",-1197.34267024656
"9","Male",8,"u1",-1204.41939020284
"10","Male",9,"u1",-1210.90069388199
"11","Male",10,"u1",-1212.52153746224
"12","Male",11,"u1",-1213.08486601733
"13","Male",12,"u1",-1209.83513607237
"14","Male",13,"u1",-1203.40799899442
"15","Male",14,"u1",-1190.46736244015
"16","Male",15,"u1",-1176.16906473638
"17","Male",16,"u1",-1157.67383225861
"18","Male",17,"u1",-1142.6303631672
"19","Male",18,"u1",-1127.05660506847
"20","Male",19,"u1",-1120.59947700452
"21","Male",20,"u1",-1116.45807049917
"22","Male",21,"u1",-1114.0942789048
"23","Male",22,"u1",-1112.9550267856
"24","Male",23,"u1",-1112.32838334427
"25","Male",24,"u1",-1112.46596098984
"26","Male",25,"u1",-1112.03405453112
"27","Male",26,"u1",-1112.2171827327
"28","Male",27,"u1",-1111.34931963872
"29","Male",28,"u1",-1109.84729416281
"30","Male",29,"u1",-1108.45886347838
"31","Male",30,"u1",-1106.94738813497
"32","Male",31,"u1",-1105.1627749035
"33","Male",32,"u1",-1101.90584789111
"34","Male",33,"u1",-1099.09712115078
"35","Male",34,"u1",-1095.97288647877
"36","Male",35,"u1",-1092.46067457283
"37","Male",36,"u1",-1089.0970319695
"38","Male",37,"u1",-1085.82256729031
"39","Male",38,"u1",-1080.22378203069
"40","Male",39,"u1",-1075.94738815919
"41","Male",40,"u1",-1070.69130977702
"42","Male",41,"u1",-1067.08953377605
"43","Male",42,"u1",-1060.66511794781
"44","Male",43,"u1",-1055.8421696132
"45","Male",44,"u1",-1050.86846147306
"46","Male",45,"u1",-1044.5854419132
"47","Male",46,"u1",-1039.9710942432
"48","Male",47,"u1",-1034.50583136598
"49","Male",48,"u1",-1028.75106978256
"50","Male",49,"u1",-1023.02905643173
"51","Male",50,"u1",-1016.49286819819
"52","Male",51,"u1",-1012.64087238699
"53","Male",52,"u1",-1005.37689633306
"54","Male",53,"u1",-1000.35457065741
"55","Male",54,"u1",-994.296765005335
"56","Male",55,"u1",-988.969961001899
"57","Male",56,"u1",-983.333307754308
"58","Male",57,"u1",-978.026708131559
"59","Male",58,"u1",-971.6872643955
"60","Male",59,"u1",-965.9827116205
"61","Male",60,"u1",-958.700422813171
"62","Male",61,"u1",-954.924888255799
"63","Male",62,"u1",-947.481534355117
"64","Male",63,"u1",-941.714075722084
"65","Male",64,"u1",-935.655584805957
"66","Male",65,"u1",-929.349621718002
"67","Male",66,"u1",-924.761265619494
