Taiwan, Life tables (period 5x5), Females	Last modified: 18 Sep 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1970-1974        0      0.01384  0.01367  0.12  100000    1367   98798  7220179  72.20
1970-1974      1-4      0.00217  0.00862  1.41   98633     850  392328  7121381  72.20
1970-1974      5-9      0.00046  0.00231  2.08   97783     226  488252  6729053  68.82
1970-1974     10-14     0.00039  0.00197  2.72   97557     192  487345  6240801  63.97
1970-1974     15-19     0.00068  0.00340  2.64   97364     331  486040  5753456  59.09
1970-1974     20-24     0.00088  0.00441  2.61   97033     428  484143  5267416  54.28
1970-1974     25-29     0.00108  0.00538  2.55   96605     520  481754  4783273  49.51
1970-1974     30-34     0.00140  0.00697  2.63   96086     670  478841  4301518  44.77
1970-1974     35-39     0.00191  0.00953  2.63   95416     909  474924  3822678  40.06
1970-1974     40-44     0.00273  0.01358  2.64   94507    1283  469509  3347754  35.42
1970-1974     45-49     0.00407  0.02017  2.65   93223    1881  461694  2878245  30.87
1970-1974     50-54     0.00630  0.03106  2.67   91343    2837  450113  2416552  26.46
1970-1974     55-59     0.00964  0.04714  2.64   88506    4172  432684  1966438  22.22
1970-1974     60-64     0.01589  0.07665  2.70   84334    6464  406813  1533754  18.19
1970-1974     65-69     0.02785  0.13072  2.66   77870   10179  365513  1126941  14.47
1970-1974     70-74     0.04635  0.20865  2.61   67691   14124  304704   761428  11.25
1970-1974     75-79     0.07495  0.31594  2.52   53567   16924  225799   456725   8.53
1970-1974     80-84     0.12249  0.46537  2.42   36643   17053  139214   230926   6.30
1970-1974     85-89     0.18074  0.60770  2.31   19590   11905   65868    91712   4.68
1970-1974     90-94     0.27617  0.76832  2.11    7685    5905   21381    25844   3.36
1970-1974     95-99     0.38604  0.87176  1.85    1781    1552    4021     4463   2.51
1970-1974    100-104    0.50960  0.93545  1.62     228     214     419      442   1.94
1970-1974    105-109    0.63280  0.96753  1.41      15      14      23       23   1.57
1970-1974    110+       0.72729  1.00000  1.37       0       0       1        1   1.37
