Japan,  Births (1-year)	Last modified: 05 Feb 2024;  Methods Protocol: v6 (2017)

Year          Female      Male     Total
1873          411414    430145    841559
1874          426765    443470    870235
1875          441293    464476    905769
1876          458588    483275    941863
1877          455482    475302    930784
1878          446587    470226    916813
1879          451139    472940    924079
1880          457777    477421    935198
1881          493352    504142    997494
1882          485880    510182    996062
1883          537856    556118   1093974
1884          529050    545436   1074486
1885          561525    586413   1147938
1886          551734    574806   1126540
1887          537751    562523   1100274
1888          594104    619997   1214101
1889          614403    638653   1253056
1890          582540    607723   1190263
1891          555671    576600   1132271
1892          618668    644001   1262669
1893          607001    631131   1238132
1894          621939    651723   1273662
1895          642083    670373   1312456
1896          666848    684129   1350977
1897          687050    716708   1403758
1898          720857    737280   1458137
1899          693514    731146   1424660
1900          718919    750613   1469532
1901          761947    794922   1556869
1902          769317    800284   1569601
1903          759845    792140   1551985
1904          734786    765363   1500149
1905          751930    764600   1516530
1906          703248    757261   1460509
1907          835075    850055   1685130
1908          851093    882871   1733964
1909          868918    897094   1766012
1910          876994    904837   1781831
1911          896053    925143   1821196
1912          893925    923149   1817074
1913          900944    934035   1834979
1914          921703    960973   1882676
1915          920195    951757   1871952
1916          920482    952937   1873419
1917          925595    957692   1883287
1918          912006    944467   1856473
1919          906059    943640   1849699
1920         1022599   1065324   2087923
1921         1005463   1046971   2052434
1922         1000340   1037495   2037835
1923         1037157   1079714   2116871
1924         1013829   1053625   2067454
1925         1061362   1095049   2156411
1926         1057668   1116463   2174131
1927         1046974   1082351   2129325
1928         1079823   1124186   2204009
1929         1052613   1090949   2143562
1930         1049443   1103245   2152688
1931         1063541   1106690   2170231
1932         1101585   1153888   2255473
1933         1068716   1122116   2190832
1934         1034408   1075095   2109503
1935         1102492   1157512   2260004
1936         1058893   1108709   2167602
1937         1095056   1145719   2240775
1938          961203   1014237   1975440
1939          949434    994302   1943736
1940         1049599   1102038   2151637
1947         1318606   1394021   2712627
1948         1310812   1386368   2697180
1949         1322504   1385988   2708492
1950         1140313   1209253   2349566
1951         1049303   1100876   2150179
1952          985336   1036070   2021406
1953          918051    965192   1883243
1954          866151    919167   1785318
1955          848196    896861   1745057
1956          816291    863086   1679377
1957          768154    811982   1580136
1958          811468    855724   1667192
1959          796570    842188   1638758
1960          786710    830367   1617077
1961          776321    822216   1598537
1962          789258    837308   1626566
1963          810347    856127   1666474
1964          836947    885929   1722876
1965          891032    938388   1829420
1966          657867    707905   1365772
1967          945868    996199   1942067
1968          906027    970375   1876402
1969          914815    980930   1895745
1970          935487   1002149   1937636
1971          969861   1034967   2004828
1972          989382   1053687   2043069
1973         1016286   1079365   2095651
1974          984841   1047900   2032741
1975          923601    980353   1903954
1976          888788    943829   1832617
1977          851720    903380   1755100
1978          829494    879149   1708643
1979          796696    845884   1642580
1980          765471    811418   1576889
1981          742859    786596   1529455
1982          737537    777855   1515392
1983          733481    775206   1508687
1984          725183    764597   1489780
1985          696293    735284   1431577
1986          671645    711301   1382946
1987          654354    692304   1346658
1988          639123    674883   1314006
1989          606296    640506   1246802
1990          594614    626971   1221585
1991          594630    628615   1223245
1992          586853    622136   1208989
1993          578038    610244   1188282
1994          602413    635915   1238328
1995          578517    608547   1187064
1996          586762    619793   1206555
1997          580760    610905   1191665
1998          585733    617414   1203147
1999          572900    604769   1177669
2000          578399    612148   1190547
2001          569748    600918   1170666
2002          561021    592843   1153864
2003          546879    576747   1123626
2004          541182    569580   1110762
2005          517512    545060   1062572
2006          532263    560469   1092732
2007          530040    559939   1089979
2008          531902    559814   1091716
2009          521271    549247   1070518
2010          520815    550989   1071804
2011          512753    538531   1051284
2012          505644    532003   1037647
2013          502363    527891   1030254
2014          488269    515792   1004061
2015          490519    515741   1006260
2016          475563    502322    977885
2017          461880    484686    946566
2018          447748    471066    918814
2019          422010    443627    865637
2020          410280    430901    841181
2021          395876    416055    811931
2022          375502    395257    770759
