Spain, Deaths (period 1x10), 	Last modified: 18 Sep 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1908-1909        0             91877.74       113725.03       205602.77
1908-1909        1             42849.00        45497.66        88346.66
1908-1909        2             21573.37        22495.10        44068.47
1908-1909        3             11906.43        12465.52        24371.95
1908-1909        4              7996.40         8067.99        16064.39
1908-1909        5              5215.72         5299.11        10514.83
1908-1909        6              4273.76         4091.66         8365.42
1908-1909        7              2743.63         2724.78         5468.41
1908-1909        8              2084.29         2030.79         4115.08
1908-1909        9              1607.30         1628.65         3235.95
1908-1909       10              1533.15         1400.99         2934.14
1908-1909       11              1374.83         1269.62         2644.45
1908-1909       12              1427.94         1313.74         2741.68
1908-1909       13              1422.91         1264.60         2687.51
1908-1909       14              1714.52         1385.95         3100.47
1908-1909       15              1770.63         1363.90         3134.53
1908-1909       16              2017.13         1510.31         3527.44
1908-1909       17              2125.36         1956.58         4081.94
1908-1909       18              2406.94         2333.66         4740.60
1908-1909       19              2077.28         2212.31         4289.59
1908-1909       20              2436.01         2339.67         4775.68
1908-1909       21              2113.34         2155.14         4268.48
1908-1909       22              2813.76         2602.42         5416.18
1908-1909       23              2563.26         2470.05         5033.31
1908-1909       24              2643.42         2412.88         5056.30
1908-1909       25              2516.15         2294.54         4810.69
1908-1909       26              2556.23         2138.09         4694.32
1908-1909       27              2309.75         1978.64         4288.39
1908-1909       28              2729.60         2251.42         4981.02
1908-1909       29              1890.87         1689.82         3580.69
1908-1909       30              3657.51         2514.17         6171.68
1908-1909       31              1640.36         1488.25         3128.61
1908-1909       32              2681.50         2157.15         4838.65
1908-1909       33              2332.77         2134.09         4466.86
1908-1909       34              2425.97         2021.76         4447.73
1908-1909       35              2502.13         2332.65         4834.78
1908-1909       36              2579.28         2215.31         4794.59
1908-1909       37              1898.90         1847.26         3746.16
1908-1909       38              2435.98         2374.76         4810.74
1908-1909       39              1628.33         1734.96         3363.29
1908-1909       40              4085.37         3552.12         7637.49
1908-1909       41              1416.90         1565.47         2982.37
1908-1909       42              2553.24         2785.94         5339.18
1908-1909       43              1715.52         2147.12         3862.64
1908-1909       44              2250.61         2518.18         4768.79
1908-1909       45              2711.55         3232.22         5943.77
1908-1909       46              2327.77         2785.95         5113.72
1908-1909       47              1766.62         2520.18         4286.80
1908-1909       48              2631.40         3414.73         6046.13
1908-1909       49              1823.74         2377.79         4201.53
1908-1909       50              4876.00         4798.68         9674.68
1908-1909       51              1591.24         2079.94         3671.18
1908-1909       52              2764.66         3330.50         6095.16
1908-1909       53              2113.34         2701.70         4815.04
1908-1909       54              2992.13         3557.15         6549.28
1908-1909       55              3383.94         3827.92         7211.86
1908-1909       56              3365.89         4025.48         7391.37
