West Germany, Deaths (period 1x10), 	Last modified: 03 Jun 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1956-1959        0             55732.82        75080.20       130813.02
1956-1959        1              3602.06         4812.26         8414.32
1956-1959        2              1953.01         2410.13         4363.14
1956-1959        3              1364.00         1771.11         3135.11
1956-1959        4              1073.00         1491.07         2564.07
1956-1959        5               917.00         1245.06         2162.06
1956-1959        6               711.00         1183.06         1894.06
1956-1959        7               646.00         1075.05         1721.05
1956-1959        8               537.00          915.06         1452.06
1956-1959        9               484.00          843.04         1327.04
1956-1959       10               418.00          664.03         1082.03
1956-1959       11               390.00          653.04         1043.04
1956-1959       12               397.00          696.04         1093.04
1956-1959       13               412.00          706.04         1118.04
1956-1959       14               606.00          985.05         1591.05
1956-1959       15               756.00         1359.07         2115.07
1956-1959       16               858.00         1823.10         2681.10
1956-1959       17               968.00         2178.12         3146.12
1956-1959       18              1052.00         3026.17         4078.17
1956-1959       19              1090.00         3559.18         4649.18
1956-1959       20              1217.00         3751.21         4968.21
1956-1959       21              1100.00         3698.21         4798.21
1956-1959       22              1147.00         3342.17         4489.17
1956-1959       23              1129.00         3013.17         4142.17
1956-1959       24              1095.00         2778.16         3873.16
1956-1959       25              1177.00         2567.16         3744.16
1956-1959       26              1234.00         2654.15         3888.15
1956-1959       27              1373.00         2702.16         4075.16
1956-1959       28              1578.00         2713.15         4291.15
1956-1959       29              1643.00         2697.15         4340.15
1956-1959       30              1712.01         2621.15         4333.16
1956-1959       31              1846.02         2617.14         4463.16
1956-1959       32              2026.01         2572.13         4598.14
1956-1959       33              2118.02         2468.13         4586.15
1956-1959       34              2337.02         2583.15         4920.17
1956-1959       35              2526.02         2849.16         5375.18
1956-1959       36              2894.04         2996.18         5890.22
1956-1959       37              2777.05         2820.16         5597.21
1956-1959       38              2636.03         2660.14         5296.17
1956-1959       39              2398.04         2561.12         4959.16
1956-1959       40              2290.02         2249.13         4539.15
1956-1959       41              2853.03         2812.18         5665.21
1956-1959       42              3486.04         3583.23         7069.27
1956-1959       43              4253.06         4405.27         8658.33
1956-1959       44              5069.08         5424.32        10493.40
1956-1959       45              5678.09         6244.36        11922.45
1956-1959       46              5980.10         7089.40        13069.50
1956-1959       47              6572.10         7854.46        14426.56
1956-1959       48              7148.10         8900.50        16048.60
1956-1959       49              7970.10        10001.58        17971.68
1956-1959       50              8478.10        11452.66        19930.76
1956-1959       51              9026.14        12849.73        21875.87
1956-1959       52              9663.15        14291.82        23954.97
1956-1959       53             10156.16        15578.88        25735.04
1956-1959       54             10928.16        17543.99        28472.15
1956-1959       55             11577.17        19224.08        30801.25
1956-1959       56             12391.18        20474.15        32865.33
1956-1959       57             13206.18        22107.21        35313.39
1956-1959       58             13995.20        22667.24        36662.44
1956-1959       59             14869.23        23072.26        37941.49
1956-1959       60             16270.24        23462.29        39732.53
1956-1959       61             17219.25        23406.29        40625.54
1956-1959       62             18882.27        23908.32        42790.59
1956-1959       63             19951.28        24325.35        44276.63
1956-1959       64             21366.32        24802.38        46168.70
1956-1959       65             22778.34        26624.49        49402.83
1956-1959       66             24262.34        27374.53        51636.87
1956-1959       67             25783.36        28532.59        54315.95
1956-1959       68             28073.42        29702.67        57776.09
1956-1959       69             29626.43        30842.74        60469.17
1956-1959       70             31842.46        32479.82        64322.28
1956-1959       71             33684.49        33733.91        67418.40
1956-1959       72             35041.51        34730.96        69772.47
1956-1959       73             37220.55        35509.99        72730.54
1956-1959       74             38335.57        36227.02        74562.59
1956-1959       75             39965.59        36588.07        76553.66
1956-1959       76             40671.59        37344.09        78015.68
1956-1959       77             41570.60        37434.12        79004.72
1956-1959       78             41502.61        37301.11        78803.72
1956-1959       79             40978.60        36011.03        76989.63
1956-1959       80             40420.59        35175.98        75596.57
1956-1959       81             38001.56        32989.83        70991.39
1956-1959       82             35102.52        30280.69        65383.21
1956-1959       83             31821.47        26806.48        58627.95
1956-1959       84             27505.40        22639.24        50144.64
1956-1959       85             23680.33        19100.05        42780.38
1956-1959       86             19844.29        15739.88        35584.17
1956-1959       87             16430.24        12726.71        29156.95
1956-1959       88             13333.18         9959.55        23292.73
1956-1959       89             10650.15         7669.41        18319.56
1956-1959       90              8218.11         5729.32        13947.43
1956-1959       91              6150.09         4029.22        10179.31
1956-1959       92              4551.08         2860.17         7411.25
1956-1959       93              3116.06         1890.12         5006.18
1956-1959       94              2188.01         1176.06         3364.07
1956-1959       95              1489.00          759.04         2248.04
1956-1959       96               923.00          496.00         1419.00
1956-1959       97               579.00          290.00          869.00
1956-1959       98               333.00          132.00          465.00
1956-1959       99               207.00          104.00          311.00
1956-1959      100               110.00           44.00          154.00
1956-1959      101                42.00           19.00           61.00
1956-1959      102                26.05           10.99           37.04
1956-1959      103                13.62            5.40           19.02
1956-1959      104                 6.96            1.60            8.56
1956-1959      105                 3.01            0.00            3.01
1956-1959      106                 0.39            0.00            0.39
1956-1959      107                 0.00            0.00            0.00
1956-1959      108                 0.00            0.00            0.00
1956-1959      109                 0.00            0.00            0.00
1956-1959      110+                0.00            0.00            0.00
1960-1969        0            113114.64       153277.06       266391.70
1960-1969        1              8156.09        10073.34        18229.43
1960-1969        2              4436.06         5995.21        10431.27
1960-1969        3              3329.03         4696.13         8025.16
1960-1969        4              2787.00         3860.09         6647.09
1960-1969        5              2305.00         3484.08         5789.08
1960-1969        6              1990.00         3114.07         5104.07
1960-1969        7              1683.00         2726.06         4409.06
1960-1969        8              1412.00         2527.05         3939.05
1960-1969        9              1278.00         2158.04         3436.04
1960-1969       10              1091.00         2042.04         3133.04
1960-1969       11              1091.00         1834.03         2925.03
1960-1969       12              1092.00         1789.04         2881.04
1960-1969       13              1092.00         1965.04         3057.04
1960-1969       14              1233.00         2217.06         3450.06
1960-1969       15              1449.00         2605.08         4054.08
1960-1969       16              1750.00         4048.12         5798.12
1960-1969       17              1868.00         4876.16         6744.16
1960-1969       18              2174.00         6205.22         8379.22
1960-1969       19              2247.00         6967.22         9214.22
1960-1969       20              2261.01         7139.24         9400.25
1960-1969       21              2351.02         7622.25         9973.27
1960-1969       22              2497.00         7517.25        10014.25
1960-1969       23              2596.02         7463.26        10059.28
1960-1969       24              2821.03         7501.27        10322.30
1960-1969       25              2917.02         7587.25        10504.27
1960-1969       26              3089.02         7462.25        10551.27
1960-1969       27              3200.01         7475.24        10675.25
1960-1969       28              3304.03         7316.24        10620.27
1960-1969       29              3544.05         7305.25        10849.30
1960-1969       30              3558.04         7207.24        10765.28
1960-1969       31              3765.04         7185.24        10950.28
1960-1969       32              3980.06         7428.24        11408.30
1960-1969       33              4231.06         7659.26        11890.32
1960-1969       34              4504.06         7830.27        12334.33
1960-1969       35              5056.06         8022.29        13078.35
1960-1969       36              5259.06         8270.29        13529.35
1960-1969       37              6064.07         8946.31        15010.38
1960-1969       38              6828.08         9335.31        16163.39
1960-1969       39              7505.08        10129.31        17634.39
1960-1969       40              8201.10        10582.32        18783.42
1960-1969       41              8764.12        10468.33        19232.45
1960-1969       42              9199.12        10774.36        19973.48
1960-1969       43              9717.10        11162.36        20879.46
1960-1969       44              9862.12        11593.37        21455.49
1960-1969       45             11074.11        12432.39        23506.50
1960-1969       46             12241.12        13875.38        26116.50
1960-1969       47             13243.15        15419.47        28662.62
1960-1969       48             14556.18        16996.51        31552.69
1960-1969       49             15504.20        18506.59        34010.79
1960-1969       50             16833.25        20790.72        37623.97
1960-1969       51             18919.29        24560.86        43480.15
1960-1969       52             21746.32        28553.99        50300.31
1960-1969       53             24333.32        33537.13        57870.45
1960-1969       54             27251.34        38964.28        66215.62
1960-1969       55             29361.36        44448.45        73809.81
1960-1969       56             31773.41        49304.61        81078.02
1960-1969       57             34528.49        55207.81        89736.30
1960-1969       58             37520.52        60674.03        98194.55
1960-1969       59             40628.54        66951.19       107579.73
1960-1969       60             44304.59        72947.37       117251.96
1960-1969       61             47696.62        78172.53       125869.15
1960-1969       62             51498.68        82935.71       134434.39
1960-1969       63             55300.75        87000.80       142301.55
1960-1969       64             60441.78        90093.89       150535.67
1960-1969       65             64647.83        92913.92       157561.75
1960-1969       66             69971.90        95372.96       165344.86
1960-1969       67             74734.93        95886.96       170621.89
1960-1969       68             78781.01        96600.97       175381.98
1960-1969       69             84551.07        95998.94       180550.01
1960-1969       70             90230.14        95802.98       186033.12
1960-1969       71             94823.15        96109.00       190932.15
1960-1969       72            100503.29        95923.02       196426.31
1960-1969       73            105274.34        96530.08       201804.42
1960-1969       74            109648.38        96936.07       206584.45
1960-1969       75            113460.43        96776.10       210236.53
1960-1969       76            115697.46        97487.12       213184.58
1960-1969       77            117858.50        96031.07       213889.57
1960-1969       78            117880.49        94834.02       212714.51
1960-1969       79            116706.46        91997.95       208704.41
1960-1969       80            115718.46        88925.88       204644.34
1960-1969       81            111182.40        85141.73       196324.13
1960-1969       82            106012.34        80262.58       186274.92
1960-1969       83             99116.25        74062.36       173178.61
1960-1969       84             90895.11        67396.20       158291.31
1960-1969       85             82121.02        59891.93       142012.95
1960-1969       86             72167.88        52125.69       124293.57
1960-1969       87             61699.76        43850.42       105550.18
1960-1969       88             51328.65        35922.14        87250.79
1960-1969       89             41332.49        28204.92        69537.41
1960-1969       90             32695.39        21773.68        54469.07
1960-1969       91             24863.27        16538.52        41401.79
1960-1969       92             18446.19        11726.34        30172.53
1960-1969       93             13165.15         8236.28        21401.43
1960-1969       94              9168.08         5349.15        14517.23
1960-1969       95              6175.06         3486.07         9661.13
1960-1969       96              4022.04         2106.04         6128.08
1960-1969       97              2457.00         1231.00         3688.00
1960-1969       98              1527.00          703.00         2230.00
1960-1969       99               985.00          529.00         1514.00
1960-1969      100               551.00          236.00          787.00
1960-1969      101               256.00          108.00          364.00
1960-1969      102               147.44           57.76          205.20
1960-1969      103                68.92           20.63           89.55
1960-1969      104                33.00            6.32           39.32
1960-1969      105                 8.41            4.28           12.69
1960-1969      106                 2.23            1.00            3.23
1960-1969      107                 1.00            1.00            2.00
1960-1969      108                 0.00            0.00            0.00
1960-1969      109                 1.00            0.00            1.00
1960-1969      110+                0.00            1.00            1.00
1970-1979        0             54018.52        74737.82       128756.34
1970-1979        1              3809.00         4705.11         8514.11
1970-1979        2              2476.00         3327.06         5803.06
1970-1979        3              2159.00         3003.05         5162.05
1970-1979        4              1914.00         2817.03         4731.03
1970-1979        5              1809.00         2758.02         4567.02
1970-1979        6              1781.00         2652.02         4433.02
1970-1979        7              1640.00         2535.01         4175.01
1970-1979        8              1403.00         2284.00         3687.00
1970-1979        9              1298.00         2125.00         3423.00
1970-1979       10              1150.00         1941.00         3091.00
1970-1979       11              1170.00         1892.00         3062.00
1970-1979       12              1161.00         2018.00         3179.00
1970-1979       13              1226.00         2054.00         3280.00
1970-1979       14              1465.00         2420.01         3885.01
1970-1979       15              1938.00         3136.03         5074.03
1970-1979       16              2408.00         5529.13         7937.13
1970-1979       17              2468.00         6404.15         8872.15
1970-1979       18              2735.00         8447.21        11182.21
1970-1979       19              2634.00         8444.21        11078.21
1970-1979       20              2535.00         8050.19        10585.19
1970-1979       21              2432.00         7567.18         9999.18
1970-1979       22              2356.00         7162.17         9518.17
1970-1979       23              2387.00         6552.17         8939.17
1970-1979       24              2387.00         6196.14         8583.14
1970-1979       25              2347.00         5868.15         8215.15
1970-1979       26              2355.00         5848.14         8203.14
1970-1979       27              2511.00         5947.15         8458.15
1970-1979       28              2589.00         6109.16         8698.16
1970-1979       29              2787.00         6477.16         9264.16
1970-1979       30              3132.00         6918.17        10050.17
1970-1979       31              3364.00         7425.18        10789.18
1970-1979       32              3711.00         7913.18        11624.18
1970-1979       33              4028.00         8591.20        12619.20
1970-1979       34              4404.00         9226.22        13630.22
1970-1979       35              4947.00         9756.23        14703.23
1970-1979       36              5210.00        10655.28        15865.28
1970-1979       37              5605.00        11587.29        17192.29
1970-1979       38              5943.01        12117.29        18060.30
1970-1979       39              6412.02        12873.30        19285.32
1970-1979       40              6660.01        13560.34        20220.35
1970-1979       41              7240.04        14480.34        21720.38
1970-1979       42              7890.04        15338.37        23228.41
1970-1979       43              8641.06        16433.40        25074.46
1970-1979       44              9469.08        17186.42        26655.50
1970-1979       45             10259.10        18340.46        28599.56
1970-1979       46             11474.12        19453.46        30927.58
1970-1979       47             12732.12        20883.49        33615.61
1970-1979       48             14429.12        22283.50        36712.62
1970-1979       49             15885.14        23965.56        39850.70
1970-1979       50             17561.16        25420.60        42981.76
1970-1979       51             18448.18        26279.63        44727.81
1970-1979       52             19166.15        26248.63        45414.78
1970-1979       53             19634.20        26742.67        46376.87
1970-1979       54             20533.19        27932.68        48465.87
1970-1979       55             21948.19        30138.69        52086.88
1970-1979       56             23708.19        33453.76        57161.95
1970-1979       57             26067.20        36848.84        62916.04
1970-1979       58             28425.24        40086.93        68512.17
1970-1979       59             30755.28        43833.05        74588.33
1970-1979       60             33614.29        48804.19        82418.48
1970-1979       61             38321.37        55701.38        94022.75
1970-1979       62             44128.41        64707.59       108836.00
1970-1979       63             50711.47        73848.79       124560.26
1970-1979       64             58076.58        83242.98       141319.56
1970-1979       65             64611.62        92295.22       156906.84
1970-1979       66             69924.67       100127.43       170052.10
1970-1979       67             76385.69       107092.58       183478.27
1970-1979       68             83149.78       115113.76       198263.54
1970-1979       69             90826.84       121415.93       212242.77
1970-1979       70             97652.92       127018.03       224670.95
1970-1979       71            105389.98       129502.09       234892.07
1970-1979       72            111638.02       131126.14       242764.16
1970-1979       73            119642.11       130893.11       250535.22
1970-1979       74            126499.17       128794.07       255293.24
1970-1979       75            133124.25       125544.99       258669.24
1970-1979       76            137502.28       119684.83       257187.11
1970-1979       77            141969.35       114008.68       255978.03
1970-1979       78            143552.35       107466.52       251018.87
1970-1979       79            144554.36       100719.35       245273.71
1970-1979       80            144084.34        94204.23       238288.57
1970-1979       81            142294.33        87882.07       230176.40
1970-1979       82            137612.26        80761.90       218374.16
1970-1979       83            130196.19        73627.74       203823.93
1970-1979       84            121824.14        67352.61       189176.75
1970-1979       85            110468.04        60002.41       170470.45
1970-1979       86             98526.93        52715.25       151242.18
1970-1979       87             86402.78        45971.09       132373.87
1970-1979       88             74281.68        38785.93       113067.61
1970-1979       89             61682.59        31708.75        93391.34
1970-1979       90             50217.47        26104.65        76322.12
1970-1979       91             39962.36        20635.48        60597.84
1970-1979       92             30695.28        15755.36        46450.64
1970-1979       93             22919.24        11559.30        34478.54
1970-1979       94             16670.13         8326.20        24996.33
