Norway, Deaths (period 1x10), 	Last modified: 01 Aug 2024;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1846-1849        0              8091.50        10038.00        18129.50
1846-1849        1              3552.00         3910.00         7462.00
1846-1849        2              1880.50         1987.50         3868.00
1846-1849        3              1401.50         1394.00         2795.50
1846-1849        4               990.50          980.00         1970.50
1846-1849        5               684.00          690.00         1374.00
1846-1849        6               536.00          536.50         1072.50
1846-1849        7               443.00          435.50          878.50
1846-1849        8               381.50          385.00          766.50
1846-1849        9               290.00          306.00          596.00
1846-1849       10               221.00          252.00          473.00
1846-1849       11               204.50          244.00          448.50
1846-1849       12               196.50          240.00          436.50
1846-1849       13               216.00          226.50          442.50
1846-1849       14               230.50          215.50          446.00
1846-1849       15               247.50          232.00          479.50
1846-1849       16               254.50          270.50          525.00
1846-1849       17               239.50          308.50          548.00
1846-1849       18               242.00          339.50          581.50
1846-1849       19               271.00          407.00          678.00
1846-1849       20               290.50          446.00          736.50
1846-1849       21               294.50          427.00          721.50
1846-1849       22               292.00          424.00          716.00
1846-1849       23               298.00          411.50          709.50
1846-1849       24               303.00          395.50          698.50
1846-1849       25               298.00          391.50          689.50
1846-1849       26               293.00          358.50          651.50
1846-1849       27               291.00          337.00          628.00
1846-1849       28               285.00          317.00          602.00
1846-1849       29               307.50          334.00          641.50
1846-1849       30               308.50          338.50          647.00
1846-1849       31               293.00          288.50          581.50
1846-1849       32               301.50          290.50          592.00
1846-1849       33               297.00          291.00          588.00
1846-1849       34               281.50          287.50          569.00
1846-1849       35               283.00          300.50          583.50
1846-1849       36               277.50          309.50          587.00
1846-1849       37               269.00          301.50          570.50
1846-1849       38               263.00          283.00          546.00
1846-1849       39               290.50          313.50          604.00
1846-1849       40               304.00          305.50          609.50
1846-1849       41               286.00          296.00          582.00
1846-1849       42               298.50          314.00          612.50
1846-1849       43               299.50          314.00          613.50
1846-1849       44               302.50          354.50          657.00
1846-1849       45               296.00          344.00          640.00
1846-1849       46               291.00          338.50          629.50
1846-1849       47               300.50          387.50          688.00
1846-1849       48               300.00          396.50          696.50
1846-1849       49               342.00          464.00          806.00
1846-1849       50               357.50          457.00          814.50
1846-1849       51               341.00          418.50          759.50
1846-1849       52               389.00          447.50          836.50
1846-1849       53               404.00          439.50          843.50
1846-1849       54               411.50          472.00          883.50
1846-1849       55               432.50          494.00          926.50
1846-1849       56               408.50          493.50          902.00
1846-1849       57               387.00          490.00          877.00
1846-1849       58               393.50          481.50          875.00
1846-1849       59               529.50          529.50         1059.00
1846-1849       60               564.00          504.00         1068.00
1846-1849       61               465.50          462.00          927.50
1846-1849       62               488.00          498.50          986.50
1846-1849       63               544.50          530.00         1074.50
1846-1849       64               564.00          546.00         1110.00
1846-1849       65               566.50          538.00         1104.50
1846-1849       66               563.50          532.00         1095.50
1846-1849       67               577.50          515.50         1093.00
1846-1849       68               581.00          509.00         1090.00
1846-1849       69               618.00          545.00         1163.00
1846-1849       70               582.00          505.00         1087.00
1846-1849       71               533.00          468.00         1001.00
1846-1849       72               579.50          516.50         1096.00
1846-1849       73               616.50          520.50         1137.00
1846-1849       74               699.00          553.50         1252.50
1846-1849       75               705.50          573.00         1278.50
1846-1849       76               713.00          573.50         1286.50
1846-1849       77               739.50          590.00         1329.50
1846-1849       78               673.00          547.00         1220.00
1846-1849       79               738.00          543.00         1281.00
1846-1849       80               681.00          476.00         1157.00
1846-1849       81               531.00          378.50          909.50
1846-1849       82               560.00          389.50          949.50
1846-1849       83               574.50          419.50          994.00
1846-1849       84               539.50          392.50          932.00
1846-1849       85               459.50          336.50          796.00
1846-1849       86               413.00          301.00          714.00
1846-1849       87               382.00          254.00          636.00
1846-1849       88               319.00          203.50          522.50
1846-1849       89               315.50          181.00          496.50
1846-1849       90               270.00          147.50          417.50
1846-1849       91               167.50           94.50          262.00
1846-1849       92               142.00           88.50          230.50
1846-1849       93               116.50           72.50          189.00
1846-1849       94                99.00           54.50          153.50
1846-1849       95                88.50           48.00          136.50
1846-1849       96                78.50           33.00          111.50
1846-1849       97                61.50           21.00           82.50
1846-1849       98                35.50           18.00           53.50
1846-1849       99                38.50           14.50           53.00
1846-1849      100                35.50           12.50           48.00
1846-1849      101                10.50            7.00           17.50
1846-1849      102                 6.50            3.00            9.50
1846-1849      103                 6.00            1.50            7.50
1846-1849      104                 4.00            1.50            5.50
1846-1849      105                 4.00            0.00            4.00
1846-1849      106                 2.00            0.00            2.00
1846-1849      107                 0.00            0.00            0.00
1846-1849      108                 0.00            0.00            0.00
1846-1849      109                 0.00            0.00            0.00
1846-1849      110+                0.00            0.00            0.00
1850-1859        0             19828.00        24756.00        44584.00
1850-1859        1              7480.50         8269.50        15750.00
1850-1859        2              3962.00         4192.50         8154.50
1850-1859        3              2677.00         2780.50         5457.50
1850-1859        4              1929.50         2042.00         3971.50
1850-1859        5              1402.00         1536.50         2938.50
1850-1859        6              1112.00         1205.00         2317.00
1850-1859        7               896.50          945.50         1842.00
1850-1859        8               756.50          788.00         1544.50
1850-1859        9               677.00          693.50         1370.50
1850-1859       10               641.00          652.00         1293.00
1850-1859       11               579.50          606.50         1186.00
1850-1859       12               543.50          581.00         1124.50
1850-1859       13               547.50          573.50         1121.00
1850-1859       14               563.00          563.50         1126.50
