Republic of Korea, Deaths (period 1x10), 	Last modified: 20 Jul 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
2003-2009        0              5863.49         7151.28        13014.77
2003-2009        1               648.05          723.02         1371.07
2003-2009        2               417.05          588.03         1005.08
2003-2009        3               394.04          513.01          907.05
2003-2009        4               347.04          466.02          813.06
2003-2009        5               311.02          451.02          762.04
2003-2009        6               332.04          455.01          787.05
2003-2009        7               301.03          474.02          775.05
2003-2009        8               267.01          420.03          687.04
2003-2009        9               241.04          374.01          615.05
2003-2009       10               220.03          383.02          603.05
2003-2009       11               231.03          359.01          590.04
2003-2009       12               246.03          413.01          659.04
2003-2009       13               313.02          424.01          737.03
2003-2009       14               325.02          519.01          844.03
2003-2009       15               358.04          702.02         1060.06
2003-2009       16               454.05          859.04         1313.09
2003-2009       17               463.05         1055.05         1518.10
2003-2009       18               503.05         1183.08         1686.13
2003-2009       19               576.02         1231.04         1807.06
2003-2009       20               637.06         1298.07         1935.13
2003-2009       21               765.07         1258.05         2023.12
2003-2009       22               902.10         1542.05         2444.15
2003-2009       23              1040.09         1658.06         2698.15
2003-2009       24              1012.06         1867.09         2879.15
2003-2009       25              1203.10         1968.07         3171.17
2003-2009       26              1230.07         2026.10         3256.17
2003-2009       27              1167.10         2174.11         3341.21
2003-2009       28              1177.10         2242.10         3419.20
2003-2009       29              1268.10         2344.12         3612.22
2003-2009       30              1420.12         2415.11         3835.23
2003-2009       31              1457.12         2604.11         4061.23
2003-2009       32              1563.11         2811.13         4374.24
2003-2009       33              1752.14         3059.13         4811.27
2003-2009       34              1817.16         3558.16         5375.32
2003-2009       35              1931.16         3756.17         5687.33
2003-2009       36              2073.17         4356.19         6429.36
2003-2009       37              2196.18         4618.21         6814.39
2003-2009       38              2374.20         5240.24         7614.44
2003-2009       39              2479.19         5577.24         8056.43
2003-2009       40              2600.24         6308.30         8908.54
2003-2009       41              2675.24         6965.33         9640.57
2003-2009       42              2942.22         7881.34        10823.56
2003-2009       43              3319.28         9003.37        12322.65
2003-2009       44              3563.28         9603.42        13166.70
2003-2009       45              3790.30        10435.42        14225.72
2003-2009       46              3937.30        11558.51        15495.81
2003-2009       47              4296.34        12079.52        16375.86
2003-2009       48              4413.37        12700.61        17113.98
2003-2009       49              4315.36        12948.65        17264.01
2003-2009       50              4437.36        13068.64        17506.00
2003-2009       51              4493.38        13294.67        17788.05
2003-2009       52              4433.36        13215.68        17649.04
2003-2009       53              4584.38        13325.67        17910.05
2003-2009       54              4564.36        13716.73        18281.09
2003-2009       55              4600.38        13803.65        18404.03
2003-2009       56              4973.41        14083.67        19057.08
2003-2009       57              4949.39        14109.66        19059.05
2003-2009       58              5214.41        14253.60        19468.01
2003-2009       59              5553.45        14849.72        20403.17
2003-2009       60              6213.53        15894.75        22108.28
2003-2009       61              6739.58        17078.81        23818.39
2003-2009       62              7291.62        18427.83        25719.45
2003-2009       63              7865.65        18897.74        26763.39
2003-2009       64              8950.74        20869.84        29820.58
2003-2009       65              9938.78        22021.87        31960.65
2003-2009       66             10924.89        23918.10        34842.99
2003-2009       67             11969.00        24723.17        36692.17
2003-2009       68             12771.04        25270.16        38041.20
2003-2009       69             14126.16        25903.17        40029.33
2003-2009       70             15315.26        26237.25        41552.51
2003-2009       71             16346.33        26114.22        42460.55
2003-2009       72             17815.41        25801.29        43616.70
2003-2009       73             18790.55        25304.28        44094.83
2003-2009       74             20004.63        24941.28        44945.91
2003-2009       75             21538.75        24337.24        45875.99
2003-2009       76             23084.88        23655.17        46740.05
2003-2009       77             24271.94        23018.14        47290.08
