Australia, Exposure to risk (cohort 5x5), 	Last modified: 10 Oct 2024;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1845-1849        0                    .               .               .
1845-1849      1-4                    .               .               .
1845-1849      5-9                    .               .               .
1845-1849     10-14                   .               .               .
1845-1849     15-19                   .               .               .
1845-1849     20-24                   .               .               .
1845-1849     25-29                   .               .               .
1845-1849     30-34                   .               .               .
1845-1849     35-39                   .               .               .
1845-1849     40-44                   .               .               .
1845-1849     45-49                   .               .               .
1845-1849     50-54                   .               .               .
1845-1849     55-59                   .               .               .
1845-1849     60-64                   .               .               .
1845-1849     65-69                   .               .               .
1845-1849     70-74                   .               .               .
1845-1849     75-79           107763.87       103542.69       211306.56
1845-1849     80-84            72610.38        61563.51       134173.89
1845-1849     85-89            33725.09        24596.79        58321.88
1845-1849     90-94            10595.57         6606.97        17202.54
1845-1849     95-99             1819.98         1058.90         2878.88
1845-1849    100-104             135.00           61.99          196.99
1845-1849    105-109               0.30            0.00            0.30
1845-1849    110+                  0.00            0.00            0.00
1850-1854        0                    .               .               .
1850-1854      1-4                    .               .               .
1850-1854      5-9                    .               .               .
1850-1854     10-14                   .               .               .
1850-1854     15-19                   .               .               .
1850-1854     20-24                   .               .               .
1850-1854     25-29                   .               .               .
1850-1854     30-34                   .               .               .
1850-1854     35-39                   .               .               .
1850-1854     40-44                   .               .               .
1850-1854     45-49                   .               .               .
1850-1854     50-54                   .               .               .
1850-1854     55-59                   .               .               .
1850-1854     60-64                   .               .               .
1850-1854     65-69                   .               .               .
1850-1854     70-74           178767.48       195816.24       374583.72
1850-1854     75-79           134724.03       136099.68       270823.70
1850-1854     80-84            90277.37        79977.44       170254.81
1850-1854     85-89            41105.34        31078.70        72184.04
1850-1854     90-94            12566.50         8112.84        20679.34
1850-1854     95-99             2356.30         1331.36         3687.66
1850-1854    100-104             168.02          111.99          280.01
1850-1854    105-109               4.78            0.51            5.29
1850-1854    110+                  0.47            0.00            0.47
1855-1859        0                    .               .               .
1855-1859      1-4                    .               .               .
1855-1859      5-9                    .               .               .
1855-1859     10-14                   .               .               .
1855-1859     15-19                   .               .               .
1855-1859     20-24                   .               .               .
1855-1859     25-29                   .               .               .
1855-1859     30-34                   .               .               .
1855-1859     35-39                   .               .               .
1855-1859     40-44                   .               .               .
1855-1859     45-49                   .               .               .
1855-1859     50-54                   .               .               .
1855-1859     55-59                   .               .               .
1855-1859     60-64                   .               .               .
1855-1859     65-69           316202.31       354091.04       670293.35
1855-1859     70-74           273588.68       286058.62       559647.30
1855-1859     75-79           200706.00       190033.61       390739.61
1855-1859     80-84           128826.24       110233.69       239059.92
1855-1859     85-89            58104.85        41697.84        99802.69
1855-1859     90-94            17997.60        10745.33        28742.94
1855-1859     95-99             3285.36         1699.45         4984.82
1855-1859    100-104             307.88          142.25          450.12
1855-1859    105-109              24.16            4.39           28.55
1855-1859    110+                  0.27            0.00            0.27
1860-1864        0                    .               .               .
1860-1864      1-4                    .               .               .
1860-1864      5-9                    .               .               .
1860-1864     10-14                   .               .               .
1860-1864     15-19                   .               .               .
1860-1864     20-24                   .               .               .
1860-1864     25-29                   .               .               .
1860-1864     30-34                   .               .               .
1860-1864     35-39                   .               .               .
1860-1864     40-44                   .               .               .
1860-1864     45-49                   .               .               .
1860-1864     50-54                   .               .               .
1860-1864     55-59                   .               .               .
1860-1864     60-64           439513.82       504938.22       944452.04
1860-1864     65-69           405109.22       443789.15       848898.37
1860-1864     70-74           336330.35       344539.56       680869.92
1860-1864     75-79           249005.65       232376.85       481382.50
1860-1864     80-84           164144.89       133198.43       297343.33
1860-1864     85-89            76186.51        52955.40       129141.91
1860-1864     90-94            24469.75        14145.71        38615.46
1860-1864     95-99             4842.60         2226.84         7069.45
1860-1864    100-104             520.55          214.27          734.83
1860-1864    105-109              14.09            5.44           19.53
1860-1864    110+                  0.00            0.00            0.00
1865-1869        0                    .               .               .
1865-1869      1-4                    .               .               .
1865-1869      5-9                    .               .               .
1865-1869     10-14                   .               .               .
1865-1869     15-19                   .               .               .
1865-1869     20-24                   .               .               .
1865-1869     25-29                   .               .               .
1865-1869     30-34                   .               .               .
1865-1869     35-39                   .               .               .
1865-1869     40-44                   .               .               .
1865-1869     45-49                   .               .               .
1865-1869     50-54                   .               .               .
1865-1869     55-59           534380.92       599276.32      1133657.24
1865-1869     60-64           522297.37       558229.32      1080526.69
1865-1869     65-69           467467.97       468648.90       936116.87
1865-1869     70-74           391502.13       364704.42       756206.55
1865-1869     75-79           289568.99       244074.70       533643.69
1865-1869     80-84           187950.54       140722.02       328672.56
1865-1869     85-89            88740.97        56337.33       145078.30
1865-1869     90-94            29479.62        14901.20        44380.83
1865-1869     95-99             6143.33         2340.39         8483.72
1865-1869    100-104             643.94          168.26          812.20
1865-1869    105-109              28.76            8.70           37.46
1865-1869    110+                  1.13            0.00            1.13
1870-1874        0                    .               .               .
1870-1874      1-4                    .               .               .
1870-1874      5-9                    .               .               .
1870-1874     10-14                   .               .               .
1870-1874     15-19                   .               .               .
1870-1874     20-24                   .               .               .
1870-1874     25-29                   .               .               .
1870-1874     30-34                   .               .               .
1870-1874     35-39                   .               .               .
1870-1874     40-44                   .               .               .
1870-1874     45-49                   .               .               .
1870-1874     50-54           626854.49       677280.59      1304135.09
1870-1874     55-59           619497.13       649910.68      1269407.81
