Ukraine, Life expectancy at birth (period, 1x5)	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1960-1964     74.13    67.63    71.36
1965-1969     74.74    67.45    71.57
1970-1974     74.61    66.55    71.04
1975-1979     74.18    65.21    70.10
1980-1984     74.23    64.71    69.79
1985-1989     74.78    66.28    70.83
1990-1994     73.89    63.87    68.98
1995-1999     73.16    62.11    67.58
2000-2004     73.59    62.12    67.75
2005-2009     73.91    62.39    68.06
2010-2013     75.80    65.87    70.92
