New Zealand, Life expectancy at birth (period, 1x5)	Last modified: 06 Jun 2022;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1948-1949     70.78    67.12    68.88
1950-1954     71.95    67.55    69.67
1955-1959     73.24    68.20    70.63
1960-1964     74.06    68.51    71.19
1965-1969     74.47    68.27    71.26
1970-1974     74.90    68.64    71.68
1975-1979     75.94    69.35    72.56
1980-1984     76.84    70.63    73.69
1985-1989     77.39    71.30    74.31
1990-1994     79.08    73.35    76.23
1995-1999     80.01    74.74    77.41
2000-2004     81.19    76.59    78.94
2005-2009     82.20    78.10    80.20
2010-2014     83.03    79.34    81.22
2015-2019     83.51    80.03    81.79
2020-2021     84.24    80.70    82.48
