United Kingdom, Life tables (period 5x10), Males	Last modified: 28 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1922-1929        0      0.08729  0.08226  0.30  100000    8226   94235  5662753  56.63
1922-1929      1-4      0.01065  0.04140  1.27   91774    3799  356728  5568518  60.68
1922-1929      5-9      0.00252  0.01249  2.15   87975    1099  436747  5211790  59.24
1922-1929     10-14     0.00169  0.00842  2.56   86876     731  432593  4775043  54.96
1922-1929     15-19     0.00266  0.01323  2.69   86144    1140  428091  4342450  50.41
1922-1929     20-24     0.00341  0.01691  2.52   85004    1437  421464  3914360  46.05
1922-1929     25-29     0.00367  0.01818  2.54   83567    1519  414102  3492896  41.80
1922-1929     30-34     0.00423  0.02093  2.58   82048    1717  406086  3078794  37.52
1922-1929     35-39     0.00557  0.02747  2.62   80331    2207  396414  2672707  33.27
1922-1929     40-44     0.00738  0.03624  2.59   78125    2831  383808  2276294  29.14
1922-1929     45-49     0.00992  0.04846  2.61   75293    3648  367751  1892486  25.13
1922-1929     50-54     0.01378  0.06674  2.64   71645    4781  346917  1524735  21.28
1922-1929     55-59     0.02018  0.09634  2.66   66864    6441  319214  1177818  17.62
1922-1929     60-64     0.03089  0.14395  2.64   60422    8698  281589   858604  14.21
1922-1929     65-69     0.04847  0.21697  2.59   51724   11222  231521   577015  11.16
1922-1929     70-74     0.07658  0.32274  2.57   40502   13072  170688   345494   8.53
1922-1929     75-79     0.12127  0.46173  2.42   27430   12665  104438   174806   6.37
1922-1929     80-84     0.17826  0.60362  2.33   14765    8912   49997    70368   4.77
1922-1929     85-89     0.26752  0.75311  2.10    5852    4408   16475    20370   3.48
1922-1929     90-94     0.35440  0.84553  1.91    1445    1222    3447     3895   2.70
1922-1929     95-99     0.49118  0.92835  1.65     223     207     422      448   2.01
1922-1929    100-104    0.61383  0.96383  1.44      16      15      25       26   1.62
1922-1929    105-109    0.72451  0.98051  1.28       1       1       1        1   1.38
1922-1929    110+       0.80384  1.00000  1.24       0       0       0        0   1.24
1930-1939        0      0.07311  0.06939  0.27  100000    6939   94912  5946730  59.47
1930-1939      1-4      0.00653  0.02568  1.40   93061    2390  366025  5851818  62.88
1930-1939      5-9      0.00220  0.01094  2.13   90671     992  450506  5485793  60.50
1930-1939     10-14     0.00140  0.00699  2.55   89679     627  446858  5035287  56.15
1930-1939     15-19     0.00232  0.01156  2.70   89052    1029  442891  4588429  51.53
1930-1939     20-24     0.00307  0.01525  2.52   88022    1343  436779  4145538  47.10
1930-1939     25-29     0.00308  0.01528  2.51   86680    1324  430108  3708759  42.79
1930-1939     30-34     0.00341  0.01692  2.58   85355    1444  423278  3278652  38.41
1930-1939     35-39     0.00451  0.02230  2.61   83912    1871  415094  2855373  34.03
1930-1939     40-44     0.00613  0.03020  2.62   82040    2478  404305  2440280  29.74
1930-1939     45-49     0.00902  0.04415  2.65   79563    3512  389542  2035975  25.59
1930-1939     50-54     0.01323  0.06413  2.64   76050    4877  368741  1646433  21.65
1930-1939     55-59     0.01932  0.09241  2.65   71173    6577  340409  1277692  17.95
1930-1939     60-64     0.02941  0.13751  2.64   64596    8883  302022   937282  14.51
1930-1939     65-69     0.04575  0.20612  2.60   55713   11484  251026   635260  11.40
1930-1939     70-74     0.07380  0.31287  2.57   44230   13838  187506   384234   8.69
1930-1939     75-79     0.11822  0.45424  2.45   30392   13805  116777   196728   6.47
1930-1939     80-84     0.17527  0.59715  2.33   16587    9905   56511    79951   4.82
1930-1939     85-89     0.26339  0.74761  2.11    6682    4995   18966    23439   3.51
1930-1939     90-94     0.36173  0.85503  1.92    1686    1442    3986     4474   2.65
1930-1939     95-99     0.49468  0.92996  1.64     244     227     460      487   1.99
1930-1939    100-104    0.62003  0.96519  1.43      17      17      27       27   1.60
1930-1939    105-109    0.73221  0.98140  1.27       1       1       1        1   1.36
1930-1939    110+       0.81180  1.00000  1.23       0       0       0        0   1.23
1940-1949        0      0.05562  0.05328  0.21  100000    5328   95789  6239376  62.39
1940-1949      1-4      0.00321  0.01275  1.58   94672    1208  375764  6143587  64.89
1940-1949      5-9      0.00144  0.00720  2.21   93465     673  465447  5767823  61.71
1940-1949     10-14     0.00107  0.00536  2.62   92792     497  462777  5302376  57.14
1940-1949     15-19     0.00212  0.01056  2.78   92295     974  459310  4839599  52.44
1940-1949     20-24     0.00337  0.01671  2.57   91321    1526  452894  4380290  47.97
1940-1949     25-29     0.00310  0.01539  2.46   89795    1382  445458  3927396  43.74
1940-1949     30-34     0.00321  0.01594  2.52   88413    1410  438568  3481938  39.38
