Czechia, Life tables (period 1x10), Males	Last modified: 25 Jan 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1950-1959        0      0.04162  0.04022  0.16  100000    4022   96637  6523126  65.23
1950-1959        1      0.00332  0.00332  0.50   95978     318   95818  6426489  66.96
1950-1959        2      0.00173  0.00173  0.50   95659     165   95577  6330670  66.18
1950-1959        3      0.00126  0.00126  0.50   95494     120   95434  6235094  65.29
1950-1959        4      0.00095  0.00095  0.50   95373      91   95328  6139660  64.37
1950-1959        5      0.00076  0.00076  0.50   95283      73   95246  6044332  63.44
1950-1959        6      0.00075  0.00075  0.50   95210      72   95174  5949086  62.48
1950-1959        7      0.00069  0.00069  0.50   95138      66   95105  5853912  61.53
1950-1959        8      0.00065  0.00065  0.50   95072      62   95042  5758806  60.57
1950-1959        9      0.00061  0.00061  0.50   95011      58   94982  5663765  59.61
1950-1959       10      0.00062  0.00062  0.50   94953      59   94924  5568783  58.65
1950-1959       11      0.00061  0.00061  0.50   94894      58   94865  5473859  57.68
1950-1959       12      0.00059  0.00059  0.50   94836      56   94808  5378994  56.72
1950-1959       13      0.00064  0.00064  0.50   94780      61   94750  5284186  55.75
1950-1959       14      0.00076  0.00076  0.50   94719      72   94683  5189437  54.79
1950-1959       15      0.00086  0.00086  0.50   94647      82   94607  5094754  53.83
1950-1959       16      0.00106  0.00106  0.50   94566     100   94516  5000147  52.87
1950-1959       17      0.00135  0.00135  0.50   94465     127   94402  4905631  51.93
1950-1959       18      0.00173  0.00173  0.50   94338     163   94256  4811230  51.00
1950-1959       19      0.00180  0.00180  0.50   94175     169   94090  4716973  50.09
1950-1959       20      0.00175  0.00175  0.50   94005     164   93923  4622883  49.18
1950-1959       21      0.00186  0.00185  0.50   93841     174   93754  4528960  48.26
1950-1959       22      0.00188  0.00188  0.50   93667     176   93579  4435206  47.35
1950-1959       23      0.00192  0.00192  0.50   93491     180   93401  4341627  46.44
1950-1959       24      0.00187  0.00187  0.50   93311     174   93224  4248226  45.53
1950-1959       25      0.00189  0.00189  0.50   93137     176   93049  4155002  44.61
1950-1959       26      0.00187  0.00187  0.50   92961     174   92874  4061953  43.70
1950-1959       27      0.00182  0.00181  0.50   92787     168   92703  3969079  42.78
1950-1959       28      0.00186  0.00186  0.50   92619     173   92533  3876376  41.85
1950-1959       29      0.00189  0.00189  0.50   92446     175   92359  3783843  40.93
1950-1959       30      0.00195  0.00195  0.50   92271     180   92181  3691485  40.01
1950-1959       31      0.00194  0.00194  0.50   92091     179   92002  3599303  39.08
1950-1959       32      0.00205  0.00205  0.50   91913     188   91818  3507301  38.16
1950-1959       33      0.00217  0.00217  0.50   91724     199   91625  3415483  37.24
1950-1959       34      0.00230  0.00230  0.50   91525     210   91420  3323858  36.32
1950-1959       35      0.00251  0.00251  0.50   91315     229   91200  3232438  35.40
1950-1959       36      0.00241  0.00241  0.50   91086     219   90976  3141237  34.49
1950-1959       37      0.00269  0.00269  0.50   90867     244   90744  3050261  33.57
1950-1959       38      0.00265  0.00265  0.50   90622     240   90502  2959517  32.66
1950-1959       39      0.00297  0.00297  0.50   90383     268   90248  2869014  31.74
1950-1959       40      0.00332  0.00331  0.50   90114     298   89965  2778766  30.84
1950-1959       41      0.00356  0.00355  0.50   89816     319   89656  2688801  29.94
1950-1959       42      0.00383  0.00383  0.50   89497     342   89326  2599144  29.04
1950-1959       43      0.00414  0.00413  0.50   89155     369   88970  2509819  28.15
1950-1959       44      0.00456  0.00455  0.50   88786     404   88584  2420848  27.27
1950-1959       45      0.00505  0.00504  0.50   88382     445   88159  2332265  26.39
1950-1959       46      0.00544  0.00542  0.50   87936     477   87698  2244106  25.52
1950-1959       47      0.00614  0.00612  0.50   87460     535   87192  2156408  24.66
1950-1959       48      0.00678  0.00676  0.50   86924     588   86630  2069216  23.80
1950-1959       49      0.00782  0.00779  0.50   86337     673   86000  1982585  22.96
1950-1959       50      0.00890  0.00886  0.50   85664     759   85285  1896585  22.14
1950-1959       51      0.00966  0.00961  0.50   84905     816   84497  1811300  21.33
1950-1959       52      0.01109  0.01103  0.50   84089     928   83625  1726803  20.54
1950-1959       53      0.01218  0.01210  0.50   83162    1006   82658  1643178  19.76
1950-1959       54      0.01375  0.01366  0.50   82155    1122   81594  1560519  18.99
1950-1959       55      0.01504  0.01493  0.50   81033    1210   80428  1478925  18.25
1950-1959       56      0.01677  0.01663  0.50   79823    1327   79159  1398497  17.52
1950-1959       57      0.01842  0.01825  0.50   78496    1433   77779  1319338  16.81
1950-1959       58      0.02059  0.02038  0.50   77063    1571   76278  1241559  16.11
1950-1959       59      0.02218  0.02194  0.50   75492    1656   74664  1165281  15.44
1950-1959       60      0.02508  0.02477  0.50   73836    1829   72921  1090617  14.77
1950-1959       61      0.02679  0.02643  0.50   72007    1903   71055  1017696  14.13
1950-1959       62      0.02903  0.02862  0.50   70104    2006   69100   946640  13.50
1950-1959       63      0.03143  0.03094  0.50   68097    2107   67044   877540  12.89
1950-1959       64      0.03455  0.03397  0.50   65990    2241   64870   810496  12.28
1950-1959       65      0.03813  0.03742  0.50   63749    2385   62556   745627  11.70
1950-1959       66      0.04105  0.04022  0.50   61364    2468   60130   683070  11.13
1950-1959       67      0.04490  0.04391  0.50   58896    2586   57602   622941  10.58
1950-1959       68      0.04949  0.04829  0.50   56309    2719   54950   565338  10.04
1950-1959       69      0.05364  0.05224  0.50   53590    2800   52190   510389   9.52
1950-1959       70      0.05831  0.05666  0.50   50790    2878   49351   458199   9.02
1950-1959       71      0.06389  0.06191  0.50   47913    2966   46430   408847   8.53
1950-1959       72      0.06966  0.06732  0.50   44946    3026   43434   362417   8.06
1950-1959       73      0.07619  0.07339  0.50   41921    3077   40383   318984   7.61
1950-1959       74      0.08355  0.08020  0.50   38844    3115   37286   278601   7.17
1950-1959       75      0.09014  0.08625  0.50   35729    3082   34188   241315   6.75
1950-1959       76      0.09950  0.09478  0.50   32647    3094   31100   207127   6.34
1950-1959       77      0.10716  0.10171  0.50   29553    3006   28050   176027   5.96
1950-1959       78      0.11963  0.11287  0.50   26547    2996   25049   147977   5.57
1950-1959       79      0.13153  0.12341  0.50   23550    2906   22097   122928   5.22
1950-1959       80      0.14512  0.13531  0.50   20644    2793   19247   100831   4.88
1950-1959       81      0.15689  0.14547  0.50   17851    2597   16552    81584   4.57
1950-1959       82      0.17339  0.15955  0.50   15254    2434   14037    65032   4.26
1950-1959       83      0.19304  0.17604  0.50   12820    2257   11692    50994   3.98
1950-1959       84      0.21286  0.19239  0.50   10563    2032    9547    39303   3.72
1950-1959       85      0.22904  0.20551  0.50    8531    1753    7654    29756   3.49
1950-1959       86      0.25304  0.22462  0.50    6778    1522    6017    22101   3.26
1950-1959       87      0.27070  0.23843  0.50    5255    1253    4629    16085   3.06
1950-1959       88      0.29765  0.25909  0.50    4002    1037    3484    11456   2.86
1950-1959       89      0.32883  0.28240  0.50    2965     837    2547     7972   2.69
1950-1959       90      0.33417  0.28633  0.50    2128     609    1823     5425   2.55
1950-1959       91      0.38417  0.32227  0.50    1519     489    1274     3602   2.37
1950-1959       92      0.39784  0.33183  0.50    1029     342     858     2328   2.26
1950-1959       93      0.41641  0.34465  0.50     688     237     569     1470   2.14
1950-1959       94      0.46759  0.37899  0.50     451     171     365      901   2.00
1950-1959       95      0.48656  0.39135  0.50     280     110     225      535   1.91
1950-1959       96      0.51537  0.40978  0.50     170      70     135      310   1.82
1950-1959       97      0.54408  0.42772  0.50     101      43      79      175   1.74
1950-1959       98      0.57251  0.44510  0.50      58      26      45       96   1.66
1950-1959       99      0.60046  0.46181  0.50      32      15      25       51   1.59
1950-1959      100      0.62777  0.47780  0.50      17       8      13       26   1.53
1950-1959      101      0.65429  0.49301  0.50       9       4       7       13   1.48
1950-1959      102      0.67989  0.50740  0.50       5       2       3        6   1.43
1950-1959      103      0.70444  0.52095  0.50       2       1       2        3   1.38
1950-1959      104      0.72787  0.53365  0.50       1       1       1        1   1.34
1950-1959      105      0.75010  0.54551  0.50       1       0       0        1   1.31
1950-1959      106      0.77108  0.55652  0.50       0       0       0        0   1.27
1950-1959      107      0.79079  0.56672  0.50       0       0       0        0   1.25
1950-1959      108      0.80923  0.57612  0.50       0       0       0        0   1.22
1950-1959      109      0.82640  0.58477  0.50       0       0       0        0   1.20
1950-1959      110+     0.84232  1.00000  1.19       0       0       0        0   1.19
1960-1969        0      0.02441  0.02389  0.11  100000    2389   97869  6699367  66.99
1960-1969        1      0.00175  0.00175  0.50   97611     171   97526  6601498  67.63
1960-1969        2      0.00107  0.00107  0.50   97440     104   97388  6503972  66.75
1960-1969        3      0.00084  0.00084  0.50   97336      82   97295  6406584  65.82
1960-1969        4      0.00070  0.00070  0.50   97255      68   97220  6309288  64.87
1960-1969        5      0.00059  0.00058  0.50   97186      57   97158  6212068  63.92
1960-1969        6      0.00055  0.00055  0.50   97130      54   97103  6114910  62.96
1960-1969        7      0.00060  0.00060  0.50   97076      58   97047  6017807  61.99
1960-1969        8      0.00051  0.00051  0.50   97018      50   96993  5920760  61.03
1960-1969        9      0.00048  0.00048  0.50   96968      47   96944  5823768  60.06
1960-1969       10      0.00045  0.00045  0.50   96921      44   96899  5726823  59.09
1960-1969       11      0.00042  0.00042  0.50   96878      40   96857  5629924  58.11
1960-1969       12      0.00047  0.00047  0.50   96837      45   96815  5533066  57.14
1960-1969       13      0.00049  0.00049  0.50   96792      48   96768  5436252  56.16
1960-1969       14      0.00055  0.00055  0.50   96745      53   96718  5339483  55.19
1960-1969       15      0.00066  0.00066  0.50   96691      64   96659  5242765  54.22
1960-1969       16      0.00084  0.00084  0.50   96628      81   96587  5146106  53.26
1960-1969       17      0.00134  0.00134  0.50   96547     129   96482  5049519  52.30
1960-1969       18      0.00165  0.00165  0.50   96418     159   96338  4953037  51.37
1960-1969       19      0.00157  0.00157  0.50   96258     151   96183  4856699  50.45
1960-1969       20      0.00166  0.00166  0.50   96108     159   96028  4760516  49.53
1960-1969       21      0.00183  0.00183  0.50   95948     175   95860  4664488  48.61
1960-1969       22      0.00182  0.00182  0.50   95773     174   95686  4568627  47.70
1960-1969       23      0.00176  0.00176  0.50   95599     168   95515  4472941  46.79
1960-1969       24      0.00173  0.00173  0.50   95431     165   95348  4377426  45.87
1960-1969       25      0.00166  0.00166  0.50   95266     158   95187  4282078  44.95
1960-1969       26      0.00167  0.00167  0.50   95107     159   95028  4186891  44.02
1960-1969       27      0.00162  0.00162  0.50   94948     153   94872  4091864  43.10
1960-1969       28      0.00168  0.00168  0.50   94795     159   94715  3996992  42.16
1960-1969       29      0.00171  0.00171  0.50   94636     162   94555  3902276  41.23
1960-1969       30      0.00177  0.00177  0.50   94474     167   94390  3807722  40.30
1960-1969       31      0.00168  0.00168  0.50   94307     158   94228  3713331  39.37
1960-1969       32      0.00198  0.00197  0.50   94149     186   94056  3619104  38.44
1960-1969       33      0.00204  0.00204  0.50   93963     192   93867  3525048  37.52
1960-1969       34      0.00207  0.00207  0.50   93771     194   93674  3431181  36.59
1960-1969       35      0.00207  0.00206  0.50   93577     193   93480  3337507  35.67
1960-1969       36      0.00225  0.00224  0.50   93384     209   93279  3244026  34.74
1960-1969       37      0.00245  0.00245  0.50   93174     228   93060  3150747  33.82
1960-1969       38      0.00269  0.00269  0.50   92946     250   92821  3057687  32.90
1960-1969       39      0.00288  0.00288  0.50   92696     267   92563  2964865  31.98
1960-1969       40      0.00319  0.00318  0.50   92430     294   92283  2872302  31.08
1960-1969       41      0.00339  0.00339  0.50   92135     312   91979  2780020  30.17
1960-1969       42      0.00364  0.00363  0.50   91824     334   91657  2688040  29.27
1960-1969       43      0.00414  0.00413  0.50   91490     378   91301  2596384  28.38
1960-1969       44      0.00468  0.00467  0.50   91112     425   90899  2505083  27.49
1960-1969       45      0.00487  0.00486  0.50   90686     441   90466  2414184  26.62
1960-1969       46      0.00540  0.00539  0.50   90246     486   90003  2323718  25.75
1960-1969       47      0.00573  0.00572  0.50   89759     513   89503  2233715  24.89
1960-1969       48      0.00636  0.00634  0.50   89246     566   88964  2144212  24.03
1960-1969       49      0.00679  0.00677  0.50   88681     600   88380  2055249  23.18
1960-1969       50      0.00768  0.00765  0.50   88080     674   87743  1966868  22.33
1960-1969       51      0.00861  0.00857  0.50   87407     749   87032  1879125  21.50
1960-1969       52      0.00937  0.00932  0.50   86657     808   86253  1792093  20.68
1960-1969       53      0.01078  0.01072  0.50   85849     920   85389  1705840  19.87
1960-1969       54      0.01195  0.01188  0.50   84929    1009   84425  1620450  19.08
1960-1969       55      0.01343  0.01334  0.50   83920    1119   83361  1536026  18.30
1960-1969       56      0.01486  0.01475  0.50   82801    1221   82190  1452665  17.54
1960-1969       57      0.01674  0.01660  0.50   81580    1354   80902  1370475  16.80
1960-1969       58      0.01895  0.01878  0.50   80225    1506   79472  1289572  16.07
1960-1969       59      0.02120  0.02098  0.50   78719    1652   77893  1210100  15.37
1960-1969       60      0.02397  0.02368  0.50   77067    1825   76155  1132207  14.69
1960-1969       61      0.02666  0.02631  0.50   75242    1979   74253  1056052  14.04
1960-1969       62      0.02901  0.02860  0.50   73263    2095   72215   981799  13.40
1960-1969       63      0.03290  0.03236  0.50   71168    2303   70016   909584  12.78
1960-1969       64      0.03563  0.03501  0.50   68865    2411   67659   839568  12.19
1960-1969       65      0.03914  0.03839  0.50   66454    2551   65178   771909  11.62
1960-1969       66      0.04313  0.04222  0.50   63903    2698   62554   706730  11.06
1960-1969       67      0.04730  0.04621  0.50   61205    2828   59791   644176  10.52
1960-1969       68      0.05181  0.05050  0.50   58377    2948   56903   584385  10.01
1960-1969       69      0.05596  0.05444  0.50   55429    3017   53920   527482   9.52
1960-1969       70      0.06069  0.05890  0.50   52411    3087   50868   473562   9.04
1960-1969       71      0.06558  0.06349  0.50   49324    3132   47758   422694   8.57
1960-1969       72      0.07201  0.06950  0.50   46192    3211   44587   374936   8.12
1960-1969       73      0.07804  0.07511  0.50   42982    3228   41368   330349   7.69
1960-1969       74      0.08387  0.08050  0.50   39754    3200   38154   288981   7.27
1960-1969       75      0.08999  0.08612  0.50   36554    3148   34980   250827   6.86
