West Germany, Life tables (period 1x10), Males	Last modified: 03 Jun 2022;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1956-1959        0      0.04247  0.04102  0.17  100000    4102   96582  6630950  66.31
1956-1959        1      0.00285  0.00285  0.50   95898     273   95761  6534368  68.14
1956-1959        2      0.00147  0.00147  0.50   95625     140   95555  6438607  67.33
1956-1959        3      0.00110  0.00110  0.50   95484     105   95432  6343052  66.43
1956-1959        4      0.00094  0.00094  0.50   95379      90   95334  6247621  65.50
1956-1959        5      0.00079  0.00079  0.50   95290      75   95252  6152286  64.56
1956-1959        6      0.00075  0.00075  0.50   95214      71   95179  6057034  63.61
1956-1959        7      0.00068  0.00068  0.50   95143      65   95111  5961856  62.66
1956-1959        8      0.00059  0.00059  0.50   95079      56   95051  5866745  61.70
1956-1959        9      0.00055  0.00055  0.50   95023      53   94996  5771694  60.74
1956-1959       10      0.00047  0.00047  0.50   94970      45   94948  5676698  59.77
1956-1959       11      0.00048  0.00048  0.50   94925      46   94903  5581750  58.80
1956-1959       12      0.00051  0.00051  0.50   94880      48   94855  5486847  57.83
1956-1959       13      0.00050  0.00050  0.50   94831      48   94807  5391992  56.86
1956-1959       14      0.00064  0.00064  0.50   94784      61   94753  5297185  55.89
1956-1959       15      0.00080  0.00080  0.50   94723      76   94685  5202431  54.92
1956-1959       16      0.00100  0.00100  0.50   94647      95   94600  5107746  53.97
1956-1959       17      0.00113  0.00113  0.50   94552     106   94499  5013147  53.02
1956-1959       18      0.00152  0.00152  0.50   94446     144   94374  4918648  52.08
1956-1959       19      0.00181  0.00181  0.50   94302     171   94217  4824273  51.16
1956-1959       20      0.00197  0.00197  0.50   94131     186   94039  4730057  50.25
1956-1959       21      0.00202  0.00202  0.50   93946     190   93851  4636018  49.35
1956-1959       22      0.00194  0.00194  0.50   93756     182   93665  4542167  48.45
1956-1959       23      0.00188  0.00188  0.50   93574     176   93486  4448503  47.54
1956-1959       24      0.00184  0.00184  0.50   93398     172   93312  4355017  46.63
1956-1959       25      0.00176  0.00176  0.50   93226     164   93144  4261705  45.71
1956-1959       26      0.00181  0.00181  0.50   93062     168   92978  4168561  44.79
1956-1959       27      0.00179  0.00178  0.50   92894     166   92811  4075583  43.87
1956-1959       28      0.00177  0.00176  0.50   92728     164   92646  3982771  42.95
1956-1959       29      0.00178  0.00178  0.50   92565     165   92482  3890125  42.03
1956-1959       30      0.00179  0.00179  0.50   92400     165   92317  3797643  41.10
1956-1959       31      0.00188  0.00188  0.50   92234     173   92148  3705326  40.17
1956-1959       32      0.00195  0.00195  0.50   92062     180   91972  3613178  39.25
1956-1959       33      0.00193  0.00193  0.50   91882     177   91793  3521206  38.32
1956-1959       34      0.00204  0.00203  0.50   91705     187   91612  3429412  37.40
1956-1959       35      0.00222  0.00221  0.50   91518     203   91417  3337801  36.47
1956-1959       36      0.00233  0.00233  0.50   91316     213   91209  3246384  35.55
1956-1959       37      0.00237  0.00236  0.50   91103     215   90995  3155174  34.63
1956-1959       38      0.00256  0.00256  0.50   90887     232   90771  3064179  33.71
1956-1959       39      0.00290  0.00289  0.50   90655     262   90524  2973408  32.80
1956-1959       40      0.00279  0.00278  0.50   90393     252   90267  2882884  31.89
1956-1959       41      0.00321  0.00321  0.50   90141     289   89997  2792617  30.98
1956-1959       42      0.00348  0.00347  0.50   89852     312   89696  2702620  30.08
1956-1959       43      0.00369  0.00368  0.50   89540     330   89375  2612924  29.18
1956-1959       44      0.00411  0.00410  0.50   89210     366   89028  2523549  28.29
1956-1959       45      0.00453  0.00452  0.50   88845     401   88644  2434521  27.40
1956-1959       46      0.00503  0.00502  0.50   88443     444   88221  2345877  26.52
1956-1959       47      0.00550  0.00548  0.50   87999     482   87758  2257656  25.66
1956-1959       48      0.00614  0.00612  0.50   87517     535   87249  2169898  24.79
1956-1959       49      0.00680  0.00677  0.50   86981     589   86687  2082649  23.94
1956-1959       50      0.00773  0.00770  0.50   86392     665   86060  1995962  23.10
1956-1959       51      0.00862  0.00858  0.50   85727     736   85359  1909903  22.28
1956-1959       52      0.00960  0.00956  0.50   84992     812   84585  1824543  21.47
1956-1959       53      0.01053  0.01047  0.50   84179     881   83738  1739958  20.67
1956-1959       54      0.01199  0.01192  0.50   83298     993   82801  1656219  19.88
1956-1959       55      0.01347  0.01338  0.50   82305    1101   81754  1573418  19.12
1956-1959       56      0.01483  0.01472  0.50   81204    1195   80606  1491664  18.37
1956-1959       57      0.01679  0.01665  0.50   80008    1332   79342  1411058  17.64
1956-1959       58      0.01839  0.01822  0.50   78676    1433   77959  1331716  16.93
1956-1959       59      0.02016  0.01996  0.50   77243    1542   76472  1253756  16.23
1956-1959       60      0.02212  0.02188  0.50   75701    1656   74873  1177284  15.55
1956-1959       61      0.02380  0.02352  0.50   74044    1742   73174  1102412  14.89
1956-1959       62      0.02601  0.02568  0.50   72303    1857   71374  1029238  14.24
1956-1959       63      0.02814  0.02775  0.50   70446    1955   69469   957864  13.60
1956-1959       64      0.03031  0.02985  0.50   68491    2045   67469   888395  12.97
1956-1959       65      0.03405  0.03348  0.50   66446    2225   65334   820926  12.35
1956-1959       66      0.03657  0.03591  0.50   64222    2306   63069   755592  11.77
1956-1959       67      0.03975  0.03897  0.50   61916    2413   60709   692524  11.18
1956-1959       68      0.04319  0.04228  0.50   59503    2516   58245   631815  10.62
1956-1959       69      0.04701  0.04593  0.50   56987    2617   55678   573570  10.06
1956-1959       70      0.05205  0.05073  0.50   54370    2758   52990   517892   9.53
1956-1959       71      0.05714  0.05555  0.50   51611    2867   50178   464901   9.01
1956-1959       72      0.06281  0.06090  0.50   48744    2968   47260   414723   8.51
1956-1959       73      0.06883  0.06654  0.50   45776    3046   44253   367463   8.03
1956-1959       74      0.07565  0.07289  0.50   42730    3115   41172   323211   7.56
1956-1959       75      0.08310  0.07978  0.50   39615    3161   38035   282038   7.12
1956-1959       76      0.09247  0.08838  0.50   36454    3222   34843   244004   6.69
1956-1959       77      0.10176  0.09683  0.50   33233    3218   31624   209160   6.29
1956-1959       78      0.11253  0.10654  0.50   30015    3198   28416   177537   5.92
1956-1959       79      0.12201  0.11500  0.50   26817    3084   25275   149121   5.56
1956-1959       80      0.13216  0.12397  0.50   23733    2942   22262   123846   5.22
1956-1959       81      0.14484  0.13506  0.50   20791    2808   19387   101584   4.89
1956-1959       82      0.15961  0.14781  0.50   17983    2658   16654    82198   4.57
1956-1959       83      0.17470  0.16067  0.50   15325    2462   14094    65544   4.28
1956-1959       84      0.18896  0.17265  0.50   12862    2221   11752    51451   4.00
1956-1959       85      0.21003  0.19007  0.50   10642    2023    9630    39698   3.73
1956-1959       86      0.22925  0.20567  0.50    8619    1773    7733    30068   3.49
1956-1959       87      0.25279  0.22442  0.50    6846    1536    6078    22335   3.26
1956-1959       88      0.27456  0.24142  0.50    5310    1282    4669    16257   3.06
1956-1959       89      0.29739  0.25890  0.50    4028    1043    3507    11588   2.88
1956-1959       90      0.32542  0.27988  0.50    2985     835    2567     8082   2.71
1956-1959       91      0.34507  0.29430  0.50    2150     633    1833     5514   2.57
1956-1959       92      0.37273  0.31418  0.50    1517     477    1279     3681   2.43
1956-1959       93      0.39162  0.32749  0.50    1040     341     870     2402   2.31
1956-1959       94      0.40176  0.33456  0.50     700     234     583     1532   2.19
1956-1959       95      0.45169  0.36847  0.50     466     172     380      950   2.04
1956-1959       96      0.47979  0.38696  0.50     294     114     237      570   1.94
1956-1959       97      0.50802  0.40511  0.50     180      73     144      333   1.85
1956-1959       98      0.53619  0.42283  0.50     107      45      85      189   1.76
1956-1959       99      0.56414  0.44002  0.50      62      27      48      104   1.68
1956-1959      100      0.59168  0.45660  0.50      35      16      27       56   1.62
1956-1959      101      0.61866  0.47250  0.50      19       9      14       29   1.55
1956-1959      102      0.64493  0.48767  0.50      10       5       8       15   1.50
1956-1959      103      0.67035  0.50207  0.50       5       3       4        7   1.45
1956-1959      104      0.69481  0.51567  0.50       3       1       2        4   1.40
1956-1959      105      0.71822  0.52845  0.50       1       1       1        2   1.36
1956-1959      106      0.74051  0.54042  0.50       1       0       0        1   1.32
1956-1959      107      0.76162  0.55157  0.50       0       0       0        0   1.29
1956-1959      108      0.78152  0.56194  0.50       0       0       0        0   1.26
1956-1959      109      0.80019  0.57152  0.50       0       0       0        0   1.24
1956-1959      110+     0.81764  1.00000  1.22       0       0       0        0   1.22
1960-1969        0      0.03010  0.02933  0.13  100000    2933   97438  6725563  67.26
1960-1969        1      0.00200  0.00200  0.50   97067     194   96971  6628125  68.28
1960-1969        2      0.00120  0.00120  0.50   96874     116   96815  6531155  67.42
1960-1969        3      0.00096  0.00096  0.50   96757      93   96711  6434339  66.50
1960-1969        4      0.00080  0.00080  0.50   96665      78   96626  6337628  65.56
1960-1969        5      0.00074  0.00074  0.50   96587      72   96551  6241002  64.62
1960-1969        6      0.00068  0.00068  0.50   96515      66   96482  6144451  63.66
1960-1969        7      0.00061  0.00061  0.50   96449      59   96420  6047969  62.71
1960-1969        8      0.00058  0.00058  0.50   96390      56   96362  5951549  61.74
1960-1969        9      0.00051  0.00051  0.50   96334      49   96310  5855187  60.78
1960-1969       10      0.00049  0.00049  0.50   96285      47   96261  5758877  59.81
1960-1969       11      0.00045  0.00045  0.50   96238      43   96216  5662616  58.84
1960-1969       12      0.00044  0.00044  0.50   96195      43   96174  5566399  57.87
1960-1969       13      0.00050  0.00049  0.50   96152      48   96129  5470225  56.89
1960-1969       14      0.00057  0.00057  0.50   96105      55   96077  5374097  55.92
1960-1969       15      0.00069  0.00069  0.50   96050      66   96017  5278020  54.95
1960-1969       16      0.00106  0.00106  0.50   95984     102   95933  5182003  53.99
1960-1969       17      0.00127  0.00127  0.50   95882     122   95821  5086070  53.05
1960-1969       18      0.00159  0.00158  0.50   95760     152   95684  4990250  52.11
1960-1969       19      0.00172  0.00172  0.50   95608     164   95526  4894566  51.19
1960-1969       20      0.00171  0.00170  0.50   95444     163   95362  4799040  50.28
1960-1969       21      0.00177  0.00177  0.50   95281     169   95197  4703678  49.37
1960-1969       22      0.00171  0.00170  0.50   95112     162   95031  4608481  48.45
1960-1969       23      0.00165  0.00165  0.50   94950     157   94872  4513450  47.53
1960-1969       24      0.00160  0.00159  0.50   94793     151   94718  4418579  46.61
1960-1969       25      0.00157  0.00157  0.50   94642     149   94568  4323861  45.69
1960-1969       26      0.00155  0.00155  0.50   94494     146   94420  4229293  44.76
1960-1969       27      0.00157  0.00157  0.50   94347     148   94273  4134872  43.83
1960-1969       28      0.00156  0.00156  0.50   94200     147   94126  4040599  42.89
1960-1969       29      0.00161  0.00161  0.50   94052     151   93977  3946473  41.96
1960-1969       30      0.00164  0.00164  0.50   93901     154   93824  3852496  41.03
1960-1969       31      0.00168  0.00167  0.50   93747     157   93669  3758672  40.09
1960-1969       32      0.00177  0.00177  0.50   93591     166   93508  3665003  39.16
