Italy , Life tables (cohort 5x10), Total	Last modified: 09 May 2024;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1872-1879        0      0.24916  0.21243  0.31  100000   21243   85258  3754875  37.55
1872-1879      1-4      0.06088  0.21093  1.46   78757   16612  272876  3669617  46.59
1872-1879      5-9      0.01170  0.05640  1.82   62145    3505  299590  3396741  54.66
1872-1879     10-14     0.00501  0.02476  2.53   58640    1452  289618  3097151  52.82
1872-1879     15-19     0.00577  0.02846  2.61   57188    1627  282049  2807533  49.09
1872-1879     20-24     0.00745  0.03657  2.52   55561    2032  272764  2525484  45.45
1872-1879     25-29     0.00698  0.03431  2.46   53529    1837  262987  2252720  42.08
1872-1879     30-34     0.00705  0.03462  2.49   51692    1790  253967  1989732  38.49
1872-1879     35-39     0.00791  0.03882  2.68   49903    1937  245010  1735765  34.78
1872-1879     40-44     0.01050  0.05114  2.47   47965    2453  233615  1490756  31.08
1872-1879     45-49     0.00942  0.04599  2.44   45513    2093  222198  1257140  27.62
1872-1879     50-54     0.01131  0.05503  2.58   43420    2390  211305  1034943  23.84
1872-1879     55-59     0.01532  0.07392  2.63   41030    3033  197958   823638  20.07
1872-1879     60-64     0.02350  0.11133  2.65   37997    4230  180026   625680  16.47
1872-1879     65-69     0.03646  0.16756  2.59   33767    5658  155203   445654  13.20
1872-1879     70-74     0.05520  0.24318  2.56   28109    6836  123833   290450  10.33
1872-1879     75-79     0.08804  0.36137  2.52   21273    7688   87317   166617   7.83
1872-1879     80-84     0.13537  0.50096  2.41   13586    6806   50277    79300   5.84
1872-1879     85-89     0.20552  0.65716  2.26    6780    4455   21680    29023   4.28
1872-1879     90-94     0.29666  0.78991  2.04    2324    1836    6189     7344   3.16
1872-1879     95-99     0.41120  0.89178  1.83     488     435    1059     1154   2.36
1872-1879    100-104    0.54737  0.94647  1.54      53      50      91       95   1.80
1872-1879    105-109    0.71852  0.97283  1.25       3       3       4        4   1.38
1872-1879    110+       1.07143  1.00000  0.93       0       0       0        0   0.93
1880-1889        0      0.23323  0.20074  0.31  100000   20074   86069  3965061  39.65
1880-1889      1-4      0.05598  0.19588  1.44   79926   15656  279665  3878992  48.53
1880-1889      5-9      0.00924  0.04480  1.64   64270    2879  311687  3599328  56.00
1880-1889     10-14     0.00393  0.01948  2.64   61391    1196  304129  3287640  53.55
1880-1889     15-19     0.00516  0.02547  2.63   60195    1533  297336  2983511  49.56
1880-1889     20-24     0.00672  0.03304  2.52   58662    1938  288509  2686176  45.79
1880-1889     25-29     0.00968  0.04738  2.78   56724    2687  277650  2397666  42.27
1880-1889     30-34     0.01162  0.05638  2.38   54036    3046  262197  2120016  39.23
1880-1889     35-39     0.00874  0.04272  2.30   50990    2178  249075  1857819  36.43
1880-1889     40-44     0.00677  0.03327  2.51   48812    1624  240024  1608744  32.96
1880-1889     45-49     0.00779  0.03823  2.56   47188    1804  231531  1368720  29.01
1880-1889     50-54     0.01032  0.05034  2.62   45384    2285  221483  1137189  25.06
1880-1889     55-59     0.01453  0.07018  2.58   43099    3025  208191   915706  21.25
1880-1889     60-64     0.02010  0.09586  2.59   40074    3842  191104   707515  17.66
1880-1889     65-69     0.02973  0.13885  2.63   36233    5031  169221   516411  14.25
1880-1889     70-74     0.04750  0.21314  2.60   31202    6650  140022   347190  11.13
1880-1889     75-79     0.07631  0.32124  2.54   24551    7887  103359   207168   8.44
1880-1889     80-84     0.12290  0.46699  2.43   16664    7782   63322   103809   6.23
1880-1889     85-89     0.18889  0.62462  2.29    8882    5548   29372    40487   4.56
1880-1889     90-94     0.28018  0.77010  2.08    3334    2568    9164    11115   3.33
1880-1889     95-99     0.38032  0.86638  1.86     767     664    1746     1951   2.54
1880-1889    100-104    0.49520  0.92973  1.64     102      95     192      205   2.00
1880-1889    105-109    0.58071  0.95149  1.47       7       7      12       12   1.70
1880-1889    110+       0.85321  1.00000  1.17       0       0       0        0   1.17
1890-1899        0      0.20331  0.17817  0.31  100000   17817   87635  4312475  43.12
1890-1899      1-4      0.04237  0.15298  1.45   82183   12573  296705  4224840  51.41
1890-1899      5-9      0.00644  0.03154  1.71   69610    2195  340821  3928135  56.43
1890-1899     10-14     0.00318  0.01576  2.58   67415    1062  334508  3587314  53.21
