Sweden, Exposure to risk (period 5x10), 	Last modified: 23 May 2024;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1751-1759        0            248303.46       252955.28       501258.74
1751-1759      1-4            901136.50       888834.39      1789970.89
1751-1759      5-9            855644.38       850157.68      1705802.06
1751-1759     10-14           804615.93       805957.05      1610572.98
1751-1759     15-19           742295.68       694434.28      1436729.96
1751-1759     20-24           753835.03       648705.85      1402540.88
1751-1759     25-29           704436.87       617683.56      1322120.43
1751-1759     30-34           640335.47       576270.05      1216605.52
1751-1759     35-39           536540.75       488677.35      1025218.10
1751-1759     40-44           482693.90       430653.80       913347.71
1751-1759     45-49           409132.72       354577.09       763709.80
1751-1759     50-54           391342.51       322083.92       713426.43
1751-1759     55-59           321905.50       248310.73       570216.23
1751-1759     60-64           320542.28       222580.86       543123.13
1751-1759     65-69           255457.40       172893.63       428351.04
1751-1759     70-74           181359.66       119345.34       300705.00
1751-1759     75-79            94481.19        61011.63       155492.82
1751-1759     80-84            59412.11        35382.71        94794.82
1751-1759     85-89            23505.04        13261.34        36766.38
1751-1759     90-94             7410.04         3920.12        11330.16
1751-1759     95-99             1657.04          834.12         2491.16
1751-1759    100-104             239.93          110.68          350.61
1751-1759    105-109               7.55            2.15            9.69
1751-1759    110+                  0.00            0.00            0.00
1760-1769        0            274123.01       280176.80       554299.81
1760-1769      1-4           1031199.38      1016451.39      2047650.77
1760-1769      5-9            997928.20      1014360.04      2012288.24
1760-1769     10-14          1004491.52       996902.44      2001393.96
1760-1769     15-19           881935.56       860089.97      1742025.53
1760-1769     20-24           849227.89       742629.65      1591857.54
1760-1769     25-29           790245.47       681719.80      1471965.27
1760-1769     30-34           759501.76       669783.54      1429285.30
1760-1769     35-39           674979.61       609103.71      1284083.32
1760-1769     40-44           622585.78       555617.09      1178202.87
1760-1769     45-49           519224.44       450951.80       970176.24
1760-1769     50-54           462870.03       387335.32       850205.35
1760-1769     55-59           385182.12       311360.93       696543.05
1760-1769     60-64           355268.19       270374.62       625642.81
1760-1769     65-69           261175.90       182976.54       444152.44
1760-1769     70-74           190460.10       123939.76       314399.86
1760-1769     75-79           111288.27        71485.57       182773.84
1760-1769     80-84            67175.08        41127.01       108302.09
1760-1769     85-89            25854.78        15223.99        41078.76
1760-1769     90-94             7854.12         4167.74        12021.86
1760-1769     95-99             1450.90          676.11         2127.00
1760-1769    100-104             134.28           37.01          171.29
1760-1769    105-109               0.24            0.00            0.24
1760-1769    110+                  0.00            0.00            0.00
1770-1779        0            285898.04       292714.37       578612.41
1770-1779      1-4           1030145.39      1015954.12      2046099.50
1770-1779      5-9            993202.33       985886.90      1979089.23
1770-1779     10-14          1025974.24      1006242.07      2032216.31
1770-1779     15-19           956585.60       930936.45      1887522.05
1770-1779     20-24           936498.25       861078.55      1797576.80
1770-1779     25-29           821255.57       749190.87      1570446.44
1770-1779     30-34           754391.74       680072.95      1434464.69
1770-1779     35-39           680564.55       620244.27      1300808.83
1770-1779     40-44           646749.23       588768.85      1235518.08
1770-1779     45-49           568392.26       490166.70      1058558.96
1770-1779     50-54           513805.73       442936.62       956742.35
1770-1779     55-59           414245.35       346104.08       760349.43
1770-1779     60-64           357153.14       291669.46       648822.61
1770-1779     65-69           255170.53       186714.47       441884.99
1770-1779     70-74           181056.19       127379.33       308435.52
1770-1779     75-79            98876.49        66578.05       165454.54
1770-1779     80-84            49570.48        29250.18        78820.65
1770-1779     85-89            19382.08        10842.99        30225.07
1770-1779     90-94             6137.42         2982.47         9119.89
1770-1779     95-99             1408.07          616.77         2024.83
1770-1779    100-104             206.35           63.11          269.46
1770-1779    105-109               6.77            0.30            7.07
1770-1779    110+                  0.00            0.00            0.00
1780-1789        0            301988.51       305756.36       607744.87
1780-1789      1-4           1075418.33      1064544.30      2139962.63
1780-1789      5-9           1019583.28      1021460.37      2041043.65
1780-1789     10-14          1000548.48       998101.95      1998650.43
1780-1789     15-19           958168.54       924428.33      1882596.87
1780-1789     20-24           989266.11       904095.86      1893361.98
1780-1789     25-29           916643.22       835889.89      1752533.11
1780-1789     30-34           845507.29       785054.61      1630561.90
1780-1789     35-39           728965.12       683150.44      1412115.56
1780-1789     40-44           663008.78       614738.89      1277747.68
1780-1789     45-49           580305.91       519167.37      1099473.27
1780-1789     50-54           545353.62       475972.53      1021326.16
1780-1789     55-59           464154.08       393015.85       857169.93
1780-1789     60-64           401762.46       323174.39       724936.85
1780-1789     65-69           278054.50       217982.93       496037.43
1780-1789     70-74           187446.26       137152.20       324598.45
1780-1789     75-79           102058.95        70403.57       172462.52
1780-1789     80-84            50308.40        31247.40        81555.81
1780-1789     85-89            17103.81         9611.52        26715.33
1780-1789     90-94             4374.07         1990.36         6364.44
1780-1789     95-99              722.65          247.77          970.42
1780-1789    100-104              53.18            6.19           59.38
1780-1789    105-109               0.00            0.00            0.00
1780-1789    110+                  0.00            0.00            0.00
1790-1799        0            317973.80       324821.29       642795.09
1790-1799      1-4           1142344.38      1131346.23      2273690.61
1790-1799      5-9           1105447.12      1126545.98      2231993.11
1790-1799     10-14          1073475.09      1090918.90      2164393.99
1790-1799     15-19           986209.10       962833.25      1949042.35
1790-1799     20-24           973791.18       878847.17      1852638.35
1790-1799     25-29           925024.45       822261.41      1747285.86
1790-1799     30-34           870595.33       798697.85      1669293.18
1790-1799     35-39           795524.37       732605.01      1528129.38
1790-1799     40-44           737227.02       689508.15      1426735.18
1790-1799     45-49           626241.62       572841.08      1199082.70
1790-1799     50-54           549100.65       489225.85      1038326.50
1790-1799     55-59           468873.81       396483.15       865356.96
1790-1799     60-64           413621.79       338352.09       751973.89
1790-1799     65-69           310602.49       247557.51       558160.00
1790-1799     70-74           212258.18       159884.23       372142.41
1790-1799     75-79           113210.47        77535.08       190745.55
1790-1799     80-84            56735.76        35341.56        92077.32
1790-1799     85-89            17150.19         9415.99        26566.18
1790-1799     90-94             3811.36         1704.00         5515.37
1790-1799     95-99              491.86          160.54          652.40
1790-1799    100-104              20.28            0.81           21.09
1790-1799    105-109               0.00            0.00            0.00
1790-1799    110+                  0.00            0.00            0.00
1800-1809        0            310633.98       317446.69       628080.66
1800-1809      1-4           1181377.61      1172902.44      2354280.05
1800-1809      5-9           1221729.06      1231904.85      2453633.91
1800-1809     10-14          1174372.00      1194128.31      2368500.31
1800-1809     15-19          1076059.45      1052695.25      2128754.70
1800-1809     20-24          1047006.89       955811.93      2002818.82
1800-1809     25-29           958140.99       874167.13      1832308.12
1800-1809     30-34           875838.73       794207.70      1670046.42
1800-1809     35-39           813609.86       729386.95      1542996.81
1800-1809     40-44           776831.34       698456.84      1475288.18
1800-1809     45-49           696799.59       623475.96      1320275.55
1800-1809     50-54           630773.75       556201.26      1186975.01
1800-1809     55-59           510015.13       434289.67       944304.80
1800-1809     60-64           415609.04       340091.31       755700.35
1800-1809     65-69           318990.56       242068.40       561058.96
1800-1809     70-74           227528.28       163466.57       390994.85
1800-1809     75-79           126717.23        88194.40       214911.63
1800-1809     80-84            67049.65        40803.89       107853.54
1800-1809     85-89            20637.71        11367.70        32005.40
1800-1809     90-94             4078.38         1880.74         5959.12
1800-1809     95-99              434.27          144.59          578.86
1800-1809    100-104               7.16            0.09            7.26
1800-1809    105-109               0.00            0.00            0.00
1800-1809    110+                  0.00            0.00            0.00
1810-1819        0            351123.29       359494.56       710617.85
1810-1819      1-4           1169702.17      1164479.44      2334181.61
1810-1819      5-9           1205352.06      1201330.97      2406683.03
1810-1819     10-14          1178492.76      1179198.14      2357690.90
1810-1819     15-19          1153540.75      1138077.88      2291618.63
1810-1819     20-24          1118874.29      1022530.66      2141404.95
1810-1819     25-29          1015767.35       912361.97      1928129.32
1810-1819     30-34           932878.43       835102.62      1767981.04
1810-1819     35-39           834079.88       752001.39      1586081.27
1810-1819     40-44           757458.31       656750.82      1414209.13
1810-1819     45-49           688533.33       597075.54      1285608.87
1810-1819     50-54           642479.03       542753.08      1185232.11
1810-1819     55-59           561953.89       460757.72      1022711.61
1810-1819     60-64           469445.04       371249.08       840694.12
1810-1819     65-69           336608.20       256361.36       592969.56
1810-1819     70-74           214416.02       156096.77       370512.79
