Taiwan, Exposure to risk (period 5x10), 	Last modified: 18 Sep 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1970-1979        0           1750023.27      1869621.01      3619644.27
1970-1979      1-4           7270544.76      7710307.79     14980852.56
1970-1979      5-9           9479394.05     10014835.31     19494229.36
1970-1979     10-14          9676607.37     10207131.44     19883738.82
1970-1979     15-19          9222895.89      9701050.24     18923946.13
1970-1979     20-24          7816538.34      8180659.69     15997198.03
1970-1979     25-29          5679427.73      5939595.79     11619023.52
1970-1979     30-34          4545671.53      4717351.85      9263023.38
1970-1979     35-39          4268962.94      4548211.53      8817174.47
1970-1979     40-44          3754510.76      4636758.51      8391269.27
1970-1979     45-49          3203071.35      4620884.24      7823955.59
1970-1979     50-54          2583890.16      3789311.03      6373201.19
1970-1979     55-59          2040923.30      2779691.98      4820615.28
1970-1979     60-64          1640339.59      2006488.81      3646828.40
1970-1979     65-69          1224628.43      1287916.20      2512544.62
1970-1979     70-74           812503.64       721222.47      1533726.11
1970-1979     75-79           472390.66       343840.24       816230.90
1970-1979     80-84           222558.50       134040.75       356599.25
1970-1979     85-89            88347.40        43721.37       132068.76
1970-1979     90-94            25838.20        11062.35        36900.55
1970-1979     95-99             5019.47         2013.88         7033.36
1970-1979    100-104             619.73          217.34          837.07
1970-1979    105-109              29.79            3.07           32.86
1970-1979    110+                  0.00            0.00            0.00
1980-1989        0           1614523.00      1734235.00      3348758.00
1980-1989      1-4           7389807.44      7876484.35     15266291.79
1980-1989      5-9           9429481.83     10006621.69     19436103.51
1980-1989     10-14          9116355.85      9648302.33     18764658.18
1980-1989     15-19          9365686.07      9852346.05     19218032.12
1980-1989     20-24          9569949.42     10038493.35     19608442.77
1980-1989     25-29          9060535.13      9476027.52     18536562.65
1980-1989     30-34          7635733.46      7993727.69     15629461.15
1980-1989     35-39          5546329.97      5828010.15     11374340.12
1980-1989     40-44          4456155.98      4641422.44      9097578.42
1980-1989     45-49          4145996.72      4389024.93      8535021.65
1980-1989     50-54          3624259.07      4413394.90      8037653.97
1980-1989     55-59          3038169.73      4256051.18      7294220.92
1980-1989     60-64          2386072.43      3309898.16      5695970.59
1980-1989     65-69          1797140.83      2254802.99      4051943.82
1980-1989     70-74          1313280.51      1426523.12      2739803.63
1980-1989     75-79           826650.25       737402.63      1564052.88
1980-1989     80-84           395476.35       280039.03       675515.38
1980-1989     85-89           149706.41        86996.60       236703.01
1980-1989     90-94            39929.82        20015.42        59945.23
1980-1989     95-99             7168.20         3686.74        10854.94
1980-1989    100-104             755.13          425.54         1180.66
1980-1989    105-109              24.82           14.28           39.10
1980-1989    110+                  0.00            0.00            0.00
1990-1999        0           1433709.83      1559839.00      2993548.83
1990-1999      1-4           6222289.53      6742985.83     12965275.36
1990-1999      5-9           8146310.27      8772003.75     16918314.02
1990-1999     10-14          9099556.05      9683625.87     18783181.91
1990-1999     15-19          9371705.76      9882893.56     19254599.32
1990-1999     20-24          9049702.48      9505383.27     18555085.75
1990-1999     25-29          9259092.87      9694117.10     18953209.97
1990-1999     30-34          9394828.01      9796794.57     19191622.58
1990-1999     35-39          8902946.26      9244085.63     18147031.89
1990-1999     40-44          7499825.38      7765040.86     15264866.24
1990-1999     45-49          5467453.41      5626124.75     11093578.16
1990-1999     50-54          4326957.69      4371373.74      8698331.43
1990-1999     55-59          3974730.85      4024711.92      7999442.77
1990-1999     60-64          3382372.02      3875519.04      7257891.06
1990-1999     65-69          2716476.32      3530649.52      6247125.84
1990-1999     70-74          1967069.20      2485212.70      4452281.89
1990-1999     75-79          1279480.05      1413013.46      2692493.51
1990-1999     80-84           704932.34       611597.47      1316529.81
1990-1999     85-89           298525.76       204858.17       503383.94
1990-1999     90-94            83139.19        45618.81       128757.99
1990-1999     95-99            14578.66         6664.52        21243.18
1990-1999    100-104            1418.56          542.20         1960.76
1990-1999    105-109              43.36            6.98           50.33
1990-1999    110+                  0.00            0.00            0.00
2000-2009        0           1047670.17      1147762.33      2195432.50
2000-2009      1-4           4873612.31      5323474.42     10197086.73
2000-2009      5-9           7182839.12      7815095.32     14997934.44
2000-2009     10-14          7686868.36      8353194.58     16040062.94
2000-2009     15-19          8086655.96      8681407.87     16768063.83
2000-2009     20-24          9076456.79      9545253.19     18621709.98
2000-2009     25-29          9452903.90      9757441.57     19210345.47
2000-2009     30-34          9174452.18      9363977.82     18538430.00
2000-2009     35-39          9320275.90      9526064.90     18846340.80
2000-2009     40-44          9356376.43      9555331.35     18911707.78
2000-2009     45-49          8800516.87      8900962.22     17701479.10
2000-2009     50-54          7361136.75      7349659.61     14710796.36
2000-2009     55-59          5280176.51      5176543.18     10456719.68
2000-2009     60-64          4096390.37      3881838.97      7978229.34
2000-2009     65-69          3633665.10      3396677.24      7030342.34
2000-2009     70-74          2902434.55      3020439.93      5922874.47
2000-2009     75-79          2091369.42      2401916.24      4493285.67
2000-2009     80-84          1227503.86      1272828.91      2500332.76
2000-2009     85-89           569333.17       483655.06      1052988.23
2000-2009     90-94           187552.51       129045.18       316597.69
2000-2009     95-99            37562.80        21273.34        58836.14
2000-2009    100-104            4127.11         2009.61         6136.72
2000-2009    105-109             197.78           67.92          265.70
2000-2009    110+                  0.00            0.00            0.00
2010-2019        0            902943.79       972382.88      1875326.67
2010-2019      1-4           3921007.32      4237229.99      8158237.31
2010-2019      5-9           5013790.08      5467392.95     10481183.03
2010-2019     10-14          5980152.83      6531590.72     12511743.55
2010-2019     15-19          7172225.63      7785645.78     14957871.40
2010-2019     20-24          7670433.65      8280169.26     15950602.91
