Czechia, Exposure to risk (period 5x10), 	Last modified: 25 Jan 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1950-1959        0            794563.52       838739.54      1633303.06
1950-1959      1-4           3313993.99      3476913.45      6790907.44
1950-1959      5-9           4092062.42      4257834.80      8349897.23
1950-1959     10-14          3482403.29      3593037.40      7075440.69
1950-1959     15-19          2959462.75      3033363.39      5992826.14
1950-1959     20-24          3109941.64      3168704.90      6278646.55
1950-1959     25-29          3491899.98      3455236.01      6947135.99
1950-1959     30-34          3291111.67      3151879.73      6442991.40
1950-1959     35-39          2906471.59      2766035.64      5672507.23
1950-1959     40-44          3281543.98      3145842.05      6427386.02
1950-1959     45-49          3579411.91      3422830.12      7002242.04
1950-1959     50-54          3312577.34      3050435.96      6363013.30
1950-1959     55-59          2880299.80      2430834.40      5311134.20
1950-1959     60-64          2335628.84      1806328.23      4141957.07
1950-1959     65-69          1844569.76      1360051.15      3204620.91
1950-1959     70-74          1367341.06       971671.99      2339013.05
1950-1959     75-79           866975.20       597692.99      1464668.19
1950-1959     80-84           425047.65       284854.45       709902.10
1950-1959     85-89           142457.85        87711.42       230169.28
1950-1959     90-94            28918.57        15357.41        44275.98
1950-1959     95-99             3067.16         1382.98         4450.14
1950-1959    100-104             137.28           35.14          172.43
1950-1959    105-109               0.00            0.00            0.00
1950-1959    110+                  0.00            0.00            0.00
1960-1969        0            670029.00       706230.07      1376259.07
1960-1969      1-4           2695818.26      2834598.43      5530416.69
1960-1969      5-9           3611219.25      3792315.94      7403535.19
1960-1969     10-14          4085324.39      4276607.69      8361932.08
1960-1969     15-19          4083564.25      4241232.52      8324796.78
1960-1969     20-24          3481698.03      3578151.31      7059849.35
1960-1969     25-29          2961525.23      3006869.18      5968394.42
1960-1969     30-34          3078417.75      3062349.41      6140767.15
1960-1969     35-39          3421405.45      3289301.53      6710706.98
1960-1969     40-44          3211026.54      3005746.73      6216773.26
1960-1969     45-49          2818309.87      2618532.25      5436842.12
1960-1969     50-54          3146615.48      2923042.42      6069657.90
1960-1969     55-59          3366791.70      3051074.86      6417866.56
1960-1969     60-64          3009592.11      2512227.18      5521819.29
1960-1969     65-69          2462986.97      1780367.93      4243354.90
1960-1969     70-74          1776365.84      1118485.18      2894851.02
1960-1969     75-79          1130907.95       659502.95      1790410.90
1960-1969     80-84           580518.55       318435.50       898954.04
1960-1969     85-89           209191.92       108533.94       317725.86
1960-1969     90-94            45333.19        21420.10        66753.28
1960-1969     95-99             5137.79         1971.80         7109.59
1960-1969    100-104             285.19           70.72          355.91
1960-1969    105-109               0.81            0.00            0.81
1960-1969    110+                  0.00            0.00            0.00
1970-1979        0            835437.19       877890.73      1713327.92
1970-1979      1-4           3128094.28      3283398.16      6411492.44
1970-1979      5-9           3479370.40      3656727.09      7136097.49
1970-1979     10-14          3334089.59      3505215.19      6839304.78
1970-1979     15-19          3587532.10      3759911.77      7347443.87
1970-1979     20-24          4059859.92      4217014.44      8276874.36
1970-1979     25-29          4034631.87      4151108.84      8185740.71
1970-1979     30-34          3427144.89      3487991.39      6915136.27
1970-1979     35-39          2909745.54      2910524.95      5820270.49
1970-1979     40-44          3007075.41      2933068.87      5940144.28
1970-1979     45-49          3322237.92      3113698.22      6435936.14
1970-1979     50-54          3082083.11      2776761.15      5858844.26
1970-1979     55-59          2652588.43      2323436.77      4976025.20
1970-1979     60-64          2865145.70      2418792.95      5283938.65
1970-1979     65-69          2886080.58      2228090.50      5114171.08
1970-1979     70-74          2307087.46      1510511.44      3817598.90
1970-1979     75-79          1539772.25       811205.99      2350978.24
1970-1979     80-84           779589.42       344861.31      1124450.74
1970-1979     85-89           285654.90       113783.60       399438.50
1970-1979     90-94            66511.88        24269.17        90781.04
1970-1979     95-99             8378.25         2898.77        11277.02
1970-1979    100-104             666.51          234.63          901.14
1970-1979    105-109              13.13            1.51           14.64
1970-1979    110+                  0.00            0.00            0.00
1980-1989        0            674067.74       708724.11      1382791.85
1980-1989      1-4           2909478.89      3053804.02      5963282.91
1980-1989      5-9           4111011.45      4309372.60      8420384.05
1980-1989     10-14          3951579.54      4138666.27      8090245.82
1980-1989     15-19          3466256.50      3635223.53      7101480.03
1980-1989     20-24          3326417.82      3474808.52      6801226.34
1980-1989     25-29          3586779.86      3708861.95      7295641.81
1980-1989     30-34          4033603.13      4131697.92      8165301.05
1980-1989     35-39          3983507.99      4044785.88      8028293.88
1980-1989     40-44          3374385.04      3372444.21      6746829.25
1980-1989     45-49          2847086.13      2774835.77      5621921.90
1980-1989     50-54          2907679.16      2718396.26      5626075.41
1980-1989     55-59          3148766.15      2754550.45      5903316.60
1980-1989     60-64          2822823.67      2277404.38      5100228.05
1980-1989     65-69          2289185.25      1704698.76      3993884.01
1980-1989     70-74          2218228.48      1483895.88      3702124.36
1980-1989     75-79          1842956.09      1035185.27      2878141.36
