Portugal, Life tables (period 5x5), Males	Last modified: 14 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1940-1944        0      0.15660  0.14111  0.30  100000   14111   90110  4825174  48.25
1940-1944      1-4      0.02519  0.09407  1.18   85889    8080  320753  4735064  55.13
1940-1944      5-9      0.00367  0.01814  2.14   77809    1412  385013  4414311  56.73
1940-1944     10-14     0.00233  0.01159  2.49   76398     886  379764  4029298  52.74
1940-1944     15-19     0.00370  0.01836  2.77   75512    1386  374466  3649534  48.33
1940-1944     20-24     0.00513  0.02535  2.51   74126    1879  365949  3275068  44.18
1940-1944     25-29     0.00527  0.02602  2.53   72247    1880  356590  2909118  40.27
1940-1944     30-34     0.00608  0.02997  2.56   70367    2109  346700  2552529  36.27
1940-1944     35-39     0.00734  0.03605  2.53   68258    2460  335227  2205829  32.32
1940-1944     40-44     0.00898  0.04396  2.59   65798    2893  322029  1870602  28.43
1940-1944     45-49     0.01159  0.05633  2.53   62905    3543  305765  1548573  24.62
1940-1944     50-54     0.01503  0.07250  2.58   59362    4304  286378  1242808  20.94
1940-1944     55-59     0.02083  0.09904  2.52   55058    5453  261757   956429  17.37
1940-1944     60-64     0.03179  0.14758  2.58   49605    7321  230284   694673  14.00
1940-1944     65-69     0.04809  0.21438  2.47   42285    9065  188514   464389  10.98
1940-1944     70-74     0.08088  0.33613  2.49   33220   11166  138050   275875   8.30
1940-1944     75-79     0.12774  0.47588  2.32   22054   10495   82160   137825   6.25
1940-1944     80-84     0.17868  0.59648  2.21   11559    6895   38586    55665   4.82
1940-1944     85-89     0.26097  0.73419  2.02    4664    3424   13122    17078   3.66
1940-1944     90-94     0.29494  0.76776  1.88    1240     952    3227     3957   3.19
1940-1944     95-99     0.38478  0.86640  1.83     288     249     648      729   2.53
1940-1944    100-104    0.46755  0.91488  1.67      38      35      75       81   2.11
1940-1944    105-109    0.55231  0.94660  1.53       3       3       6        6   1.80
1940-1944    110+       0.62037  1.00000  1.61       0       0       0        0   1.61
1945-1949        0      0.12793  0.11741  0.30  100000   11741   91772  5248484  52.48
1945-1949      1-4      0.01741  0.06639  1.18   88259    5860  336488  5156713  58.43
1945-1949      5-9      0.00264  0.01312  2.19   82400    1081  408964  4820225  58.50
1945-1949     10-14     0.00166  0.00825  2.54   81319     671  404946  4411261  54.25
1945-1949     15-19     0.00290  0.01442  2.83   80648    1163  400714  4006316  49.68
1945-1949     20-24     0.00477  0.02361  2.63   79484    1876  392978  3605602  45.36
1945-1949     25-29     0.00492  0.02429  2.47   77608    1885  383277  3212624  41.40
1945-1949     30-34     0.00522  0.02580  2.57   75723    1953  373869  2829347  37.36
1945-1949     35-39     0.00662  0.03258  2.55   73770    2404  362972  2455478  33.29
1945-1949     40-44     0.00823  0.04036  2.56   71366    2880  349802  2092507  29.32
1945-1949     45-49     0.01075  0.05240  2.60   68486    3589  333816  1742704  25.45
1945-1949     50-54     0.01438  0.06947  2.57   64897    4508  313544  1408888  21.71
1945-1949     55-59     0.01945  0.09285  2.57   60389    5607  288310  1095344  18.14
1945-1949     60-64     0.02860  0.13381  2.60   54782    7330  256288   807034  14.73
1945-1949     65-69     0.04488  0.20203  2.53   47451    9586  213599   550746  11.61
1945-1949     70-74     0.06996  0.29802  2.52   37865   11284  161296   337147   8.90
1945-1949     75-79     0.11651  0.44835  2.43   26580   11917  102287   175850   6.62
1945-1949     80-84     0.16766  0.57803  2.31   14663    8476   50551    73563   5.02
1945-1949     85-89     0.25362  0.72747  2.07    6187    4501   17747    23012   3.72
1945-1949     90-94     0.29784  0.76927  1.86    1686    1297    4355     5264   3.12
1945-1949     95-99     0.41838  0.89059  1.78     389     346     828      909   2.34
1945-1949    100-104    0.52156  0.93807  1.59      43      40      77       81   1.90
1945-1949    105-109    0.62341  0.96485  1.42       3       3       4        4   1.60
1945-1949    110+       0.70273  1.00000  1.42       0       0       0        0   1.42
1950-1954        0      0.10638  0.09900  0.30  100000    9900   93062  5736424  57.36
1950-1954      1-4      0.01279  0.04939  1.18   90100    4450  347858  5643362  62.63
1950-1954      5-9      0.00182  0.00906  2.17   85651     776  426056  5295505  61.83
1950-1954     10-14     0.00118  0.00588  2.53   84875     499  423142  4869449  57.37
1950-1954     15-19     0.00179  0.00890  2.73   84376     751  420173  4446307  52.70
1950-1954     20-24     0.00293  0.01454  2.60   83625    1216  415202  4026134  48.15
1950-1954     25-29     0.00324  0.01607  2.54   82408    1324  408783  3610933  43.82
1950-1954     30-34     0.00353  0.01749  2.57   81084    1418  401977  3202149  39.49
1950-1954     35-39     0.00448  0.02214  2.57   79666    1764  394049  2800172  35.15
1950-1954     40-44     0.00597  0.02942  2.63   77902    2292  384078  2406123  30.89
1950-1954     45-49     0.00825  0.04046  2.58   75611    3059  370645  2022045  26.74
1950-1954     50-54     0.01153  0.05612  2.63   72551    4071  353114  1651400  22.76
1950-1954     55-59     0.01704  0.08182  2.59   68480    5603  328915  1298287  18.96
