France, Total Population, Life tables (cohort 1x5), Total	Last modified: 23 Aug 2024;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1816-1819        0      0.20775  0.18157  0.31  100000   18157   87396  3856584  38.57
1816-1819        1      0.06058  0.05872  0.47   81843    4806   79320  3769188  46.05
1816-1819        2      0.04273  0.04183  0.50   77038    3222   75420  3689868  47.90
1816-1819        3      0.02824  0.02785  0.49   73815    2055   72776  3614448  48.97
1816-1819        4      0.01955  0.01936  0.50   71760    1389   71064  3541672  49.35
1816-1819        5      0.01630  0.01617  0.50   70371    1138   69804  3470608  49.32
1816-1819        6      0.01413  0.01403  0.50   69233     972   68750  3400805  49.12
1816-1819        7      0.01211  0.01204  0.50   68261     822   67851  3332055  48.81
1816-1819        8      0.01018  0.01013  0.50   67440     683   67099  3264204  48.40
1816-1819        9      0.00841  0.00838  0.50   66757     559   66476  3197106  47.89
1816-1819       10      0.00678  0.00676  0.50   66197     447   65974  3130629  47.29
1816-1819       11      0.00569  0.00567  0.50   65750     373   65565  3064655  46.61
1816-1819       12      0.00521  0.00519  0.51   65377     340   65210  2999090  45.87
1816-1819       13      0.00504  0.00503  0.51   65038     327   64876  2933880  45.11
1816-1819       14      0.00536  0.00535  0.51   64711     346   64541  2869004  44.34
1816-1819       15      0.00605  0.00604  0.51   64364     389   64173  2804463  43.57
1816-1819       16      0.00661  0.00659  0.50   63976     421   63767  2740290  42.83
1816-1819       17      0.00714  0.00711  0.51   63554     452   63332  2676523  42.11
1816-1819       18      0.00766  0.00763  0.50   63102     482   62863  2613191  41.41
1816-1819       19      0.00834  0.00831  0.51   62621     520   62364  2550328  40.73
1816-1819       20      0.00961  0.00956  0.51   62101     594   61808  2487964  40.06
1816-1819       21      0.01101  0.01095  0.51   61507     674   61173  2426156  39.45
1816-1819       22      0.01205  0.01198  0.50   60833     729   60471  2364983  38.88
1816-1819       23      0.01245  0.01237  0.50   60104     744   59734  2304512  38.34
1816-1819       24      0.01195  0.01188  0.50   59361     705   59007  2244777  37.82
1816-1819       25      0.01074  0.01068  0.50   58656     627   58339  2185770  37.26
1816-1819       26      0.00983  0.00979  0.50   58029     568   57745  2127431  36.66
1816-1819       27      0.00949  0.00945  0.50   57461     543   57191  2069686  36.02
1816-1819       28      0.00944  0.00940  0.50   56918     535   56653  2012495  35.36
1816-1819       29      0.01002  0.00997  0.51   56384     562   56108  1955843  34.69
1816-1819       30      0.01054  0.01049  0.50   55821     585   55529  1899735  34.03
1816-1819       31      0.01040  0.01035  0.50   55236     571   54950  1844206  33.39
1816-1819       32      0.01020  0.01015  0.50   54664     555   54387  1789256  32.73
1816-1819       33      0.00972  0.00967  0.49   54110     523   53845  1734869  32.06
1816-1819       34      0.00990  0.00985  0.51   53587     528   53328  1681024  31.37
1816-1819       35      0.01077  0.01071  0.51   53059     568   52778  1627696  30.68
1816-1819       36      0.01110  0.01104  0.50   52490     579   52203  1574918  30.00
1816-1819       37      0.01122  0.01116  0.50   51911     579   51624  1522716  29.33
1816-1819       38      0.01099  0.01093  0.50   51332     561   51050  1471092  28.66
1816-1819       39      0.01079  0.01073  0.50   50771     545   50500  1420042  27.97
1816-1819       40      0.01102  0.01096  0.50   50226     551   49953  1369542  27.27
1816-1819       41      0.01125  0.01119  0.50   49675     556   49399  1319590  26.56
1816-1819       42      0.01133  0.01127  0.50   49119     554   48844  1270191  25.86
1816-1819       43      0.01129  0.01123  0.50   48566     545   48294  1221347  25.15
1816-1819       44      0.01153  0.01146  0.51   48020     550   47749  1173053  24.43
1816-1819       45      0.01194  0.01187  0.51   47470     563   47193  1125304  23.71
1816-1819       46      0.01277  0.01269  0.51   46907     595   46614  1078111  22.98
1816-1819       47      0.01365  0.01356  0.51   46311     628   46001  1031497  22.27
1816-1819       48      0.01455  0.01445  0.51   45683     660   45358   985496  21.57
1816-1819       49      0.01548  0.01537  0.51   45023     692   44681   940138  20.88
1816-1819       50      0.01676  0.01662  0.51   44331     737   43970   895458  20.20
1816-1819       51      0.01921  0.01903  0.52   43594     830   43192   851488  19.53
1816-1819       52      0.02095  0.02074  0.50   42765     887   42325   808296  18.90
1816-1819       53      0.02153  0.02130  0.51   41878     892   41436   765971  18.29
1816-1819       54      0.02152  0.02129  0.50   40986     873   40550   724535  17.68
1816-1819       55      0.02068  0.02047  0.50   40113     821   39700   683985  17.05
1816-1819       56      0.02085  0.02064  0.51   39292     811   38891   644285  16.40
1816-1819       57      0.02215  0.02191  0.50   38481     843   38063   605394  15.73
1816-1819       58      0.02395  0.02367  0.51   37638     891   37198   567331  15.07
1816-1819       59      0.02622  0.02588  0.51   36747     951   36276   530132  14.43
1816-1819       60      0.02885  0.02844  0.51   35796    1018   35293   493856  13.80
1816-1819       61      0.03140  0.03092  0.51   34778    1075   34247   458563  13.19
1816-1819       62      0.03385  0.03330  0.51   33702    1122   33148   424316  12.59
1816-1819       63      0.03622  0.03558  0.51   32580    1159   32007   391168  12.01
1816-1819       64      0.03859  0.03787  0.51   31421    1190   30834   359161  11.43
