Finland, Life tables (cohort 5x5), Males	Last modified: 20 Jun 2024;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1878-1879        0      0.18900  0.16689  0.30  100000   16689   88303  3983254  39.83
1878-1879      1-4      0.04228  0.15294  1.50   83311   12741  301340  3894951  46.75
1878-1879      5-9      0.01003  0.04864  1.92   70570    3433  342269  3593611  50.92
1878-1879     10-14     0.00459  0.02270  2.38   67137    1524  331697  3251343  48.43
1878-1879     15-19     0.00466  0.02305  2.72   65613    1512  324613  2919646  44.50
1878-1879     20-24     0.00789  0.03868  2.50   64101    2480  314318  2595033  40.48
1878-1879     25-29     0.00773  0.03791  2.45   61621    2336  302157  2280715  37.01
1878-1879     30-34     0.00797  0.03907  2.54   59286    2316  290719  1978557  33.37
1878-1879     35-39     0.01361  0.06632  3.10   56969    3778  277682  1687839  29.63
1878-1879     40-44     0.01301  0.06273  2.15   53191    3337  256462  1410157  26.51
1878-1879     45-49     0.01473  0.07110  2.58   49854    3545  240711  1153695  23.14
1878-1879     50-54     0.01990  0.09487  2.56   46310    4394  220814   912984  19.71
1878-1879     55-59     0.02742  0.12868  2.62   41916    5394  196732   692170  16.51
1878-1879     60-64     0.04062  0.18449  2.52   36522    6738  165881   495438  13.57
1878-1879     65-69     0.05349  0.23603  2.51   29784    7030  131436   329557  11.06
1878-1879     70-74     0.07781  0.32571  2.50   22755    7411   95254   198121   8.71
1878-1879     75-79     0.11359  0.43940  2.42   15343    6742   59350   102867   6.70
1878-1879     80-84     0.16165  0.56755  2.38    8601    4882   30199    43518   5.06
1878-1879     85-89     0.25557  0.74151  2.17    3720    2758   10793    13319   3.58
1878-1879     90-94     0.36230  0.85550  1.92     962     823    2270     2526   2.63
1878-1879     95-99     0.53211  0.93182  1.51     139     129     243      256   1.84
1878-1879    100-104    0.74601  1.00000  1.34       9       9      13       13   1.34
1878-1879    105-109         .       .    .       0       0       0        0      .
1878-1879    110+             .        .    .       0       0       0        0      .
1880-1884        0      0.20676  0.18059  0.30  100000   18059   87342  3988852  39.89
1880-1884      1-4      0.03881  0.14095  1.39   81941   11549  297568  3901509  47.61
1880-1884      5-9      0.00871  0.04250  2.20   70392    2992  343594  3603942  51.20
1880-1884     10-14     0.00454  0.02241  2.21   67400    1510  332784  3260348  48.37
1880-1884     15-19     0.00535  0.02643  2.79   65889    1741  325605  2927564  44.43
1880-1884     20-24     0.00800  0.03923  2.55   64148    2516  314563  2601959  40.56
1880-1884     25-29     0.00775  0.03799  2.45   61632    2341  302191  2287396  37.11
1880-1884     30-34     0.01022  0.05003  2.90   59291    2966  290238  1985205  33.48
1880-1884     35-39     0.01441  0.06928  2.24   56324    3902  270859  1694967  30.09
1880-1884     40-44     0.01028  0.05015  2.60   52422    2629  255809  1424109  27.17
1880-1884     45-49     0.01413  0.06830  2.57   49793    3401  240700  1168300  23.46
