Poland, Population size (1-year)	Last modified: 13 Apr 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
     1958        0            359456.33       377023.94       736480.27
     1958      1-4           1401210.22      1462762.21      2863972.43
     1958      5-9           1625992.45      1690171.24      3316163.69
     1958     10-14          1125074.61      1153994.92      2279069.53
     1958     15-19          1026749.44      1063484.73      2090234.17
     1958     20-24          1128955.68      1137210.06      2266165.74
     1958     25-29          1212503.03      1208926.50      2421429.53
     1958     30-34          1166545.05      1034121.75      2200666.80
     1958     35-39           891418.09       781791.84      1673209.93
     1958     40-44           758270.37       646497.55      1404767.92
     1958     45-49           939437.15       832405.40      1771842.55
     1958     50-54           838571.24       742512.89      1581084.13
     1958     55-59           716120.72       578117.88      1294238.60
     1958     60-64           545063.10       399469.09       944532.19
     1958     65-69           391968.74       259663.42       651632.16
     1958     70-74           277031.81       170926.17       447957.98
     1958     75-79           164596.60        93634.92       258231.52
     1958     80-84            84212.31        44506.04       128718.35
     1958     85-89            29551.55        13567.52        43119.07
     1958     90-94             7344.47         2706.43        10050.90
     1958     95-99              956.02          301.47         1257.49
     1958    100-104              40.64           11.74           52.38
     1958    105-109               0.00            0.00            0.00
     1958    110+                  0.00            0.00            0.00
     1959        0            350430.98       367451.69       717882.67
     1959      1-4           1405613.68      1468434.19      2874047.87
     1959      5-9           1664760.26      1730135.96      3394896.22
     1959     10-14          1244426.85      1282081.49      2526508.34
     1959     15-19           996008.07      1027009.52      2023017.59
     1959     20-24          1120675.72      1134133.68      2254809.40
     1959     25-29          1194197.37      1198299.24      2392496.61
     1959     30-34          1177061.95      1067553.66      2244615.61
     1959     35-39           993129.31       871482.68      1864611.99
     1959     40-44           700599.29       591502.44      1292101.73
     1959     45-49           935220.46       823843.17      1759063.63
     1959     50-54           860672.56       761905.67      1622578.23
     1959     55-59           735778.58       605483.90      1341262.48
     1959     60-64           571284.20       420163.60       991447.80
     1959     65-69           398180.15       268343.31       666523.46
     1959     70-74           297114.77       180818.36       477933.13
     1959     75-79           171186.80        97595.80       268782.60
     1959     80-84            86302.45        45365.81       131668.26
     1959     85-89            31794.22        14585.59        46379.81
     1959     90-94             7605.32         2857.24        10462.56
     1959     95-99             1085.98          336.25         1422.23
     1959    100-104              44.38            7.63           52.01
     1959    105-109               0.00            0.00            0.00
     1959    110+                  0.00            0.00            0.00
     1960        0            326473.47       343063.94       669537.41
     1960      1-4           1401314.26      1465772.78      2867087.04
     1960      5-9           1701002.52      1768419.02      3469421.54
     1960     10-14          1359301.39      1404374.80      2763676.19
     1960     15-19           975767.44       997688.17      1973455.61
     1960     20-24          1107435.74      1131350.84      2238786.58
     1960     25-29          1178735.04      1183396.15      2362131.19
     1960     30-34          1184938.28      1104943.49      2289881.77
     1960     35-39          1053376.55       920537.48      1973914.03
     1960     40-44           681966.39       582182.25      1264148.64
     1960     45-49           933085.84       805400.52      1738486.36
     1960     50-54           876691.87       779628.06      1656319.93
     1960     55-59           767066.24       636693.42      1403759.66
     1960     60-64           588465.89       438535.42      1027001.31
     1960     65-69           415150.20       279962.26       695112.46
     1960     70-74           307073.30       187454.26       494527.56
     1960     75-79           179343.97       100653.46       279997.43
     1960     80-84            88494.70        46253.52       134748.22
     1960     85-89            33421.83        15159.52        48581.35
     1960     90-94             7572.35         2895.35        10467.70
     1960     95-99             1242.74          375.20         1617.94
     1960    100-104              45.03           10.71           55.74
     1960    105-109               0.00            0.00            0.00
     1960    110+                  0.00            0.00            0.00
     1961        0            305600.00       319900.00       625500.00
     1961      1-4           1366000.00      1428700.00      2794700.00
     1961      5-9           1725000.00      1795300.00      3520300.00
     1961     10-14          1495600.00      1549000.00      3044600.00
     1961     15-19           957500.00       976700.00      1934200.00
     1961     20-24          1089900.00      1119300.00      2209200.00
     1961     25-29          1152100.00      1156000.00      2308100.00
     1961     30-34          1191000.00      1141900.00      2332900.00
     1961     35-39          1108000.00       961900.00      2069900.00
     1961     40-44           727000.00       631500.00      1358500.00
     1961     45-49           879500.00       749900.00      1629400.00
     1961     50-54           901400.00       801200.00      1702600.00
     1961     55-59           766800.00       650400.00      1417200.00
     1961     60-64           629200.00       468500.00      1097700.00
     1961     65-69           436200.00       296800.00       733000.00
     1961     70-74           319800.00       194100.00       513900.00
     1961     75-79           187000.00       105000.00       292000.00
     1961     80-84            92713.54        47674.38       140387.92
     1961     85-89            35472.88        16215.94        51688.82
     1961     90-94             8645.79         3225.56        11871.35
     1961     95-99             1326.65          384.26         1710.91
     1961    100-104              72.86           20.53           93.39
     1961    105-109               0.65            0.00            0.65
     1961    110+                  0.00            0.00            0.00
     1962        0            291148.08       309783.16       600931.24
     1962      1-4           1316664.25      1376132.29      2692796.54
     1962      5-9           1735894.95      1810095.47      3545990.42
     1962     10-14          1565013.16      1622956.14      3187969.30
     1962     15-19          1023915.26      1044367.75      2068283.01
     1962     20-24          1056353.08      1087715.02      2144068.10
     1962     25-29          1140543.14      1140818.83      2281361.97
     1962     30-34          1194593.72      1172827.68      2367421.40
     1962     35-39          1151795.85       999608.39      2151404.24
     1962     40-44           781712.19       685506.18      1467218.37
     1962     45-49           825066.46       694443.78      1519510.24
     1962     50-54           903668.17       801452.14      1705120.31
     1962     55-59           792326.45       675649.87      1467976.32
     1962     60-64           647360.57       491931.78      1139292.35
     1962     65-69           466956.44       316417.24       783373.68
     1962     70-74           324224.19       197949.99       522174.18
     1962     75-79           201293.84       111138.03       312431.87
     1962     80-84            95247.13        48859.82       144106.95
     1962     85-89            37663.18        16993.28        54656.46
     1962     90-94             8817.34         3408.44        12225.78
     1962     95-99             1383.06          411.37         1794.43
     1962    100-104              81.82           21.70          103.52
     1962    105-109               0.76            0.00            0.76
     1962    110+                  0.00            0.00            0.00
     1963        0            278032.49       296540.20       574572.69
     1963      1-4           1251736.41      1312672.15      2564408.56
     1963      5-9           1743464.88      1818124.82      3561589.70
     1963     10-14          1618754.38      1680150.53      3298904.91
     1963     15-19          1120006.76      1146933.44      2266940.20
     1963     20-24          1021941.21      1049600.86      2071542.07
     1963     25-29          1121976.47      1125332.58      2247309.05
     1963     30-34          1202345.29      1193542.72      2395888.01
     1963     35-39          1154809.78      1018933.94      2173743.72
     1963     40-44           881234.61       768121.55      1649356.16
     1963     45-49           744211.35       628714.97      1372926.32
     1963     50-54           916575.52       799389.33      1715964.85
     1963     55-59           809586.09       696920.24      1506506.33
     1963     60-64           676302.15       521029.98      1197332.13
     1963     65-69           494699.39       338628.96       833328.35
     1963     70-74           331628.27       200901.83       532530.10
     1963     75-79           207438.22       114834.11       322272.33
     1963     80-84           100467.89        50535.27       151003.16
     1963     85-89            38120.85        17301.17        55422.02
     1963     90-94             9213.85         3577.12        12790.97
     1963     95-99             1423.44          389.86         1813.30
     1963    100-104             112.76           23.87          136.63
     1963    105-109               2.95            0.00            2.95
     1963    110+                  0.00            0.00            0.00
     1964        0            275695.82       292094.82       567790.64
     1964      1-4           1182689.98      1244304.05      2426994.03
     1964      5-9           1738742.20      1814906.45      3553648.65
     1964     10-14          1656298.78      1718941.99      3375240.77
     1964     15-19          1236691.10      1271503.90      2508195.00
     1964     20-24           990651.41      1012795.89      2003447.30
     1964     25-29          1114004.77      1120521.59      2234526.36
     1964     30-34          1183431.80      1182739.79      2366171.59
     1964     35-39          1164175.05      1051476.07      2215651.12
     1964     40-44           980865.99       855202.11      1836068.10
     1964     45-49           687003.51       575018.61      1262022.12
     1964     50-54           912209.34       790871.42      1703080.76
     1964     55-59           830789.55       714851.63      1545641.18
     1964     60-64           695693.08       546408.14      1242101.22
     1964     65-69           519771.19       356491.79       876262.98
     1964     70-74           338669.85       208102.24       546772.09
     1964     75-79           224272.47       122160.77       346433.24
     1964     80-84           105839.35        52894.62       158733.97
     1964     85-89            39496.56        17945.75        57442.31
     1964     90-94            10002.72         3858.39        13861.11
     1964     95-99             1459.43          423.37         1882.80
     1964    100-104             122.57           25.67          148.24
     1964    105-109               3.00            0.00            3.00
     1964    110+                  0.00            0.00            0.00
     1965        0            264710.93       280622.08       545333.01
     1965      1-4           1131660.14      1191991.73      2323651.87
     1965      5-9           1712641.88      1790453.55      3503095.43
     1965     10-14          1691986.47      1757076.11      3449062.58
     1965     15-19          1349468.64      1390961.15      2740429.79
     1965     20-24           968442.37       984595.08      1953037.45
     1965     25-29          1101552.95      1113585.27      2215138.22
     1965     30-34          1167622.83      1168149.09      2335771.92
     1965     35-39          1170948.07      1087987.01      2258935.08
     1965     40-44          1039748.51       903150.35      1942898.86
     1965     45-49           670184.11       567175.06      1237359.17
     1965     50-54           908254.10       771923.77      1680177.87
     1965     55-59           846795.20       731857.78      1578652.98
     1965     60-64           724665.24       574359.32      1299024.56
     1965     65-69           536959.82       372710.95       909670.77
     1965     70-74           353819.53       217663.27       571482.80
     1965     75-79           232628.13       126890.13       359518.26
     1965     80-84           110361.50        54645.84       165007.34
     1965     85-89            40934.56        18425.41        59359.97
     1965     90-94            10664.21         4154.18        14818.39
     1965     95-99             1491.68          444.50         1936.18
     1965    100-104             147.84           28.68          176.52
     1965    105-109               2.07            0.00            2.07
     1965    110+                  0.00            0.00            0.00
     1966        0            258232.12       273240.18       531472.30
     1966      1-4           1088554.36      1149034.89      2237589.25
     1966      5-9           1660074.26      1733541.47      3393615.73
     1966     10-14          1716188.82      1784997.45      3501186.27
     1966     15-19          1480324.22      1529252.40      3009576.62
     1966     20-24           950677.83       965614.62      1916292.45
     1966     25-29          1083839.29      1097169.41      2181008.70
     1966     30-34          1141172.00      1142441.31      2283613.31
     1966     35-39          1176188.31      1123502.66      2299690.97
     1966     40-44          1092970.04       943496.82      2036466.86
     1966     45-49           714251.71       615082.91      1329334.62
     1966     50-54           855786.05       718142.78      1573928.83
     1966     55-59           869434.12       751131.52      1620565.64
     1966     60-64           726480.94       587875.89      1314356.83
     1966     65-69           573467.27       398185.97       971653.24
     1966     70-74           373327.28       230749.36       604076.64
     1966     75-79           242781.94       131368.37       374150.31
     1966     80-84           116349.97        57079.68       173429.65
     1966     85-89            43222.86        19138.51        62361.37
     1966     90-94            11235.08         4408.81        15643.89
     1966     95-99             1768.55          543.77         2312.32
     1966    100-104             150.92           38.58          189.50
     1966    105-109               3.31            0.00            3.31
     1966    110+                  0.00            0.00            0.00
     1967        0            251653.63       266465.38       518119.01
     1967      1-4           1057174.01      1114189.03      2171363.04
     1967      5-9           1596270.31      1669025.33      3265295.64
     1967     10-14          1726540.12      1798782.92      3525323.04
     1967     15-19          1551440.59      1604806.50      3156247.09
     1967     20-24          1014677.99      1031339.36      2046017.35
     1967     25-29          1051285.11      1065788.69      2117073.80
     1967     30-34          1129755.21      1128109.26      2257864.47
     1967     35-39          1180981.11      1154636.28      2335617.39
     1967     40-44          1133966.66       979370.22      2113336.88
     1967     45-49           770577.86       668937.96      1439515.82
     1967     50-54           800536.70       664308.05      1464844.75
     1967     55-59           872931.41       752145.85      1625077.26
     1967     60-64           750890.50       610856.07      1361746.57
     1967     65-69           591722.11       418820.97      1010543.08
     1967     70-74           399606.79       246438.87       646045.66
     1967     75-79           247079.27       134244.26       381323.53
     1967     80-84           124411.86        60351.44       184763.30
     1967     85-89            45274.16        19899.63        65173.79
     1967     90-94            11828.24         4606.51        16434.75
     1967     95-99             1864.89          618.44         2483.33
     1967    100-104             188.88           42.60          231.48
     1967    105-109               6.73            0.23            6.96
     1967    110+                  0.00            0.00            0.00
     1968        0            247982.10       261815.67       509797.77
     1968      1-4           1031634.40      1084835.99      2116470.39
     1968      5-9           1519067.68      1591968.80      3111036.48
     1968     10-14          1733665.22      1805870.90      3539536.12
     1968     15-19          1606007.91      1662934.74      3268942.65
     1968     20-24          1110619.02      1133133.91      2243752.93
     1968     25-29          1015902.54      1027696.58      2043599.12
     1968     30-34          1113088.45      1113329.90      2226418.35
     1968     35-39          1188141.18      1174415.89      2362557.07
     1968     40-44          1137743.76       998863.77      2136607.53
     1968     45-49           867902.12       748840.25      1616742.37
     1968     50-54           723209.88       601522.76      1324732.64
     1968     55-59           884504.08       750358.66      1634862.74
     1968     60-64           768013.76       630520.87      1398534.63
     1968     65-69           618779.05       443662.02      1062441.07
     1968     70-74           422923.50       263331.30       686254.80
     1968     75-79           253603.85       136581.34       390185.19
     1968     80-84           129944.96        62719.40       192664.36
     1968     85-89            47801.20        20736.08        68537.28
     1968     90-94            11999.83         4686.96        16686.79
     1968     95-99             1915.48          672.12         2587.60
     1968    100-104             206.00           43.48          249.48
     1968    105-109               7.08            0.00            7.08
     1968    110+                  0.00            0.00            0.00
     1969        0            250308.83       265040.13       515348.96
     1969      1-4           1006939.90      1057296.90      2064236.80
     1969      5-9           1447238.58      1516743.95      2963982.53
     1969     10-14          1729173.06      1803401.77      3532574.83
     1969     15-19          1644680.78      1703317.90      3347998.68
     1969     20-24          1224901.10      1253915.01      2478816.11
     1969     25-29           984201.53       994247.04      1978448.57
     1969     30-34          1106545.01      1105903.76      2212448.77
     1969     35-39          1170005.38      1164040.73      2334046.11
     1969     40-44          1147220.21      1030737.58      2177957.79
     1969     45-49           964900.62       832486.25      1797386.87
     1969     50-54           667741.97       550895.19      1218637.16
     1969     55-59           881143.36       742020.04      1623163.40
     1969     60-64           787870.64       646608.10      1434478.74
     1969     65-69           637485.94       465336.78      1102822.72
     1969     70-74           445752.81       277231.53       722984.34
     1969     75-79           260521.09       141828.81       402349.90
     1969     80-84           137339.79        65869.75       203209.54
     1969     85-89            50729.02        21813.58        72542.60
     1969     90-94            12559.28         4858.87        17418.15
     1969     95-99             2090.62          710.96         2801.58
     1969    100-104             232.06           65.92          297.98
     1969    105-109              10.16            0.95           11.11
     1969    110+                  0.00            0.00            0.00
     1970        0            251366.61       265215.96       516582.57
     1970      1-4            993839.04      1041735.92      2035574.96
     1970      5-9           1385523.68      1451561.37      2837085.05
     1970     10-14          1704498.82      1780292.25      3484791.07
     1970     15-19          1681363.14      1743268.23      3424631.37
     1970     20-24          1337127.69      1371473.43      2708601.12
     1970     25-29           960139.48       969302.02      1929441.50
     1970     30-34          1095385.34      1094010.36      2189395.70
     1970     35-39          1154844.93      1150493.84      2305338.77
     1970     40-44          1153745.53      1065782.91      2219528.44
     1970     45-49          1022354.77       878672.05      1901026.82
     1970     50-54           654025.03       544934.12      1198959.15
     1970     55-59           874687.42       722304.92      1596992.34
     1970     60-64           803818.90       660977.90      1464796.80
     1970     65-69           662716.71       487907.93      1150624.64
     1970     70-74           461077.50       289125.96       750203.46
     1970     75-79           272070.14       147466.75       419536.89
     1970     80-84           143967.05        68219.56       212186.61
     1970     85-89            52856.63        22430.31        75286.94
     1970     90-94            13125.38         5017.84        18143.22
     1970     95-99             2196.65          731.02         2927.67
     1970    100-104             241.26           76.19          317.45
     1970    105-109              13.66            2.86           16.52
     1970    110+                  0.00            0.00            0.00
     1971        0            240177.96       251832.30       492010.26
     1971      1-4            986073.67      1030034.32      2016107.99
     1971      5-9           1332757.09      1397133.24      2729890.33
     1971     10-14          1655725.10      1727017.37      3382742.47
     1971     15-19          1707123.14      1773425.33      3480548.47
     1971     20-24          1464132.33      1504761.84      2968894.17
     1971     25-29           943755.41       953197.23      1896952.64
     1971     30-34          1077799.10      1074800.13      2152599.23
     1971     35-39          1129598.73      1126735.14      2256333.87
     1971     40-44          1159466.37      1100059.87      2259526.24
     1971     45-49          1074470.42       917565.54      1992035.96
     1971     50-54           697496.42       591026.61      1288523.03
     1971     55-59           824278.28       671272.54      1495550.82
     1971     60-64           824232.43       676711.83      1500944.26
     1971     65-69           666823.29       499778.84      1166602.13
     1971     70-74           491421.15       307749.69       799170.84
     1971     75-79           287635.53       155790.91       443426.44
     1971     80-84           150005.01        70725.21       220730.22
     1971     85-89            55625.61        23256.19        78881.80
     1971     90-94            13708.22         5148.95        18857.17
     1971     95-99             2212.11          785.06         2997.17
     1971    100-104             259.28           83.08          342.36
     1971    105-109              11.48            2.93           14.41
     1971    110+                  0.00            0.00            0.00
     1972        0            267153.58       281992.94       549146.52
     1972      1-4            978831.72      1022812.83      2001644.55
     1972      5-9           1297509.76      1360572.32      2658082.08
     1972     10-14          1587617.17      1660377.87      3247995.04
     1972     15-19          1714147.46      1783304.31      3497451.77
     1972     20-24          1536495.77      1582008.16      3118503.93
     1972     25-29          1004845.31      1015855.74      2020701.05
     1972     30-34          1045306.35      1044641.54      2089947.89
     1972     35-39          1118282.02      1111725.98      2230008.00
     1972     40-44          1164764.04      1129830.68      2294594.72
     1972     45-49          1112969.18       950882.46      2063851.64
     1972     50-54           753591.36       642486.95      1396078.31
     1972     55-59           770955.86       620979.36      1391935.22
     1972     60-64           827546.09       676580.20      1504126.29
     1972     65-69           688815.72       516947.15      1205762.87
     1972     70-74           506504.07       321067.73       827571.80
     1972     75-79           305724.93       163657.00       469381.93
     1972     80-84           154802.81        71975.78       226778.59
     1972     85-89            58780.89        24139.58        82920.47
     1972     90-94            14244.90         5269.02        19513.92
     1972     95-99             2278.68          789.60         3068.28
     1972    100-104             239.74           70.22          309.96
     1972    105-109               9.97            0.63           10.60
     1972    110+                  0.00            0.00            0.00
     1973        0            274014.50       290095.99       564110.49
     1973      1-4           1000773.20      1048182.95      2048956.15
     1973      5-9           1270874.23      1330543.47      2601417.70
     1973     10-14          1509450.48      1585530.75      3094981.23
     1973     15-19          1716896.09      1786433.55      3503329.64
     1973     20-24          1590978.74      1640894.93      3231873.67
     1973     25-29          1099176.36      1115123.87      2214300.23
     1973     30-34          1009365.49      1008590.85      2017956.34
     1973     35-39          1102368.50      1095917.28      2198285.78
     1973     40-44          1171381.99      1148127.84      2319509.83
     1973     45-49          1117483.70       969853.01      2087336.71
     1973     50-54           847104.26       718048.01      1565152.27
     1973     55-59           698492.13       563962.70      1262454.83
     1973     60-64           839484.62       676722.18      1516206.80
     1973     65-69           705073.53       534886.60      1239960.13
     1973     70-74           532369.63       341520.50       873890.13
     1973     75-79           323182.47       175039.59       498222.06
     1973     80-84           160592.31        74528.84       235121.15
     1973     85-89            62378.20        25315.29        87693.49
     1973     90-94            15265.85         5576.29        20842.14
     1973     95-99             2366.57          832.39         3198.96
     1973    100-104             249.34           82.04          331.38
     1973    105-109              12.04            1.66           13.70
     1973    110+                  0.00            0.00            0.00
     1974        0            285992.11       300516.97       586509.08
     1974      1-4           1028419.55      1079435.91      2107855.46
     1974      5-9           1249435.35      1307708.95      2557144.30
     1974     10-14          1438280.37      1514318.37      2952598.74
     1974     15-19          1708984.29      1782167.80      3491152.09
     1974     20-24          1627434.49      1679784.53      3307219.02
     1974     25-29          1211873.43      1233571.53      2445444.96
     1974     30-34           977004.93       977940.24      1954945.17
     1974     35-39          1096318.25      1086861.86      2183180.11
     1974     40-44          1153174.61      1136773.19      2289947.80
     1974     45-49          1127436.93      1000518.12      2127955.05
     1974     50-54           940854.23       796970.88      1737825.11
     1974     55-59           645373.13       516907.44      1162280.57
     1974     60-64           837348.44       670796.43      1508144.87
     1974     65-69           724099.94       549020.59      1273120.53
     1974     70-74           548924.92       358105.56       907030.48
     1974     75-79           341435.22       184090.93       525526.15
     1974     80-84           168337.87        77893.82       246231.69
     1974     85-89            65770.47        26609.14        92379.61
     1974     90-94            16122.07         5789.12        21911.19
     1974     95-99             2389.15          831.68         3220.83
     1974    100-104             253.55           92.39          345.94
     1974    105-109              11.35            2.91           14.26
     1974    110+                  0.00            0.00            0.00
     1975        0            294990.23       314915.13       609905.36
     1975      1-4           1069782.29      1123418.16      2193200.45
     1975      5-9           1235089.82      1291508.94      2526598.76
     1975     10-14          1379877.57      1452676.91      2832554.48
     1975     15-19          1679570.98      1759104.09      3438675.07
     1975     20-24          1660748.16      1717130.17      3377878.33
     1975     25-29          1323475.51      1350966.72      2674442.23
     1975     30-34           951337.65       953435.68      1904773.33
     1975     35-39          1086225.07      1074982.10      2161207.17
     1975     40-44          1138109.67      1122788.32      2260897.99
     1975     45-49          1134533.86      1034454.94      2168988.80
     1975     50-54           996409.46       840083.15      1836492.61
     1975     55-59           631852.46       511728.39      1143580.85
     1975     60-64           833872.52       655672.55      1489545.07
     1975     65-69           739273.01       563139.14      1302412.15
     1975     70-74           574237.39       377597.47       951834.86
     1975     75-79           352650.99       192664.27       545315.26
     1975     80-84           178319.08        82524.33       260843.41
     1975     85-89            69613.45        27906.22        97519.67
     1975     90-94            16999.48         6097.83        23097.31
     1975     95-99             2550.51          858.84         3409.35
     1975    100-104             260.08           97.06          357.14
     1975    105-109              10.91            3.17           14.08
