Bulgaria, Death rates (period 1x10), 	Last modified: 15 Sep 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1947-1949        0             0.124077        0.143948        0.134273
1947-1949        1             0.025900        0.026860        0.026390
1947-1949        2             0.012155        0.011694        0.011920
1947-1949        3             0.006380        0.005974        0.006173
1947-1949        4             0.004581        0.004340        0.004458
1947-1949        5             0.003281        0.003473        0.003379
1947-1949        6             0.002575        0.002751        0.002665
1947-1949        7             0.002262        0.002667        0.002468
1947-1949        8             0.002003        0.002247        0.002127
1947-1949        9             0.001725        0.002024        0.001877
1947-1949       10             0.001702        0.001841        0.001773
1947-1949       11             0.001690        0.001727        0.001709
1947-1949       12             0.001875        0.001697        0.001784
1947-1949       13             0.001939        0.001829        0.001883
1947-1949       14             0.002182        0.001999        0.002089
1947-1949       15             0.002594        0.002204        0.002396
1947-1949       16             0.002953        0.002681        0.002815
1947-1949       17             0.003707        0.003376        0.003539
1947-1949       18             0.003786        0.003503        0.003642
1947-1949       19             0.004386        0.004345        0.004365
1947-1949       20             0.004795        0.004845        0.004820
1947-1949       21             0.004272        0.005639        0.004966
1947-1949       22             0.004680        0.005241        0.004966
1947-1949       23             0.004570        0.004507        0.004538
1947-1949       24             0.004224        0.004569        0.004397
1947-1949       25             0.004266        0.004461        0.004362
1947-1949       26             0.004117        0.004374        0.004244
1947-1949       27             0.003942        0.004265        0.004103
1947-1949       28             0.004208        0.004034        0.004121
1947-1949       29             0.003655        0.003570        0.003612
1947-1949       30             0.004042        0.003986        0.004014
1947-1949       31             0.003772        0.003864        0.003818
1947-1949       32             0.003853        0.004295        0.004074
1947-1949       33             0.003340        0.004212        0.003780
1947-1949       34             0.003563        0.003772        0.003669
1947-1949       35             0.004014        0.004414        0.004216
1947-1949       36             0.003466        0.004469        0.003974
1947-1949       37             0.003821        0.004152        0.003989
1947-1949       38             0.004069        0.004630        0.004355
1947-1949       39             0.003775        0.004615        0.004202
1947-1949       40             0.004281        0.005617        0.004957
1947-1949       41             0.003904        0.005218        0.004570
1947-1949       42             0.004381        0.005355        0.004876
1947-1949       43             0.004433        0.005869        0.005164
1947-1949       44             0.004323        0.006000        0.005178
1947-1949       45             0.004873        0.007394        0.006154
1947-1949       46             0.004694        0.007367        0.006044
1947-1949       47             0.004871        0.007742        0.006313
1947-1949       48             0.005524        0.008178        0.006853
1947-1949       49             0.006156        0.008605        0.007387
1947-1949       50             0.007558        0.010525        0.009049
1947-1949       51             0.006940        0.010752        0.008843
1947-1949       52             0.008126        0.011423        0.009762
