Belgium, Death rates (period 1x10), 	Last modified: 14 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1841-1849        0             0.153165        0.187178        0.170422
1841-1849        1             0.075305        0.075565        0.075436
1841-1849        2             0.041923        0.040070        0.040990
1841-1849        3             0.027433        0.025559        0.026488
1841-1849        4             0.019462        0.017822        0.018634
1841-1849        5             0.014927        0.013681        0.014297
1841-1849        6             0.012764        0.010961        0.011851
1841-1849        7             0.011498        0.009481        0.010476
1841-1849        8             0.010416        0.008431        0.009409
1841-1849        9             0.010413        0.008040        0.009208
1841-1849       10             0.009549        0.006998        0.008251
1841-1849       11             0.008650        0.005991        0.007295
1841-1849       12             0.008130        0.005348        0.006714
1841-1849       13             0.008053        0.005094        0.006550
1841-1849       14             0.008407        0.005224        0.006793
1841-1849       15             0.009092        0.005700        0.007375
1841-1849       16             0.009701        0.006353        0.008007
1841-1849       17             0.010101        0.007150        0.008610
1841-1849       18             0.010320        0.008115        0.009208
1841-1849       19             0.010377        0.009264        0.009817
1841-1849       20             0.010322        0.010504        0.010414
1841-1849       21             0.010277        0.011406        0.010845
1841-1849       22             0.010242        0.011867        0.011060
1841-1849       23             0.010293        0.011973        0.011139
1841-1849       24             0.010313        0.011577        0.010949
1841-1849       25             0.010329        0.010753        0.010542
1841-1849       26             0.010496        0.010097        0.010296
1841-1849       27             0.010697        0.009626        0.010159
1841-1849       28             0.010972        0.009409        0.010187
1841-1849       29             0.011256        0.009401        0.010324
1841-1849       30             0.011498        0.009517        0.010501
1841-1849       31             0.011743        0.009681        0.010705
1841-1849       32             0.011944        0.009817        0.010874
1841-1849       33             0.012247        0.010000        0.011117
1841-1849       34             0.012486        0.010091        0.011280
1841-1849       35             0.012688        0.010130        0.011397
1841-1849       36             0.013102        0.010388        0.011729
1841-1849       37             0.013526        0.010728        0.012107
1841-1849       38             0.014040        0.011228        0.012612
1841-1849       39             0.014553        0.011811        0.013159
1841-1849       40             0.014891        0.012287        0.013563
1841-1849       41             0.015173        0.012814        0.013966
1841-1849       42             0.015387        0.013463        0.014402
1841-1849       43             0.015576        0.014259        0.014903
1841-1849       44             0.015397        0.014902        0.015145
1841-1849       45             0.015001        0.015456        0.015233
1841-1849       46             0.015003        0.016307        0.015663
1841-1849       47             0.015217        0.017215        0.016219
1841-1849       48             0.015767        0.018308        0.017027
1841-1849       49             0.016633        0.019584        0.018075
1841-1849       50             0.017564        0.020678        0.019061
1841-1849       51             0.018534        0.021755        0.020060
1841-1849       52             0.019576        0.023037        0.021190
1841-1849       53             0.020835        0.024735        0.022622
1841-1849       54             0.021645        0.025829        0.023535
1841-1849       55             0.022020        0.026105        0.023854
1841-1849       56             0.023019        0.027080        0.024840
1841-1849       57             0.024404        0.028518        0.026252
1841-1849       58             0.026275        0.030539        0.028200
1841-1849       59             0.028585        0.033190        0.030676
1841-1849       60             0.030985        0.035944        0.033254
1841-1849       61             0.033418        0.038632        0.035823
1841-1849       62             0.035992        0.041508        0.038550
1841-1849       63             0.039187        0.045159        0.041967
1841-1849       64             0.042067        0.048414        0.045030
1841-1849       65             0.044357        0.050915        0.047427
1841-1849       66             0.047595        0.054495        0.050830
1841-1849       67             0.051406        0.058638        0.054799
1841-1849       68             0.056208        0.063642        0.059702
1841-1849       69             0.061986        0.069634        0.065583
1841-1849       70             0.068064        0.075736        0.071675
1841-1849       71             0.074279        0.081815        0.077831
1841-1849       72             0.080638        0.088098        0.084155
1841-1849       73             0.088292        0.095974        0.091909
1841-1849       74             0.095056        0.103040        0.098806
1841-1849       75             0.100305        0.108213        0.104013
1841-1849       76             0.107514        0.115191        0.111111
1841-1849       77             0.115451        0.123118        0.119035
1841-1849       78             0.124697        0.132923        0.128523
1841-1849       79             0.135374        0.144593        0.139632
1841-1849       80             0.153530        0.165459        0.158976
1841-1849       81             0.167395        0.179969        0.173105
1841-1849       82             0.182413        0.196001        0.188544
1841-1849       83             0.198091        0.213148        0.204833
1841-1849       84             0.213144        0.230210        0.220715
1841-1849       85             0.226188        0.245790        0.234785
1841-1849       86             0.238828        0.261359        0.248577
1841-1849       87             0.251976        0.277702        0.262936
1841-1849       88             0.265745        0.294560        0.277812
1841-1849       89             0.280632        0.311898        0.293489
1841-1849       90             0.297935        0.330260        0.310989
1841-1849       91             0.315862        0.345945        0.327815
