Scotland, Life tables (cohort 1x10), Males	Last modified: 14 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1855-1859        0      0.14142  0.12867  0.30  100000   12867   90982  4236020  42.36
1855-1859        1      0.06784  0.06550  0.47   87133    5707   84136  4145038  47.57
1855-1859        2      0.03510  0.03449  0.50   81426    2808   80014  4060902  49.87
1855-1859        3      0.02436  0.02407  0.50   78617    1892   77674  3980888  50.64
1855-1859        4      0.01826  0.01810  0.50   76725    1389   76030  3903214  50.87
1855-1859        5      0.01422  0.01412  0.50   75337    1063   74801  3827184  50.80
1855-1859        6      0.01149  0.01142  0.50   74273     848   73848  3752382  50.52
1855-1859        7      0.00929  0.00924  0.50   73425     679   73083  3678535  50.10
1855-1859        8      0.00726  0.00723  0.49   72746     526   72479  3605452  49.56
1855-1859        9      0.00584  0.00582  0.50   72220     421   72009  3532973  48.92
1855-1859       10      0.00526  0.00525  0.50   71800     377   71613  3460964  48.20
1855-1859       11      0.00495  0.00494  0.50   71422     353   71247  3389352  47.45
1855-1859       12      0.00490  0.00488  0.50   71070     347   70898  3318105  46.69
1855-1859       13      0.00511  0.00509  0.50   70723     360   70544  3247207  45.91
1855-1859       14      0.00560  0.00558  0.50   70363     393   70168  3176663  45.15
1855-1859       15      0.00632  0.00630  0.50   69970     441   69752  3106495  44.40
1855-1859       16      0.00702  0.00699  0.51   69529     486   69289  3036744  43.68
1855-1859       17      0.00759  0.00756  0.50   69043     522   68784  2967455  42.98
1855-1859       18      0.00798  0.00795  0.50   68521     545   68251  2898671  42.30
1855-1859       19      0.00817  0.00814  0.50   67977     553   67701  2830421  41.64
1855-1859       20      0.00823  0.00820  0.50   67423     553   67144  2762720  40.98
1855-1859       21      0.00823  0.00820  0.50   66871     548   66595  2695575  40.31
1855-1859       22      0.00827  0.00824  0.50   66322     546   66047  2628981  39.64
1855-1859       23      0.00832  0.00828  0.50   65776     545   65502  2562934  38.96
1855-1859       24      0.00834  0.00830  0.50   65231     541   64959  2497432  38.29
1855-1859       25      0.00818  0.00814  0.49   64690     527   64424  2432473  37.60
1855-1859       26      0.00800  0.00797  0.49   64163     511   63904  2368049  36.91
