Latvia, Life tables (period 1x1), Males	Last modified: 11 Mar 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1959           0      0.03582  0.03476  0.15  100000    3476   97029  6556218  65.56
  1959           1      0.00274  0.00273  0.50   96524     264   96392  6459189  66.92
  1959           2      0.00184  0.00184  0.50   96260     177   96172  6362797  66.10
  1959           3      0.00125  0.00125  0.50   96083     120   96023  6266625  65.22
  1959           4      0.00098  0.00098  0.50   95963      94   95916  6170602  64.30
  1959           5      0.00106  0.00106  0.50   95869     101   95819  6074686  63.36
  1959           6      0.00115  0.00115  0.50   95768     110   95713  5978867  62.43
  1959           7      0.00116  0.00116  0.50   95658     111   95603  5883154  61.50
  1959           8      0.00114  0.00114  0.50   95548     108   95493  5787551  60.57
  1959           9      0.00107  0.00107  0.50   95439     102   95388  5692058  59.64
  1959          10      0.00098  0.00098  0.50   95337      93   95290  5596670  58.70
  1959          11      0.00095  0.00095  0.50   95244      90   95198  5501380  57.76
  1959          12      0.00101  0.00101  0.50   95153      96   95105  5406181  56.82
  1959          13      0.00113  0.00113  0.50   95057     107   95003  5311076  55.87
  1959          14      0.00122  0.00122  0.50   94950     116   94892  5216073  54.94
  1959          15      0.00129  0.00129  0.50   94834     122   94773  5121181  54.00
  1959          16      0.00138  0.00138  0.50   94712     131   94646  5026408  53.07
  1959          17      0.00147  0.00147  0.50   94581     139   94512  4931762  52.14
  1959          18      0.00165  0.00164  0.50   94442     155   94365  4837250  51.22
  1959          19      0.00192  0.00192  0.50   94287     181   94196  4742886  50.30
  1959          20      0.00217  0.00216  0.50   94106     204   94004  4648689  49.40
  1959          21      0.00247  0.00246  0.50   93902     231   93787  4554685  48.50
  1959          22      0.00280  0.00279  0.50   93671     262   93540  4460898  47.62
  1959          23      0.00311  0.00311  0.50   93409     290   93264  4367358  46.76
  1959          24      0.00346  0.00345  0.50   93119     322   92958  4274094  45.90
  1959          25      0.00363  0.00363  0.50   92797     337   92629  4181136  45.06
  1959          26      0.00348  0.00347  0.50   92461     321   92300  4088506  44.22
  1959          27      0.00336  0.00335  0.50   92140     309   91985  3996206  43.37
  1959          28      0.00321  0.00321  0.50   91831     295   91684  3904221  42.52
  1959          29      0.00314  0.00313  0.50   91536     287   91393  3812537  41.65
  1959          30      0.00304  0.00304  0.50   91250     277   91111  3721144  40.78
  1959          31      0.00297  0.00297  0.50   90973     270   90837  3630033  39.90
  1959          32      0.00329  0.00328  0.50   90702     298   90554  3539195  39.02
  1959          33      0.00371  0.00371  0.50   90405     335   90237  3448642  38.15
  1959          34      0.00408  0.00407  0.50   90070     367   89886  3358405  37.29
  1959          35      0.00424  0.00423  0.50   89703     380   89513  3268518  36.44
  1959          36      0.00427  0.00426  0.50   89324     381   89133  3179005  35.59
  1959          37      0.00436  0.00435  0.50   88943     387   88750  3089872  34.74
  1959          38      0.00435  0.00434  0.50   88556     384   88364  3001122  33.89
  1959          39      0.00449  0.00448  0.50   88172     395   87974  2912758  33.04
  1959          40      0.00441  0.00440  0.50   87777     386   87584  2824784  32.18
  1959          41      0.00477  0.00476  0.50   87391     416   87183  2737200  31.32
  1959          42      0.00541  0.00539  0.50   86975     469   86741  2650017  30.47
  1959          43      0.00541  0.00540  0.50   86506     467   86273  2563277  29.63
