Japan, Death rates (period 5x10), 	Last modified: 05 Feb 2024;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1947-1949        0             0.067571        0.077411        0.072600
1947-1949      1-4             0.012794        0.013161        0.012980
1947-1949      5-9             0.002537        0.002820        0.002680
1947-1949     10-14            0.001627        0.001575        0.001600
1947-1949     15-19            0.003746        0.003602        0.003674
1947-1949     20-24            0.006593        0.007334        0.006951
1947-1949     25-29            0.006683        0.007788        0.007169
1947-1949     30-34            0.006308        0.007324        0.006775
1947-1949     35-39            0.006463        0.007653        0.007028
1947-1949     40-44            0.007124        0.008745        0.007932
1947-1949     45-49            0.008368        0.011038        0.009722
1947-1949     50-54            0.011391        0.015578        0.013521
1947-1949     55-59            0.015776        0.023180        0.019465
1947-1949     60-64            0.024151        0.035885        0.029725
1947-1949     65-69            0.036948        0.054640        0.044835
1947-1949     70-74            0.058198        0.080108        0.067388
1947-1949     75-79            0.091093        0.117018        0.101156
1947-1949     80-84            0.146132        0.177181        0.156916
1947-1949     85-89            0.220695        0.259967        0.232873
1947-1949     90-94            0.316576        0.357499        0.328013
1947-1949     95-99            0.431624        0.469714        0.442436
1947-1949    100-104           0.475071        0.622723        0.515147
1947-1949    105-109           0.452830        1.066667        0.635762
1947-1949    110+              0.594059        1.090909        0.716418
1950-1959        0             0.042555        0.049190        0.045951
1950-1959      1-4             0.005416        0.005574        0.005497
1950-1959      5-9             0.001288        0.001540        0.001416
1950-1959     10-14            0.000717        0.000818        0.000768
1950-1959     15-19            0.001322        0.001623        0.001474
1950-1959     20-24            0.002337        0.002977        0.002656
1950-1959     25-29            0.002715        0.003210        0.002957
1950-1959     30-34            0.002944        0.003291        0.003105
1950-1959     35-39            0.003406        0.003952        0.003655
1950-1959     40-44            0.004170        0.005201        0.004657
1950-1959     45-49            0.005662        0.007647        0.006632
1950-1959     50-54            0.008223        0.011651        0.009938
1950-1959     55-59            0.012000        0.018312        0.015157
1950-1959     60-64            0.018591        0.028730        0.023541
1950-1959     65-69            0.030854        0.046271        0.037995
1950-1959     70-74            0.051685        0.073644        0.061083
1950-1959     75-79            0.083610        0.112424        0.094880
1950-1959     80-84            0.134777        0.170096        0.147246
1950-1959     85-89            0.209352        0.250949        0.222222
1950-1959     90-94            0.312908        0.365967        0.326850
1950-1959     95-99            0.438278        0.465891        0.444622
1950-1959    100-104           0.534390        0.489996        0.522958
1950-1959    105-109           0.323974        0.592593        0.393600
1950-1959    110+              0.457143        0.600000        0.469565
1960-1969        0             0.018865        0.023759        0.021377
1960-1969      1-4             0.001387        0.001724        0.001559
1960-1969      5-9             0.000508        0.000769        0.000641
1960-1969     10-14            0.000334        0.000505        0.000421
1960-1969     15-19            0.000529        0.001055        0.000794
1960-1969     20-24            0.000913        0.001625        0.001267
1960-1969     25-29            0.001126        0.001787        0.001455
1960-1969     30-34            0.001359        0.002030        0.001695
1960-1969     35-39            0.001770        0.002698        0.002225
1960-1969     40-44            0.002453        0.003728        0.003044
1960-1969     45-49            0.003723        0.005673        0.004608
1960-1969     50-54            0.005699        0.009028        0.007258
1960-1969     55-59            0.008666        0.014983        0.011705
1960-1969     60-64            0.013859        0.024371        0.018958
1960-1969     65-69            0.023500        0.039499        0.031088
1960-1969     70-74            0.041830        0.064968        0.052233
1960-1969     75-79            0.074820        0.105569        0.087388
1960-1969     80-84            0.126903        0.165880        0.140804
1960-1969     85-89            0.201583        0.246905        0.215445
1960-1969     90-94            0.302663        0.348957        0.314800
1960-1969     95-99            0.425918        0.461809        0.433912
1960-1969    100-104           0.559802        0.559043        0.559643
1960-1969    105-109           0.461957        0.857143        0.496651
1960-1969    110+              0.193548              .        0.193548
1970-1979        0             0.009183        0.011844        0.010551
1970-1979      1-4             0.000754        0.000976        0.000868
1970-1979      5-9             0.000286        0.000456        0.000373
1970-1979     10-14            0.000198        0.000312        0.000256
1970-1979     15-19            0.000349        0.000925        0.000641
1970-1979     20-24            0.000558        0.001108        0.000834
1970-1979     25-29            0.000650        0.001116        0.000883
1970-1979     30-34            0.000820        0.001357        0.001089
1970-1979     35-39            0.001138        0.002023        0.001581
1970-1979     40-44            0.001689        0.003170        0.002430
1970-1979     45-49            0.002573        0.004648        0.003585
1970-1979     50-54            0.003941        0.006815        0.005260
1970-1979     55-59            0.006029        0.010926        0.008213
1970-1979     60-64            0.009754        0.017914        0.013460
1970-1979     65-69            0.016754        0.030256        0.022909
1970-1979     70-74            0.030501        0.050830        0.039567
1970-1979     75-79            0.056115        0.083991        0.067802
1970-1979     80-84            0.101760        0.135696        0.114630
1970-1979     85-89            0.172194        0.210870        0.184780
1970-1979     90-94            0.272278        0.309299        0.282192
1970-1979     95-99            0.388968        0.428727        0.397877
1970-1979    100-104           0.506717        0.536785        0.512793
1970-1979    105-109           0.629373        0.648918        0.634268
1970-1979    110+              0.533934        0.187500        0.389867
1980-1989        0             0.005307        0.006420        0.005878
1980-1989      1-4             0.000452        0.000587        0.000521
1980-1989      5-9             0.000170        0.000273        0.000223
1980-1989     10-14            0.000128        0.000203        0.000166
1980-1989     15-19            0.000247        0.000689        0.000474
