Taiwan, Life tables (period 1x1), Females	Last modified: 18 Sep 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1970           0      0.01539  0.01518  0.12  100000    1518   98660  7142799  71.43
  1970           1      0.00447  0.00446  0.50   98482     439   98262  7044139  71.53
  1970           2      0.00306  0.00306  0.50   98043     300   97893  6945877  70.85
  1970           3      0.00193  0.00193  0.50   97743     188   97649  6847984  70.06
  1970           4      0.00119  0.00119  0.50   97555     116   97497  6750335  69.20
  1970           5      0.00083  0.00083  0.50   97439      81   97398  6652838  68.28
  1970           6      0.00060  0.00060  0.50   97358      58   97328  6555440  67.33
  1970           7      0.00044  0.00044  0.50   97299      43   97278  6458112  66.37
  1970           8      0.00035  0.00035  0.50   97256      34   97239  6360834  65.40
  1970           9      0.00032  0.00032  0.50   97222      32   97206  6263595  64.43
  1970          10      0.00035  0.00035  0.50   97190      34   97173  6166389  63.45
  1970          11      0.00039  0.00039  0.50   97156      38   97137  6069216  62.47
  1970          12      0.00044  0.00044  0.50   97118      43   97097  5972079  61.49
  1970          13      0.00050  0.00050  0.50   97075      49   97051  5874982  60.52
  1970          14      0.00056  0.00056  0.50   97027      54   97000  5777931  59.55
  1970          15      0.00064  0.00064  0.50   96973      62   96942  5680931  58.58
  1970          16      0.00071  0.00071  0.50   96911      69   96877  5583989  57.62
  1970          17      0.00075  0.00075  0.50   96842      73   96806  5487112  56.66
  1970          18      0.00075  0.00075  0.50   96770      72   96734  5390306  55.70
  1970          19      0.00077  0.00077  0.50   96697      75   96660  5293573  54.74
  1970          20      0.00082  0.00082  0.50   96623      79   96583  5196913  53.79
  1970          21      0.00086  0.00086  0.50   96544      83   96502  5100329  52.83
  1970          22      0.00094  0.00094  0.50   96461      91   96415  5003827  51.87
  1970          23      0.00106  0.00106  0.50   96370     102   96319  4907412  50.92
  1970          24      0.00120  0.00120  0.50   96268     115   96210  4811093  49.98
  1970          25      0.00115  0.00115  0.50   96153     110   96098  4714883  49.04
  1970          26      0.00107  0.00107  0.50   96042     103   95991  4618786  48.09
  1970          27      0.00112  0.00111  0.50   95939     107   95886  4522795  47.14
  1970          28      0.00118  0.00118  0.50   95833     113   95776  4426909  46.19
  1970          29      0.00126  0.00126  0.50   95719     120   95659  4331133  45.25
  1970          30      0.00137  0.00137  0.50   95599     131   95533  4235474  44.30
  1970          31      0.00153  0.00153  0.50   95468     146   95395  4139941  43.36
  1970          32      0.00166  0.00166  0.50   95322     158   95243  4044546  42.43
  1970          33      0.00172  0.00172  0.50   95164     164   95082  3949303  41.50
  1970          34      0.00174  0.00173  0.50   95000     165   94918  3854222  40.57
  1970          35      0.00177  0.00177  0.50   94835     168   94751  3759304  39.64
  1970          36      0.00189  0.00189  0.50   94667     179   94578  3664553  38.71
  1970          37      0.00198  0.00198  0.50   94488     187   94395  3569975  37.78
  1970          38      0.00204  0.00203  0.50   94301     192   94205  3475581  36.86
  1970          39      0.00215  0.00214  0.50   94109     202   94009  3381375  35.93
  1970          40      0.00232  0.00232  0.50   93908     218   93799  3287367  35.01
  1970          41      0.00250  0.00249  0.50   93690     234   93573  3193568  34.09
  1970          42      0.00270  0.00270  0.50   93456     252   93330  3099995  33.17
  1970          43      0.00296  0.00296  0.50   93204     275   93066  3006665  32.26
  1970          44      0.00321  0.00320  0.50   92929     297   92780  2913599  31.35
  1970          45      0.00356  0.00355  0.50   92631     329   92467  2820819  30.45
  1970          46      0.00391  0.00390  0.50   92302     360   92122  2728352  29.56
  1970          47      0.00409  0.00408  0.50   91942     375   91755  2636230  28.67
  1970          48      0.00424  0.00424  0.50   91567     388   91373  2544475  27.79
  1970          49      0.00482  0.00481  0.50   91179     439   90960  2453102  26.90
  1970          50      0.00576  0.00575  0.50   90740     521   90480  2362142  26.03
  1970          51      0.00638  0.00636  0.50   90219     574   89932  2271662  25.18
  1970          52      0.00656  0.00654  0.50   89645     586   89352  2181730  24.34
  1970          53      0.00704  0.00702  0.50   89059     625   88746  2092378  23.49
  1970          54      0.00790  0.00787  0.50   88434     696   88086  2003632  22.66
  1970          55      0.00822  0.00818  0.50   87738     718   87379  1915546  21.83
  1970          56      0.00856  0.00853  0.50   87020     742   86649  1828167  21.01
  1970          57      0.00939  0.00935  0.50   86278     806   85875  1741518  20.19
  1970          58      0.01031  0.01026  0.50   85471     877   85033  1655644  19.37
  1970          59      0.01180  0.01173  0.50   84595     992   84099  1570611  18.57
  1970          60      0.01388  0.01378  0.50   83603    1152   83026  1486512  17.78
  1970          61      0.01633  0.01619  0.50   82450    1335   81783  1403486  17.02
  1970          62      0.01873  0.01856  0.50   81115    1505   80363  1321703  16.29
  1970          63      0.02035  0.02015  0.50   79610    1604   78808  1241340  15.59
  1970          64      0.02206  0.02181  0.50   78006    1702   77155  1162532  14.90
  1970          65      0.02454  0.02424  0.50   76304    1850   75380  1085377  14.22
  1970          66      0.02808  0.02769  0.50   74455    2062   73424  1009997  13.57
  1970          67      0.02944  0.02901  0.50   72393    2100   71343   936573  12.94
  1970          68      0.03161  0.03111  0.50   70293    2187   69199   865230  12.31
  1970          69      0.03553  0.03491  0.50   68106    2378   66917   796031  11.69
  1970          70      0.03953  0.03876  0.50   65728    2548   64454   729115  11.09
  1970          71      0.04197  0.04111  0.50   63180    2597   61881   664661  10.52
  1970          72      0.04710  0.04602  0.50   60583    2788   59189   602779   9.95
  1970          73      0.06204  0.06018  0.50   57795    3478   56056   543591   9.41
  1970          74      0.06582  0.06373  0.50   54317    3461   52586   487535   8.98
  1970          75      0.06630  0.06418  0.50   50855    3264   49224   434949   8.55
  1970          76      0.07529  0.07255  0.50   47592    3453   45865   385725   8.10
  1970          77      0.07499  0.07228  0.50   44139    3190   42543   339860   7.70
  1970          78      0.07886  0.07587  0.50   40948    3107   39395   297317   7.26
  1970          79      0.09262  0.08852  0.50   37842    3350   36167   257922   6.82
  1970          80      0.10604  0.10070  0.50   34492    3473   32755   221755   6.43
  1970          81      0.11257  0.10657  0.50   31018    3306   29366   189000   6.09
  1970          82      0.11999  0.11320  0.50   27713    3137   26144   159635   5.76
  1970          83      0.13014  0.12219  0.50   24576    3003   23074   133490   5.43
  1970          84      0.14264  0.13315  0.50   21573    2872   20137   110416   5.12
  1970          85      0.15431  0.14325  0.50   18700    2679   17361    90279   4.83
  1970          86      0.16692  0.15406  0.50   16022    2468   14787    72918   4.55
  1970          87      0.18214  0.16694  0.50   13553    2263   12422    58131   4.29
  1970          88      0.19731  0.17959  0.50   11291    2028   10277    45709   4.05
  1970          89      0.21198  0.19167  0.50    9263    1775    8375    35432   3.83
  1970          90      0.22817  0.20481  0.50    7488    1534    6721    27057   3.61
  1970          91      0.24522  0.21844  0.50    5954    1301    5304    20336   3.42
  1970          92      0.26311  0.23252  0.50    4653    1082    4112    15032   3.23
  1970          93      0.28181  0.24700  0.50    3571     882    3130    10920   3.06
  1970          94      0.30130  0.26185  0.50    2689     704    2337     7789   2.90
  1970          95      0.32153  0.27700  0.50    1985     550    1710     5452   2.75
  1970          96      0.34246  0.29239  0.50    1435     420    1225     3742   2.61
  1970          97      0.36401  0.30796  0.50    1016     313     859     2516   2.48
  1970          98      0.38613  0.32365  0.50     703     227     589     1657   2.36
  1970          99      0.40873  0.33937  0.50     475     161     395     1068   2.25
  1970         100      0.43172  0.35507  0.50     314     112     258      673   2.14
  1970         101      0.45501  0.37068  0.50     203      75     165      415   2.05
  1970         102      0.47849  0.38612  0.50     127      49     103      250   1.96
  1970         103      0.50207  0.40133  0.50      78      31      63      147   1.88
  1970         104      0.52565  0.41625  0.50      47      19      37       85   1.81
  1970         105      0.54911  0.43082  0.50      27      12      21       48   1.74
  1970         106      0.57235  0.44500  0.50      16       7      12       26   1.68
  1970         107      0.59528  0.45874  0.50       9       4       7       14   1.62
  1970         108      0.61780  0.47200  0.50       5       2       4        7   1.58
  1970         109      0.63982  0.48475  0.50       2       1       2        4   1.54
  1970         110+     0.66127  1.00000  1.51       1       1       2        2   1.51
  1971           0      0.01403  0.01386  0.12  100000    1386   98780  7185365  71.85
  1971           1      0.00563  0.00561  0.50   98614     554   98337  7086584  71.86
  1971           2      0.00253  0.00253  0.50   98060     248   97936  6988247  71.26
  1971           3      0.00129  0.00129  0.50   97812     126   97749  6890311  70.44
  1971           4      0.00094  0.00094  0.50   97686      91   97640  6792562  69.53
  1971           5      0.00071  0.00071  0.50   97595      70   97560  6694922  68.60
  1971           6      0.00057  0.00057  0.50   97525      55   97498  6597362  67.65
  1971           7      0.00045  0.00045  0.50   97470      44   97448  6499864  66.69
  1971           8      0.00038  0.00038  0.50   97426      37   97408  6402416  65.72
  1971           9      0.00033  0.00033  0.50   97389      32   97373  6305008  64.74
  1971          10      0.00031  0.00031  0.50   97357      30   97342  6207635  63.76
  1971          11      0.00032  0.00032  0.50   97327      31   97311  6110293  62.78
  1971          12      0.00034  0.00034  0.50   97296      34   97279  6012982  61.80
  1971          13      0.00040  0.00040  0.50   97262      39   97243  5915702  60.82
  1971          14      0.00048  0.00048  0.50   97223      46   97200  5818460  59.85
  1971          15      0.00056  0.00056  0.50   97177      54   97150  5721260  58.87
  1971          16      0.00064  0.00064  0.50   97123      63   97091  5624110  57.91
  1971          17      0.00071  0.00071  0.50   97060      69   97025  5527019  56.94
  1971          18      0.00074  0.00074  0.50   96991      72   96955  5429993  55.98
  1971          19      0.00072  0.00072  0.50   96919      70   96884  5333038  55.03
  1971          20      0.00073  0.00073  0.50   96849      70   96814  5236154  54.07
  1971          21      0.00077  0.00077  0.50   96779      74   96742  5139340  53.10
  1971          22      0.00081  0.00081  0.50   96705      79   96665  5042598  52.14
  1971          23      0.00089  0.00089  0.50   96626      86   96583  4945933  51.19
  1971          24      0.00100  0.00100  0.50   96540      97   96491  4849350  50.23
  1971          25      0.00114  0.00114  0.50   96443     110   96388  4752859  49.28
  1971          26      0.00109  0.00109  0.50   96333     105   96281  4656471  48.34
  1971          27      0.00102  0.00102  0.50   96228      98   96179  4560191  47.39
  1971          28      0.00105  0.00105  0.50   96130     101   96080  4464012  46.44
  1971          29      0.00110  0.00110  0.50   96029     106   95976  4367932  45.49
  1971          30      0.00115  0.00115  0.50   95923     110   95868  4271956  44.54
  1971          31      0.00123  0.00123  0.50   95813     117   95754  4176088  43.59
  1971          32      0.00135  0.00135  0.50   95696     130   95631  4080333  42.64
  1971          33      0.00148  0.00148  0.50   95566     142   95495  3984702  41.70
  1971          34      0.00158  0.00158  0.50   95424     150   95349  3889207  40.76
  1971          35      0.00166  0.00166  0.50   95274     158   95195  3793858  39.82
  1971          36      0.00179  0.00179  0.50   95116     170   95031  3698663  38.89
  1971          37      0.00199  0.00198  0.50   94946     188   94852  3603632  37.95
  1971          38      0.00213  0.00213  0.50   94758     202   94657  3508780  37.03
  1971          39      0.00225  0.00224  0.50   94556     212   94450  3414123  36.11
  1971          40      0.00238  0.00238  0.50   94344     224   94231  3319674  35.19
  1971          41      0.00259  0.00259  0.50   94119     243   93997  3225442  34.27
  1971          42      0.00278  0.00277  0.50   93876     260   93746  3131445  33.36
  1971          43      0.00302  0.00301  0.50   93615     282   93474  3037699  32.45
  1971          44      0.00331  0.00330  0.50   93333     308   93179  2944225  31.55
  1971          45      0.00358  0.00358  0.50   93025     333   92859  2851046  30.65
  1971          46      0.00399  0.00398  0.50   92692     369   92508  2758187  29.76
  1971          47      0.00436  0.00435  0.50   92324     402   92123  2665679  28.87
  1971          48      0.00456  0.00455  0.50   91922     418   91713  2573556  28.00
  1971          49      0.00470  0.00469  0.50   91504     429   91289  2481843  27.12
  1971          50      0.00530  0.00529  0.50   91075     482   90834  2390554  26.25
  1971          51      0.00625  0.00623  0.50   90593     565   90311  2299720  25.39
  1971          52      0.00690  0.00688  0.50   90028     619   89719  2209410  24.54
  1971          53      0.00714  0.00711  0.50   89409     636   89091  2119691  23.71
  1971          54      0.00778  0.00775  0.50   88773     688   88429  2030600  22.87
  1971          55      0.00882  0.00879  0.50   88085     774   87698  1942171  22.05
  1971          56      0.00931  0.00927  0.50   87311     809   86907  1854472  21.24
  1971          57      0.00985  0.00980  0.50   86502     848   86078  1767566  20.43
  1971          58      0.01081  0.01075  0.50   85654     921   85194  1681487  19.63
  1971          59      0.01171  0.01164  0.50   84733     987   84240  1596294  18.84
  1971          60      0.01323  0.01315  0.50   83747    1101   83196  1512054  18.06
  1971          61      0.01500  0.01489  0.50   82646    1231   82030  1428857  17.29
  1971          62      0.01726  0.01711  0.50   81415    1393   80718  1346827  16.54
  1971          63      0.01934  0.01915  0.50   80022    1533   79255  1266109  15.82
  1971          64      0.02083  0.02061  0.50   78489    1618   77680  1186853  15.12
  1971          65      0.02250  0.02225  0.50   76871    1711   76016  1109173  14.43
  1971          66      0.02530  0.02499  0.50   75160    1878   74221  1033158  13.75
  1971          67      0.02952  0.02909  0.50   73282    2132   72216   958936  13.09
  1971          68      0.03167  0.03118  0.50   71151    2218   70042   886720  12.46
  1971          69      0.03487  0.03427  0.50   68932    2362   67751   816678  11.85
  1971          70      0.03971  0.03894  0.50   66570    2592   65274   748927  11.25
  1971          71      0.04440  0.04344  0.50   63978    2779   62588   683653  10.69
  1971          72      0.04684  0.04577  0.50   61199    2801   59798   621065  10.15
  1971          73      0.05199  0.05067  0.50   58398    2959   56918   561266   9.61
  1971          74      0.06682  0.06466  0.50   55439    3585   53646   504348   9.10
  1971          75      0.06739  0.06519  0.50   51854    3380   50164   450701   8.69
  1971          76      0.06767  0.06546  0.50   48474    3173   46887   400538   8.26
  1971          77      0.07458  0.07190  0.50   45301    3257   43672   353650   7.81
  1971          78      0.07311  0.07053  0.50   42043    2965   40561   309978   7.37
  1971          79      0.07703  0.07417  0.50   39078    2898   37629   269418   6.89
  1971          80      0.10479  0.09957  0.50   36180    3602   34378   231789   6.41
  1971          81      0.11440  0.10821  0.50   32577    3525   30815   197410   6.06
  1971          82      0.12120  0.11427  0.50   29052    3320   27392   166596   5.73
  1971          83      0.12900  0.12118  0.50   25732    3118   24173   139204   5.41
  1971          84      0.14007  0.13090  0.50   22614    2960   21134   115031   5.09
  1971          85      0.15403  0.14301  0.50   19654    2811   18248    93897   4.78
  1971          86      0.16694  0.15408  0.50   16843    2595   15545    75649   4.49
  1971          87      0.18104  0.16601  0.50   14248    2365   13065    60104   4.22
  1971          88      0.19856  0.18063  0.50   11882    2146   10809    47038   3.96
  1971          89      0.21731  0.19602  0.50    9736    1908    8782    36229   3.72
  1971          90      0.23478  0.21011  0.50    7828    1645    7005    27447   3.51
  1971          91      0.25319  0.22474  0.50    6183    1390    5488    20442   3.31
  1971          92      0.27254  0.23985  0.50    4793    1150    4219    14954   3.12
  1971          93      0.29278  0.25540  0.50    3644     931    3178    10735   2.95
  1971          94      0.31388  0.27130  0.50    2713     736    2345     7557   2.79
  1971          95      0.33578  0.28751  0.50    1977     568    1693     5212   2.64
  1971          96      0.35841  0.30394  0.50    1409     428    1195     3519   2.50
  1971          97      0.38168  0.32051  0.50     980     314     823     2324   2.37
  1971          98      0.40551  0.33715  0.50     666     225     554     1501   2.25
  1971          99      0.42980  0.35377  0.50     442     156     363      947   2.14
  1971         100      0.45443  0.37029  0.50     285     106     233      584   2.04
  1971         101      0.47928  0.38663  0.50     180      69     145      351   1.95
  1971         102      0.50423  0.40271  0.50     110      44      88      206   1.87
  1971         103      0.52917  0.41845  0.50      66      28      52      118   1.79
  1971         104      0.55396  0.43380  0.50      38      17      30       66   1.72
  1971         105      0.57848  0.44870  0.50      22      10      17       36   1.66
  1971         106      0.60263  0.46309  0.50      12       6       9       19   1.60
  1971         107      0.62628  0.47693  0.50       6       3       5       10   1.55
  1971         108      0.64935  0.49019  0.50       3       2       3        5   1.50
  1971         109      0.67173  0.50284  0.50       2       1       1        3   1.47
  1971         110+     0.69337  1.00000  1.44       1       1       1        1   1.44
  1972           0      0.01382  0.01365  0.12  100000    1365   98799  7225808  72.26
  1972           1      0.00322  0.00322  0.50   98635     317   98476  7127009  72.26
  1972           2      0.00196  0.00196  0.50   98317     192   98221  7028533  71.49
  1972           3      0.00135  0.00135  0.50   98125     132   98059  6930311  70.63
  1972           4      0.00085  0.00085  0.50   97993      83   97951  6832252  69.72
  1972           5      0.00061  0.00061  0.50   97910      59   97880  6734301  68.78
  1972           6      0.00048  0.00048  0.50   97851      47   97827  6636421  67.82
  1972           7      0.00039  0.00039  0.50   97804      38   97785  6538593  66.85
  1972           8      0.00034  0.00034  0.50   97766      33   97749  6440809  65.88
  1972           9      0.00032  0.00032  0.50   97732      31   97717  6343060  64.90
  1972          10      0.00033  0.00033  0.50   97701      33   97685  6245343  63.92
  1972          11      0.00036  0.00036  0.50   97668      35   97651  6147658  62.94
  1972          12      0.00039  0.00039  0.50   97633      38   97614  6050008  61.97
  1972          13      0.00044  0.00044  0.50   97595      43   97574  5952393  60.99
  1972          14      0.00050  0.00050  0.50   97552      49   97528  5854820  60.02
  1972          15      0.00057  0.00057  0.50   97503      55   97476  5757292  59.05
  1972          16      0.00062  0.00062  0.50   97448      60   97418  5659816  58.08
  1972          17      0.00068  0.00068  0.50   97388      67   97354  5562398  57.12
  1972          18      0.00075  0.00075  0.50   97321      73   97285  5465044  56.15
  1972          19      0.00079  0.00079  0.50   97248      77   97210  5367759  55.20
  1972          20      0.00081  0.00081  0.50   97171      79   97132  5270549  54.24
  1972          21      0.00086  0.00086  0.50   97093      84   97051  5173417  53.28
  1972          22      0.00095  0.00095  0.50   97009      92   96962  5076367  52.33
  1972          23      0.00101  0.00101  0.50   96916      98   96867  4979405  51.38
  1972          24      0.00107  0.00107  0.50   96818     104   96766  4882537  50.43
  1972          25      0.00113  0.00113  0.50   96715     109   96660  4785771  49.48
  1972          26      0.00121  0.00121  0.50   96606     117   96547  4689111  48.54
  1972          27      0.00114  0.00114  0.50   96488     110   96433  4592564  47.60
  1972          28      0.00108  0.00108  0.50   96378     104   96326  4496131  46.65
  1972          29      0.00115  0.00115  0.50   96274     111   96219  4399804  45.70
  1972          30      0.00128  0.00128  0.50   96163     123   96102  4303585  44.75
  1972          31      0.00136  0.00136  0.50   96041     131   95975  4207483  43.81
  1972          32      0.00145  0.00145  0.50   95910     139   95840  4111508  42.87
  1972          33      0.00157  0.00157  0.50   95770     151   95695  4015668  41.93
  1972          34      0.00166  0.00166  0.50   95620     158   95540  3919973  41.00
  1972          35      0.00169  0.00169  0.50   95461     161   95381  3824433  40.06
  1972          36      0.00173  0.00172  0.50   95300     164   95218  3729052  39.13
  1972          37      0.00182  0.00182  0.50   95136     173   95049  3633834  38.20
  1972          38      0.00200  0.00200  0.50   94963     190   94868  3538785  37.26
  1972          39      0.00217  0.00217  0.50   94773     205   94671  3443917  36.34
  1972          40      0.00232  0.00232  0.50   94568     220   94458  3349246  35.42
  1972          41      0.00249  0.00249  0.50   94348     235   94231  3254788  34.50
  1972          42      0.00273  0.00273  0.50   94113     257   93985  3160557  33.58
  1972          43      0.00294  0.00293  0.50   93857     275   93719  3066572  32.67
  1972          44      0.00319  0.00319  0.50   93581     298   93432  2972853  31.77
  1972          45      0.00346  0.00346  0.50   93283     322   93122  2879421  30.87
  1972          46      0.00372  0.00371  0.50   92960     345   92788  2786299  29.97
  1972          47      0.00411  0.00410  0.50   92615     380   92425  2693511  29.08
  1972          48      0.00446  0.00445  0.50   92236     411   92030  2601086  28.20
  1972          49      0.00464  0.00463  0.50   91825     425   91612  2509056  27.32
  1972          50      0.00476  0.00475  0.50   91400     434   91183  2417443  26.45
  1972          51      0.00533  0.00531  0.50   90966     483   90724  2326261  25.57
  1972          52      0.00624  0.00622  0.50   90482     563   90201  2235537  24.71
  1972          53      0.00691  0.00689  0.50   89920     620   89610  2145336  23.86
