Hong Kong, Life tables (period 1x1), Females	Last modified: 27 Sep 2022;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1986           0      0.00703  0.00698  0.13  100000     698   99396  7972856  79.73
  1986           1      0.00065  0.00065  0.50   99302      64   99269  7873461  79.29
  1986           2      0.00037  0.00037  0.50   99237      37   99219  7774191  78.34
  1986           3      0.00031  0.00031  0.50   99200      31   99185  7674972  77.37
  1986           4      0.00023  0.00023  0.50   99170      23   99158  7575787  76.39
  1986           5      0.00017  0.00017  0.50   99146      17   99138  7476629  75.41
  1986           6      0.00015  0.00015  0.50   99130      15   99122  7377491  74.42
  1986           7      0.00020  0.00020  0.50   99115      20   99105  7278369  73.43
  1986           8      0.00018  0.00018  0.50   99095      17   99087  7179264  72.45
  1986           9      0.00020  0.00020  0.50   99078      19   99068  7080177  71.46
  1986          10      0.00010  0.00010  0.50   99058      10   99054  6981109  70.47
  1986          11      0.00024  0.00024  0.50   99049      24   99037  6882056  69.48
  1986          12      0.00029  0.00029  0.50   99025      28   99011  6783019  68.50
  1986          13      0.00035  0.00035  0.50   98997      35   98979  6684008  67.52
  1986          14      0.00017  0.00017  0.50   98962      17   98953  6585029  66.54
  1986          15      0.00015  0.00015  0.50   98945      14   98938  6486076  65.55
  1986          16      0.00031  0.00031  0.50   98931      31   98915  6387138  64.56
  1986          17      0.00021  0.00021  0.50   98900      21   98889  6288222  63.58
  1986          18      0.00038  0.00038  0.50   98879      38   98860  6189333  62.60
  1986          19      0.00040  0.00040  0.50   98841      40   98821  6090473  61.62
  1986          20      0.00040  0.00040  0.50   98801      39   98781  5991652  60.64
  1986          21      0.00028  0.00028  0.50   98762      28   98748  5892871  59.67
  1986          22      0.00025  0.00025  0.50   98734      24   98722  5794123  58.68
  1986          23      0.00022  0.00022  0.50   98710      22   98699  5695401  57.70
  1986          24      0.00032  0.00032  0.50   98688      31   98672  5596703  56.71
  1986          25      0.00036  0.00036  0.50   98656      36   98639  5498031  55.73
  1986          26      0.00026  0.00026  0.50   98621      26   98608  5399392  54.75
  1986          27      0.00041  0.00041  0.50   98595      41   98574  5300784  53.76
  1986          28      0.00039  0.00039  0.50   98554      38   98535  5202210  52.79
  1986          29      0.00044  0.00044  0.50   98516      43   98494  5103675  51.81
  1986          30      0.00039  0.00039  0.50   98473      38   98454  5005181  50.83
  1986          31      0.00047  0.00047  0.50   98435      46   98412  4906727  49.85
  1986          32      0.00055  0.00055  0.50   98389      54   98362  4808315  48.87
  1986          33      0.00066  0.00066  0.50   98335      65   98302  4709953  47.90
  1986          34      0.00058  0.00058  0.50   98269      57   98241  4611651  46.93
  1986          35      0.00066  0.00066  0.50   98213      65   98180  4513410  45.96
  1986          36      0.00085  0.00085  0.50   98148      83   98106  4415230  44.99
  1986          37      0.00087  0.00087  0.50   98064      85   98022  4317124  44.02
  1986          38      0.00086  0.00086  0.50   97979      85   97937  4219102  43.06
  1986          39      0.00085  0.00085  0.50   97895      83   97853  4121165  42.10
  1986          40      0.00087  0.00087  0.50   97812      85   97769  4023312  41.13
  1986          41      0.00106  0.00106  0.50   97726     103   97674  3925543  40.17
  1986          42      0.00115  0.00115  0.50   97623     112   97566  3827869  39.21
  1986          43      0.00171  0.00171  0.50   97510     167   97427  3730302  38.26
  1986          44      0.00126  0.00126  0.50   97344     122   97282  3632875  37.32
  1986          45      0.00152  0.00152  0.50   97221     148   97147  3535593  36.37
  1986          46      0.00127  0.00127  0.50   97073     124   97011  3438446  35.42
  1986          47      0.00189  0.00189  0.50   96950     184   96858  3341434  34.47
  1986          48      0.00201  0.00201  0.50   96766     194   96669  3244577  33.53
  1986          49      0.00267  0.00266  0.50   96572     257   96443  3147908  32.60
  1986          50      0.00280  0.00280  0.50   96314     269   96180  3051465  31.68
  1986          51      0.00317  0.00316  0.50   96045     304   95893  2955285  30.77
  1986          52      0.00373  0.00372  0.50   95741     356   95563  2859392  29.87
  1986          53      0.00414  0.00414  0.50   95385     394   95188  2763829  28.98
  1986          54      0.00401  0.00400  0.50   94991     380   94801  2668641  28.09
  1986          55      0.00466  0.00465  0.50   94611     440   94391  2573840  27.20
  1986          56      0.00529  0.00528  0.50   94171     497   93922  2479449  26.33
  1986          57      0.00427  0.00426  0.50   93674     399   93474  2385527  25.47
  1986          58      0.00592  0.00591  0.50   93275     551   92999  2292052  24.57
  1986          59      0.00564  0.00562  0.50   92724     521   92463  2199053  23.72
  1986          60      0.00678  0.00676  0.50   92203     623   91891  2106590  22.85
  1986          61      0.00748  0.00745  0.50   91580     682   91239  2014698  22.00
  1986          62      0.00886  0.00882  0.50   90898     802   90497  1923460  21.16
  1986          63      0.00855  0.00851  0.50   90096     767   89712  1832963  20.34
  1986          64      0.01188  0.01181  0.50   89329    1055   88802  1743251  19.51
  1986          65      0.01339  0.01330  0.50   88275    1174   87688  1654449  18.74
  1986          66      0.01288  0.01279  0.50   87101    1114   86543  1566761  17.99
  1986          67      0.01298  0.01290  0.50   85986    1109   85432  1480218  17.21
  1986          68      0.01762  0.01747  0.50   84877    1483   84136  1394786  16.43
  1986          69      0.01733  0.01718  0.50   83394    1433   82678  1310650  15.72
  1986          70      0.02006  0.01986  0.50   81961    1628   81148  1227973  14.98
  1986          71      0.02191  0.02168  0.50   80334    1741   79463  1146825  14.28
  1986          72      0.02218  0.02194  0.50   78593    1724   77730  1067362  13.58
  1986          73      0.02689  0.02654  0.50   76868    2040   75848   989631  12.87
  1986          74      0.03046  0.03000  0.50   74828    2245   73706   913783  12.21
  1986          75      0.03655  0.03589  0.50   72583    2605   71281   840077  11.57
  1986          76      0.03861  0.03788  0.50   69978    2651   68653   768797  10.99
  1986          77      0.04107  0.04024  0.50   67327    2709   65973   700144  10.40
  1986          78      0.04511  0.04411  0.50   64618    2851   63193   634171   9.81
  1986          79      0.04360  0.04267  0.50   61768    2635   60450   570978   9.24
  1986          80      0.06247  0.06057  0.50   59132    3582   57341   510528   8.63
  1986          81      0.05841  0.05676  0.50   55550    3153   53974   453187   8.16
  1986          82      0.06459  0.06257  0.50   52398    3279   50758   399213   7.62
  1986          83      0.07818  0.07524  0.50   49119    3696   47271   348454   7.09
  1986          84      0.09507  0.09076  0.50   45423    4122   43362   301183   6.63
  1986          85      0.10404  0.09890  0.50   41301    4085   39258   257821   6.24
  1986          86      0.12059  0.11374  0.50   37216    4233   35100   218563   5.87
  1986          87      0.11990  0.11312  0.50   32983    3731   31118   183463   5.56
  1986          88      0.13224  0.12404  0.50   29252    3628   27438   152345   5.21
  1986          89      0.14564  0.13575  0.50   25624    3479   23885   124907   4.87
  1986          90      0.16015  0.14827  0.50   22145    3284   20504   101022   4.56
  1986          91      0.17580  0.16160  0.50   18862    3048   17338    80519   4.27
  1986          92      0.19264  0.17571  0.50   15814    2779   14424    63181   4.00
  1986          93      0.21067  0.19059  0.50   13035    2484   11793    48756   3.74
  1986          94      0.22991  0.20621  0.50   10551    2176    9463    36963   3.50
  1986          95      0.25036  0.22250  0.50    8375    1863    7443    27501   3.28
  1986          96      0.27197  0.23942  0.50    6512    1559    5732    20057   3.08
  1986          97      0.29472  0.25687  0.50    4953    1272    4317    14325   2.89
  1986          98      0.31855  0.27478  0.50    3680    1011    3175    10009   2.72
  1986          99      0.34335  0.29305  0.50    2669     782    2278     6834   2.56
  1986         100      0.36905  0.31156  0.50    1887     588    1593     4556   2.41
  1986         101      0.39551  0.33021  0.50    1299     429    1085     2963   2.28
  1986         102      0.42259  0.34888  0.50     870     304     718     1878   2.16
  1986         103      0.45015  0.36745  0.50     567     208     462     1160   2.05
  1986         104      0.47802  0.38581  0.50     358     138     289      698   1.95
  1986         105      0.50603  0.40385  0.50     220      89     176      408   1.86
  1986         106      0.53400  0.42147  0.50     131      55     104      233   1.77
  1986         107      0.56175  0.43857  0.50      76      33      59      129   1.70
  1986         108      0.58913  0.45508  0.50      43      19      33       70   1.64
  1986         109      0.61596  0.47093  0.50      23      11      18       37   1.59
  1986         110+     0.64211  1.00000  1.56      12      12      19       19   1.56
  1987           0      0.00651  0.00648  0.14  100000     648   99440  7986910  79.87
  1987           1      0.00057  0.00057  0.50   99352      56   99324  7887469  79.39
  1987           2      0.00026  0.00026  0.50   99296      26   99283  7788145  78.43
  1987           3      0.00017  0.00017  0.50   99271      17   99262  7688862  77.45
  1987           4      0.00024  0.00024  0.50   99253      24   99241  7589600  76.47
  1987           5      0.00007  0.00007  0.50   99230       7   99226  7490358  75.49
  1987           6      0.00017  0.00017  0.50   99223      17   99214  7391132  74.49
  1987           7      0.00020  0.00020  0.50   99206      20   99196  7291918  73.50
