United Kingdom, Life expectancy at birth (period, 1x1)	Last modified: 28 Nov 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1922        58.85    55.18    57.02
  1923        61.18    57.37    59.30
  1924        59.98    56.15    58.07
  1925        60.34    56.49    58.42
  1926        61.50    57.59    59.56
  1927        60.92    56.95    58.95
  1928        61.91    57.87    59.91
  1929        59.60    55.64    57.62
  1930        62.86    58.66    60.77
  1931        62.00    57.97    60.00
  1932        62.42    58.58    60.52
  1933        62.49    58.63    60.58
  1934        63.25    59.32    61.30
  1935        63.94    59.94    61.96
  1936        63.84    59.63    61.75
  1937        63.87    59.69    61.79
  1938        65.39    61.04    63.23
  1939        65.80    61.38    63.61
  1940        63.51    58.17    60.90
  1941        64.11    58.05    61.29
  1942        66.74    60.64    63.98
  1943        66.67    60.77    64.04
  1944        67.57    61.37    64.80
  1945        68.32    62.79    65.76
  1946        68.63    63.71    66.24
  1947        68.79    64.02    66.44
  1948        70.62    66.01    68.37
  1949        70.30    65.82    68.11
  1950        70.92    66.24    68.63
  1951        70.68    65.71    68.24
  1952        72.11    66.83    69.53
  1953        72.36    67.12    69.80
  1954        72.81    67.41    70.17
  1955        72.77    67.37    70.13
  1956        73.10    67.59    70.40
  1957        73.32    67.61    70.52
  1958        73.49    67.79    70.70
  1959        73.60    67.92    70.83
  1960        73.88    68.04    71.02
  1961        73.65    67.81    70.79
  1962        73.79    67.83    70.86
  1963        73.72    67.71    70.76
  1964        74.56    68.41    71.54
  1965        74.58    68.36    71.52
  1966        74.50    68.28    71.44
  1967        75.09    68.94    72.08
  1968        74.72    68.56    71.69
  1969        74.78    68.47    71.67
  1970        74.99    68.69    71.88
  1971        75.33    69.05    72.24
  1972        75.07    68.84    71.99
  1973        75.28    69.01    72.19
  1974        75.45    69.22    72.38
  1975        75.71    69.51    72.65
  1976        75.68    69.53    72.64
  1977        76.14    70.00    73.11
  1978        76.07    69.94    73.05
  1979        76.19    70.06    73.16
  1980        76.57    70.51    73.59
  1981        76.88    70.85    73.92
  1982        76.94    71.03    74.04
  1983        77.22    71.27    74.30
  1984        77.55    71.68    74.68
  1985        77.36    71.61    74.54
  1986        77.67    71.82    74.80
  1987        77.96    72.21    75.15
  1988        78.06    72.34    75.26
  1989        78.08    72.58    75.40
  1990        78.50    72.84    75.74
  1991        78.61    73.08    75.91
  1992        78.96    73.51    76.31
  1993        78.77    73.44    76.16
  1994        79.31    73.99    76.72
  1995        79.19    73.93    76.62
  1996        79.40    74.22    76.88
  1997        79.58    74.57    77.14
  1998        79.72    74.72    77.28
  1999        79.76    74.87    77.38
  2000        80.19    75.38    77.85
  2001        80.42    75.69    78.12
  2002        80.51    75.84    78.24
  2003        80.49    76.06    78.33
  2004        81.06    76.62    78.90
  2005        81.19    76.89    79.11
  2006        81.47    77.10    79.35
  2007        81.61    77.34    79.53
  2008        81.67    77.53    79.65
  2009        82.19    78.01    80.16
  2010        82.33    78.34    80.39
  2011        82.72    78.76    80.79
  2012        82.67    78.95    80.85
  2013        82.77    78.99    80.92
  2014        82.99    79.24    81.15
  2015        82.73    79.04    80.91
  2016        82.87    79.20    81.06
  2017        82.99    79.28    81.16
  2018        82.95    79.25    81.12
  2019        83.27    79.56    81.43
  2020        82.40    78.36    80.38
  2021        82.54    78.51    80.52
