Iceland, Life expectancy at birth (period, 1x1)	Last modified: 24 Apr 2024;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1838        34.38    30.70    32.54
  1839        29.56    26.58    28.07
  1840        32.78    31.36    32.08
  1841        42.06    38.72    40.35
  1842        45.20    35.70    40.23
  1843        28.35    22.93    25.50
  1844        45.05    40.85    42.97
  1845        43.84    39.23    41.47
  1846        19.19    18.22    18.68
  1847        36.46    30.47    33.41
  1848        44.82    38.76    41.78
  1849        40.33    34.67    37.34
  1850        38.39    35.30    36.74
  1851        32.87    27.62    30.14
  1852        43.78    40.50    42.15
  1853        52.31    45.10    48.69
  1854        47.25    39.43    43.16
  1855        41.25    35.43    38.24
  1856        46.65    38.47    42.41
  1857        43.04    36.22    39.52
  1858        36.70    33.06    34.88
  1859        31.87    27.87    29.82
  1860        21.54    18.29    19.84
  1861        29.36    25.09    27.18
  1862        28.54    25.66    27.10
  1863        39.22    31.83    35.22
  1864        38.87    31.35    34.97
  1865        37.30    31.41    34.24
  1866        28.95    25.70    27.28
  1867        42.89    32.96    37.67
  1868        38.80    31.04    34.79
  1869        30.21    26.16    28.17
  1870        42.66    34.54    38.44
  1871        38.23    32.25    35.13
  1872        26.02    24.47    25.31
  1873        38.60    34.77    36.69
  1874        41.89    37.30    39.63
  1875        40.38    33.25    36.61
  1876        43.17    37.40    40.34
  1877        48.39    40.98    44.69
  1878        44.55    38.23    41.37
  1879        44.70    34.99    39.49
  1880        44.79    39.95    42.41
  1881        37.40    34.36    35.96
  1882        19.01    16.94    17.94
  1883        31.99    27.62    29.78
  1884        45.37    38.91    42.11
  1885        48.91    42.45    45.64
  1886        47.31    42.87    45.05
  1887        44.60    37.04    40.69
  1888        51.00    42.73    46.76
  1889        54.36    50.45    52.51
  1890        39.06    34.46    36.76
  1891        45.99    48.59    47.33
  1892        55.59    49.91    52.79
  1893        57.13    48.23    52.57
  1894        49.24    40.74    44.80
  1895        54.37    50.18    52.37
  1896        55.89    50.33    53.17
  1897        50.90    46.17    48.58
  1898        47.91    40.94    44.35
  1899        53.45    46.16    49.75
  1900        49.56    43.68    46.59
  1901        56.35    49.48    52.93
  1902        52.40    49.50    50.93
  1903        49.78    47.39    48.70
  1904        54.97    50.27    52.67
  1905        52.89    46.17    49.45
  1906        59.11    48.39    53.51
  1907        52.37    47.13    49.76
  1908        48.83    42.69    45.71
  1909        53.04    51.68    52.46
  1910        54.59    50.57    52.64
  1911        58.08    52.73    55.39
  1912        59.38    52.66    55.99
  1913        61.23    56.55    58.94
  1914        55.51    48.38    51.91
  1915        56.40    50.61    53.52
  1916        58.50    50.51    54.41
  1917        61.52    56.42    59.00
  1918        52.72    49.40    51.07
  1919        60.38    56.34    58.46
  1920        56.43    52.67    54.63
  1921        58.01    50.47    54.13
  1922        60.87    53.09    56.89
  1923        60.73    54.68    57.68
  1924        57.74    50.57    54.08
  1925        59.64    56.62    58.22
  1926        62.89    58.48    60.72
  1927        60.15    56.00    58.09
  1928        62.20    61.08    61.71
  1929        61.15    59.83    60.54
  1930        62.47    57.81    60.18
  1931        62.03    59.49    60.84
  1932        64.12    59.98    62.08
  1933        65.71    60.10    62.91
  1934        64.67    61.89    63.35
  1935        61.60    57.34    59.49
  1936        66.36    59.12    62.69
  1937        65.30    61.59    63.47
  1938        68.23    61.97    65.02
  1939        68.01    63.91    65.98
  1940        68.74    62.85    65.77
  1941        67.06    59.53    63.12
  1942        65.97    62.26    64.12
  1943        66.65    63.76    65.22
  1944        68.95    64.45    66.72
  1945        69.25    65.83    67.55
  1946        71.70    65.39    68.49
  1947        71.32    67.34    69.32
  1948        70.65    69.70    70.20
  1949        73.21    69.61    71.39
  1950        73.52    68.58    71.03
  1951        72.81    69.19    71.02
  1952        74.86    70.07    72.44
  1953        74.34    70.25    72.29
  1954        75.60    71.10    73.34
  1955        75.91    70.74    73.29
  1956        74.29    71.49    72.92
  1957        75.11    71.72    73.40
  1958        75.95    70.88    73.35
  1959        75.65    69.81    72.64
  1960        75.76    72.42    74.06
  1961        76.19    70.76    73.39
  1962        76.07    71.35    73.63
  1963        76.02    70.16    72.96
  1964        76.33    70.91    73.53
  1965        76.42    71.39    73.81
  1966        76.31    70.23    73.15
  1967        76.50    71.09    73.70
  1968        76.41    71.55    73.89
  1969        76.37    71.14    73.67
  1970        77.23    70.67    73.79
  1971        76.48    70.78    73.51
  1972        76.88    72.12    74.42
  1973        77.36    71.45    74.29
  1974        77.90    71.06    74.30
  1975        78.66    72.22    75.30
  1976        79.88    73.70    76.68
  1977        79.23    73.14    76.08
  1978        79.27    73.63    76.38
  1979        79.34    73.96    76.58
  1980        80.07    73.39    76.60
  1981        79.54    73.31    76.30
  1982        79.44    74.52    76.93
  1983        80.35    73.14    76.56
  1984        80.19    74.72    77.39
  1985        80.33    74.82    77.51
  1986        80.76    75.40    78.02
  1987        79.66    74.79    77.19
  1988        79.80    74.41    77.04
  1989        80.10    76.11    78.11
  1990        80.53    75.36    77.91
  1991        81.15    74.85    77.89
  1992        80.72    76.71    78.73
  1993        80.81    77.05    78.94
  1994        81.27    77.09    79.19
  1995        80.07    75.94    77.99
  1996        81.16    76.50    78.81
  1997        81.51    76.32    78.86
  1998        81.53    77.68    79.62
  1999        81.37    77.44    79.41
  2000        81.53    77.84    79.70
  2001        82.90    78.26    80.57
  2002        82.34    78.52    80.43
  2003        82.46    79.48    81.00
  2004        82.88    78.89    80.90
  2005        83.27    79.45    81.37
  2006        82.78    79.36    81.08
  2007        83.04    79.43    81.24
  2008        83.08    79.77    81.42
  2009        83.60    79.66    81.62
  2010        83.81    79.67    81.72
  2011        83.83    80.36    82.11
  2012        83.91    81.14    82.55
  2013        83.41    80.29    81.86
  2014        84.07    81.03    82.57
  2015        83.56    80.98    82.30
  2016        83.81    80.19    81.98
  2017        84.02    80.68    82.32
  2018        84.19    80.97    82.56
  2019        84.52    81.33    82.90
  2020        84.35    81.21    82.76
  2021        84.36    81.44    82.88
  2022        83.48    80.67    82.05
