Ukraine, Life expectancy at birth (period, 1x1)	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1959        72.20    65.78    69.45
  1960        73.80    67.39    71.08
  1961        74.15    67.63    71.37
  1962        73.52    67.11    70.78
  1963        74.24    67.65    71.42
  1964        75.03    68.45    72.22
  1965        74.60    67.82    71.69
  1966        74.99    67.94    71.95
  1967        74.64    67.52    71.55
  1968        74.94    67.42    71.66
  1969        74.53    66.63    71.04
  1970        74.44    66.51    70.94
  1971        74.76    66.67    71.18
  1972        74.45    66.53    70.95
  1973        74.66    66.64    71.11
  1974        74.70    66.41    71.00
  1975        74.25    65.58    70.34
  1976        74.22    65.69    70.38
  1977        74.21    65.14    70.07
  1978        74.19    65.01    69.99
  1979        74.03    64.70    69.72
  1980        74.06    64.62    69.68
  1981        74.18    64.64    69.74
  1982        74.42    64.80    69.94
  1983        74.39    64.88    69.94
  1984        74.10    64.61    69.64
  1985        74.03    65.25    69.94
  1986        75.01    66.89    71.30
  1987        74.91    66.63    71.09
  1988        74.78    66.58    70.98
  1989        75.19    66.13    70.92
  1990        74.90    65.60    70.46
  1991        74.32    64.62    69.62
  1992        74.03    63.81    69.01
  1993        73.35    63.17    68.31
  1994        72.95    62.38    67.67
  1995        72.50    61.20    66.76
  1996        72.77    61.51    67.06
  1997        73.17    62.22    67.65
  1998        73.83    63.16    68.49
  1999        73.61    62.61    68.07
  2000        73.52    62.08    67.71
  2001        73.64    62.24    67.86
  2002        73.63    62.06    67.74
  2003        73.53    62.23    67.79
  2004        73.62    61.98    67.68
  2005        73.37    61.49    67.27
  2006        73.79    62.27    67.93
  2007        73.69    61.76    67.59
  2008        73.90    62.24    67.97
  2009        74.85    64.35    69.63
  2010        75.19    65.20    70.27
  2011        75.85    65.94    70.99
  2012        75.99    66.07    71.13
  2013        76.20    66.31    71.35
