Portugal, Life expectancy at birth (period, 1x1)	Last modified: 14 Nov 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1940        53.59    49.08    51.38
  1941        49.96    45.93    47.99
  1942        51.82    47.65    49.78
  1943        53.36    48.79    51.13
  1944        55.05    49.66    52.38
  1945        56.39    51.08    53.78
  1946        56.31    51.11    53.75
  1947        58.36    53.37    55.93
  1948        59.26    54.04    56.72
  1949        57.92    52.78    55.41
  1950        61.02    55.78    58.47
  1951        61.30    56.06    58.75
  1952        62.18    57.16    59.76
  1953        63.62    58.37    61.07
  1954        64.78    59.45    62.20
  1955        63.93    58.72    61.40
  1956        63.74    58.46    61.17
  1957        64.00    58.63    61.39
  1958        66.40    60.87    63.72
  1959        65.68    60.01    62.92
  1960        66.88    61.27    64.15
  1961        65.50    59.97    62.80
  1962        67.22    61.28    64.32
  1963        67.81    61.90    64.92
  1964        67.99    62.12    65.12
  1965        69.13    62.94    66.09
  1966        68.76    62.37    65.60
  1967        69.63    63.20    66.46
  1968        69.88    63.63    66.81
  1969        69.57    63.14    66.39
  1970        70.11    63.88    67.06
  1971        70.12    63.49    66.85
  1972        72.27    65.92    69.16
  1973        71.63    65.44    68.60
  1974        72.36    65.79    69.12
  1975        72.53    65.13    68.84
  1976        72.71    65.48    69.10
  1977        73.93    66.72    70.34
  1978        74.18    67.34    70.79
  1979        74.94    68.18    71.60
  1980        75.17    68.11    71.66
  1981        75.42    68.31    71.89
  1982        76.18    69.14    72.70
  1983        76.08    69.16    72.65
  1984        76.46    69.37    72.93
  1985        76.75    69.64    73.21
  1986        77.07    70.15    73.64
  1987        77.48    70.58    74.06
  1988        77.63    70.49    74.08
  1989        78.17    71.10    74.66
  1990        77.80    70.77    74.30
  1991        77.90    70.58    74.24
  1992        78.59    71.14    74.87
  1993        78.41    71.11    74.76
  1994        79.25    72.15    75.73
  1995        79.22    71.86    75.55
  1996        79.23    71.73    75.48
  1997        79.52    72.29    75.92
  1998        79.75    72.47    76.12
  1999        79.89    72.73    76.32
  2000        80.35    73.27    76.83
  2001        80.68    73.59    77.15
  2002        80.82    73.87    77.37
  2003        80.86    74.23    77.59
  2004        81.80    74.96    78.43
  2005        81.65    74.91    78.32
  2006        82.56    75.52    79.09
  2007        82.55    75.94    79.31
  2008        82.78    76.29    79.61
  2009        82.94    76.58    79.84
  2010        83.22    76.86    80.12
  2011        83.68    77.31    80.58
  2012        83.55    77.38    80.55
  2013        83.97    77.65    80.90
  2014        84.35    78.08    81.31
  2015        84.25    78.20    81.32
  2016        84.31    78.23    81.36
  2017        84.53    78.59    81.66
  2018        84.48    78.52    81.59
  2019        84.75    78.97    81.95
  2020        84.20    78.38    81.36
  2021        84.25    78.41    81.39
  2022        84.40    78.81    81.67
