New Zealand, Exposure to risk (period 1x5), 	Last modified: 06 Jun 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1948-1949        0             46833.97        49003.13        95837.10
1948-1949        1             45767.55        47705.48        93473.03
1948-1949        2             43248.07        45040.91        88288.98
1948-1949        3             39291.38        40926.64        80218.02
1948-1949        4             35686.90        37244.43        72931.33
1948-1949        5             34005.84        35416.31        69422.14
1948-1949        6             34223.92        35314.41        69538.34
1948-1949        7             34540.43        35465.54        70005.96
1948-1949        8             33455.26        34337.96        67793.22
1948-1949        9             31355.69        32096.03        63451.72
1948-1949       10             29347.39        29945.08        59292.47
1948-1949       11             27844.32        28434.23        56278.55
1948-1949       12             26663.98        27451.15        54115.13
1948-1949       13             25780.90        26875.66        52656.56
1948-1949       14             25387.65        26607.83        51995.48
1948-1949       15             25499.53        26612.24        52111.77
1948-1949       16             26016.55        27029.11        53045.65
1948-1949       17             26679.09        27659.23        54338.32
1948-1949       18             27097.23        28012.30        55109.52
1948-1949       19             27145.05        28112.36        55257.42
1948-1949       20             27197.33        28222.80        55420.13
1948-1949       21             27459.56        28363.22        55822.78
1948-1949       22             27794.67        28583.84        56378.50
1948-1949       23             28014.85        28589.13        56603.98
1948-1949       24             28184.87        28251.61        56436.48
1948-1949       25             28462.21        27978.54        56440.74
1948-1949       26             28862.10        27923.27        56785.36
1948-1949       27             29070.23        27856.10        56926.33
1948-1949       28             28519.21        27284.46        55803.67
1948-1949       29             27391.78        26386.75        53778.52
1948-1949       30             26862.56        26037.75        52900.31
1948-1949       31             27271.71        26526.90        53798.61
1948-1949       32             27819.72        27189.74        55009.46
1948-1949       33             27912.83        27592.71        55505.54
1948-1949       34             27683.23        27693.01        55376.24
1948-1949       35             27298.31        27513.21        54811.53
1948-1949       36             26828.37        27220.68        54049.05
1948-1949       37             26360.62        27035.38        53396.00
1948-1949       38             26023.02        26895.53        52918.55
1948-1949       39             25620.84        26545.90        52166.74
1948-1949       40             25025.96        26015.83        51041.79
1948-1949       41             24455.74        25510.71        49966.45
1948-1949       42             23950.86        25020.82        48971.68
1948-1949       43             23203.91        24321.24        47525.15
1948-1949       44             22203.99        23393.89        45597.88
1948-1949       45             21341.05        22525.96        43867.00
1948-1949       46             20935.23        22017.82        42953.06
1948-1949       47             21044.68        21917.31        42961.99
1948-1949       48             20973.14        21615.72        42588.87
1948-1949       49             20209.09        20516.85        40725.95
1948-1949       50             19335.86        19161.41        38497.27
1948-1949       51             19047.39        18260.61        37308.00
1948-1949       52             19062.61        17683.07        36745.69
1948-1949       53             18698.46        16990.88        35689.34
1948-1949       54             17951.10        16305.50        34256.60
1948-1949       55             17435.30        16009.77        33445.07
1948-1949       56             17227.65        16052.05        33279.71
1948-1949       57             17032.74        16142.09        33174.82
1948-1949       58             16815.23        16164.63        32979.86
1948-1949       59             16617.64        16122.19        32739.83
1948-1949       60             16474.76        16049.44        32524.19
1948-1949       61             16399.72        16044.31        32444.03
1948-1949       62             16294.84        16034.47        32329.31
1948-1949       63             15880.39        15682.46        31562.85
1948-1949       64             15183.09        15022.57        30205.65
1948-1949       65             14584.50        14439.19        29023.69
1948-1949       66             14369.06        14131.48        28500.54
1948-1949       67             14354.00        13936.56        28290.56
1948-1949       68             14029.63        13409.63        27439.25
1948-1949       69             13155.34        12422.70        25578.04
1948-1949       70             12017.37        11297.17        23314.54
1948-1949       71             11019.75        10367.02        21386.77
1948-1949       72             10104.64         9506.97        19611.61
1948-1949       73              8990.00         8427.19        17417.19
1948-1949       74              7814.91         7287.05        15101.96
1948-1949       75              7658.59         7093.68        14752.27
1948-1949       76              6521.37         5781.37        12302.74
1948-1949       77              5263.48         4966.48        10229.96
1948-1949       78              5063.81         4336.47         9400.28
1948-1949       79              4233.75         3791.52         8025.28
1948-1949       80              4207.28         3536.70         7743.98
1948-1949       81              3627.44         2988.53         6615.97
1948-1949       82              3143.28         2538.19         5681.47
1948-1949       83              2659.18         2071.17         4730.35
1948-1949       84              2165.78         1639.97         3805.74
1948-1949       85              1727.34         1313.18         3040.51
1948-1949       86              1375.54         1029.76         2405.30
1948-1949       87              1105.97          782.45         1888.42
1948-1949       88               909.35          605.97         1515.32
1948-1949       89               714.45          460.72         1175.17
1948-1949       90               517.16          337.63          854.78
1948-1949       91               381.74          257.53          639.27
1948-1949       92               291.82          201.76          493.58
1948-1949       93               214.28          140.41          354.69
1948-1949       94               155.33           95.27          250.60
1948-1949       95               108.00           67.10          175.09
1948-1949       96                72.35           41.65          114.00
1948-1949       97                53.55           26.90           80.44
1948-1949       98                40.15           19.99           60.15
1948-1949       99                27.73           13.63           41.35
1948-1949      100                19.49            9.65           29.13
1948-1949      101                15.98            7.43           23.40
1948-1949      102                12.90            4.83           17.73
1948-1949      103                 9.12            2.35           11.47
1948-1949      104                 6.11            0.62            6.73
1948-1949      105                 4.21            0.28            4.48
1948-1949      106                 4.10            0.78            4.87
1948-1949      107                 3.26            1.00            4.26
1948-1949      108                 1.71            1.00            2.71
1948-1949      109                 1.00            0.73            1.73
1948-1949      110+                2.97            2.23            5.20
1950-1954        0            121569.26       128004.70       249573.96
1950-1954        1            118348.70       124277.02       242625.72
1950-1954        2            116920.78       122314.12       239234.90
1950-1954        3            115561.57       120521.93       236083.50
1950-1954        4            112653.38       117378.92       230032.30
1950-1954        5            107840.62       112153.63       219994.25
1950-1954        6            101949.57       106234.98       208184.55
1950-1954        7             96296.10       100321.73       196617.83
1950-1954        8             92266.17        96014.45       188280.62
1950-1954        9             88284.33        91799.94       180084.27
1950-1954       10             85763.62        89194.46       174958.08
1950-1954       11             83556.22        86639.68       170195.90
1950-1954       12             80674.60        83545.36       164219.96
1950-1954       13             77066.03        79674.08       156740.11
1950-1954       14             72958.47        75418.80       148377.27
1950-1954       15             69491.94        71851.78       141343.72
1950-1954       16             67285.44        69635.19       136920.63
1950-1954       17             66024.15        68406.28       134430.42
1950-1954       18             65540.38        68367.57       133907.95
1950-1954       19             66104.60        68872.01       134976.61
1950-1954       20             66557.09        69230.38       135787.48
1950-1954       21             67122.15        70105.28       137227.43
1950-1954       22             68129.78        71430.27       139560.04
1950-1954       23             69444.98        72915.46       142360.44
1950-1954       24             70460.29        74488.72       144949.01
1950-1954       25             71178.07        75430.19       146608.27
1950-1954       26             71783.13        75275.77       147058.90
1950-1954       27             72475.46        75540.93       148016.39
1950-1954       28             73412.85        75681.16       149094.01
1950-1954       29             73793.41        75116.35       148909.76
1950-1954       30             73342.19        73821.98       147164.17
1950-1954       31             71390.29        71441.93       142832.22
1950-1954       32             71117.23        70531.26       141648.48
1950-1954       33             71044.15        69932.63       140976.78
1950-1954       34             70463.66        69151.68       139615.34
1950-1954       35             70045.88        68675.71       138721.59
1950-1954       36             69630.80        68725.37       138356.18
1950-1954       37             69526.09        68892.88       138418.98
1950-1954       38             69236.59        69235.78       138472.37
1950-1954       39             68634.40        69453.67       138088.07
1950-1954       40             67937.17        69293.88       137231.04
1950-1954       41             66722.56        68496.82       135219.38
1950-1954       42             65105.23        67464.61       132569.83
1950-1954       43             63595.06        66174.68       129769.74
1950-1954       44             62007.61        64737.39       126744.99
1950-1954       45             60243.00        63054.93       123297.93
1950-1954       46             57975.60        60915.02       118890.62
1950-1954       47             56285.56        59299.99       115585.54
1950-1954       48             54797.41        57757.00       112554.41
1950-1954       49             54091.65        56696.48       110788.13
1950-1954       50             53224.34        55496.99       108721.33
1950-1954       51             50917.20        52600.18       103517.38
1950-1954       52             49622.09        50407.78       100029.87
1950-1954       53             48889.07        48390.04        97279.11
1950-1954       54             47798.93        46119.95        93918.88
1950-1954       55             46449.16        43724.94        90174.10
1950-1954       56             44484.27        41349.40        85833.68
1950-1954       57             43828.87        40383.49        84212.37
1950-1954       58             43071.24        39452.85        82524.10
1950-1954       59             42298.66        38919.92        81218.57
1950-1954       60             41650.34        38494.29        80144.63
1950-1954       61             41055.23        38081.69        79136.92
1950-1954       62             40665.08        37816.46        78481.54
1950-1954       63             40124.92        37421.31        77546.23
1950-1954       64             39402.43        36938.90        76341.33
1950-1954       65             38694.21        35993.29        74687.51
1950-1954       66             37229.47        34768.58        71998.06
1950-1954       67             36369.28        33930.98        70300.26
1950-1954       68             35641.53        33093.36        68734.89
1950-1954       69             34573.68        31900.72        66474.40
1950-1954       70             33177.95        30447.61        63625.56
1950-1954       71             30828.56        28175.89        59004.45
1950-1954       72             28680.70        26210.65        54891.35
1950-1954       73             26610.74        24203.13        50813.87
1950-1954       74             24303.34        22015.80        46319.14
1950-1954       75             21922.02        19757.17        41679.19
1950-1954       76             19644.64        17377.30        37021.94
1950-1954       77             16853.12        15135.47        31988.59
1950-1954       78             15404.60        13365.12        28769.72
1950-1954       79             13172.47        11552.65        24725.13
1950-1954       80             12373.76        10491.06        22864.81
1950-1954       81             10822.87         9008.59        19831.46
1950-1954       82              9383.01         7635.89        17018.90
1950-1954       83              7995.30         6319.36        14314.66
1950-1954       84              6659.56         5091.75        11751.30
1950-1954       85              5404.30         4022.55         9426.86
1950-1954       86              4311.64         3144.41         7456.04
1950-1954       87              3399.26         2406.24         5805.50
1950-1954       88              2652.90         1805.97         4458.87
1950-1954       89              2024.53         1325.27         3349.80
1950-1954       90              1518.09          976.67         2494.76
1950-1954       91              1139.29          737.02         1876.31
1950-1954       92               834.25          535.83         1370.08
1950-1954       93               596.66          378.49          975.14
1950-1954       94               434.97          274.53          709.50
1950-1954       95               305.96          195.45          501.41
1950-1954       96               206.77          130.37          337.14
1950-1954       97               140.94           79.07          220.01
1950-1954       98                92.96           48.16          141.12
1950-1954       99                59.37           29.14           88.51
1950-1954      100                36.77           14.98           51.76
1950-1954      101                24.16            9.95           34.11
1950-1954      102                21.82            8.74           30.56
1950-1954      103                20.73            7.71           28.44
1950-1954      104                17.42            7.00           24.42
1950-1954      105                14.21            5.13           19.33
1950-1954      106                10.39            3.23           13.62
1950-1954      107                 7.99            2.21           10.20
1950-1954      108                 6.18            1.50            7.68
1950-1954      109                 4.25            0.97            5.21
1950-1954      110+                9.91            3.76           13.67
1955-1959        0            138454.70       145335.53       283790.22
1955-1959        1            133438.62       139629.50       273068.12
1955-1959        2            129381.58       135121.78       264503.36
1955-1959        3            126428.38       131910.81       258339.19
1955-1959        4            123602.39       128672.41       252274.80
1955-1959        5            121638.56       126496.30       248134.85
1955-1959        6            120117.69       125312.93       245430.61
1955-1959        7            119169.91       124410.33       243580.23
1955-1959        8            117506.12       122786.53       240292.66
1955-1959        9            114548.27       119673.85       234222.12
1955-1959       10            110062.55       115003.06       225065.61
1955-1959       11            104493.91       109186.77       213680.68
1955-1959       12             98401.08       102949.08       201350.16
1955-1959       13             93276.15        97546.64       190822.78
1955-1959       14             89729.09        93921.93       183651.03
1955-1959       15             87083.62        91041.47       178125.09
1955-1959       16             84468.66        87976.78       172445.43
1955-1959       17             81644.42        84622.51       166266.92
1955-1959       18             78055.59        80803.63       158859.22
1955-1959       19             74327.86        76893.26       151221.11
1955-1959       20             71229.07        73722.51       144951.59
1955-1959       21             69205.21        71813.07       141018.28
1955-1959       22             68211.51        71217.06       139428.57
1955-1959       23             68310.55        71503.68       139814.23
1955-1959       24             69209.90        72777.59       141987.48
1955-1959       25             70479.48        74749.69       145229.17
1955-1959       26             71752.01        76714.56       148466.57
1955-1959       27             72782.24        78424.82       151207.06
1955-1959       28             73714.88        79740.40       153455.28
1955-1959       29             74502.55        80653.24       155155.78
1955-1959       30             75105.19        81176.41       156281.60
1955-1959       31             75482.78        81131.70       156614.48
1955-1959       32             75702.78        80489.85       156192.63
1955-1959       33             75850.60        79370.41       155221.00
1955-1959       34             75671.08        78025.84       153696.92
1955-1959       35             75221.60        76515.62       151737.22
