Iceland, Life tables (cohort 1x10), Total	Last modified: 24 Apr 2024;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1838-1839        0      0.43104  0.33182  0.31  100000   33182   76982  3205040  32.05
1838-1839        1      0.07707  0.07388  0.44   66818    4936   64055  3128057  46.81
1838-1839        2      0.03908  0.03828  0.47   61881    2369   60627  3064002  49.51
1838-1839        3      0.00848  0.00844  0.50   59512     502   59261  3003375  50.47
1838-1839        4      0.00059  0.00059  0.67   59010      35   58998  2944114  49.89
1838-1839        5      0.00177  0.00177  0.55   58975     104   58928  2885116  48.92
1838-1839        6      0.00237  0.00237  0.50   58871     139   58801  2826188  48.01
1838-1839        7      0.00511  0.00510  0.52   58732     299   58589  2767387  47.12
1838-1839        8      0.00562  0.00561  0.47   58432     328   58258  2708797  46.36
1838-1839        9      0.00564  0.00562  0.53   58105     327   57952  2650540  45.62
1838-1839       10      0.00625  0.00623  0.52   57778     360   57604  2592588  44.87
1838-1839       11      0.00606  0.00605  0.52   57418     347   57251  2534984  44.15
1838-1839       12      0.00590  0.00588  0.51   57071     336   56906  2477732  43.42
1838-1839       13      0.00523  0.00522  0.49   56735     296   56584  2420826  42.67
1838-1839       14      0.00416  0.00416  0.48   56439     235   56318  2364242  41.89
1838-1839       15      0.00343  0.00342  0.50   56205     192   56108  2307924  41.06
1838-1839       16      0.00390  0.00389  0.50   56012     218   55904  2251816  40.20
1838-1839       17      0.00555  0.00554  0.54   55794     309   55651  2195911  39.36
1838-1839       18      0.00745  0.00742  0.52   55486     412   55286  2140260  38.57
1838-1839       19      0.00866  0.00863  0.51   55074     475   54842  2084974  37.86
1838-1839       20      0.01224  0.01216  0.52   54599     664   54282  2030133  37.18
1838-1839       21      0.01458  0.01447  0.50   53935     781   53541  1975850  36.63
1838-1839       22      0.01300  0.01291  0.48   53154     686   52795  1922309  36.16
1838-1839       23      0.01236  0.01228  0.51   52468     644   52150  1869514  35.63
1838-1839       24      0.01454  0.01444  0.51   51823     748   51460  1817364  35.07
1838-1839       25      0.01663  0.01649  0.50   51075     842   50653  1765904  34.57
1838-1839       26      0.01704  0.01689  0.50   50233     849   49808  1715251  34.15
1838-1839       27      0.01705  0.01690  0.50   49384     835   48965  1665443  33.72
1838-1839       28      0.01520  0.01508  0.48   48549     732   48168  1616478  33.30
1838-1839       29      0.01357  0.01347  0.50   47817     644   47495  1568310  32.80
1838-1839       30      0.01343  0.01334  0.49   47173     629   46852  1520814  32.24
1838-1839       31      0.01138  0.01131  0.48   46544     526   46270  1473963  31.67
1838-1839       32      0.01188  0.01181  0.52   46017     544   45758  1427693  31.03
1838-1839       33      0.01663  0.01650  0.52   45474     750   45116  1381935  30.39
1838-1839       34      0.01792  0.01776  0.49   44724     794   44317  1336819  29.89
1838-1839       35      0.01494  0.01482  0.48   43929     651   43594  1292502  29.42
1838-1839       36      0.01365  0.01356  0.49   43278     587   42981  1248908  28.86
1838-1839       37      0.01319  0.01310  0.49   42692     559   42407  1205927  28.25
1838-1839       38      0.01493  0.01482  0.51   42132     624   41829  1163519  27.62
1838-1839       39      0.01675  0.01662  0.51   41508     690   41170  1121690  27.02
1838-1839       40      0.01696  0.01682  0.51   40818     687   40483  1080520  26.47
1838-1839       41      0.01884  0.01866  0.51   40131     749   39766  1040038  25.92
1838-1839       42      0.02000  0.01981  0.51   39382     780   38996  1000272  25.40
1838-1839       43      0.01895  0.01878  0.50   38602     725   38238   961275  24.90
1838-1839       44      0.01739  0.01724  0.50   37877     653   37552   923037  24.37
1838-1839       45      0.01452  0.01441  0.49   37224     536   36953   885485  23.79
1838-1839       46      0.01196  0.01189  0.50   36688     436   36472   848532  23.13
1838-1839       47      0.01564  0.01553  0.54   36252     563   35992   812060  22.40
1838-1839       48      0.02310  0.02285  0.51   35689     815   35293   776068  21.75
1838-1839       49      0.02254  0.02228  0.47   34873     777   34464   740775  21.24
1838-1839       50      0.01926  0.01908  0.51   34097     651   33780   706311  20.71
1838-1839       51      0.02335  0.02308  0.51   33446     772   33069   672532  20.11
1838-1839       52      0.02206  0.02180  0.47   32674     712   32298   639463  19.57
1838-1839       53      0.02005  0.01986  0.52   31961     635   31654   607164  19.00
1838-1839       54      0.02668  0.02635  0.53   31327     825   30940   575510  18.37
1838-1839       55      0.02973  0.02930  0.50   30501     894   30054   544570  17.85
1838-1839       56      0.02309  0.02281  0.46   29608     675   29246   514517  17.38
1838-1839       57      0.01830  0.01813  0.50   28932     525   28672   485270  16.77
1838-1839       58      0.02420  0.02393  0.53   28408     680   28091   456598  16.07
1838-1839       59      0.03242  0.03191  0.52   27728     885   27300   428507  15.45
1838-1839       60      0.03393  0.03337  0.50   26843     896   26397   401207  14.95
1838-1839       61      0.03529  0.03467  0.50   25947     900   25497   374810  14.45
1838-1839       62      0.03521  0.03459  0.49   25048     866   24607   349313  13.95
1838-1839       63      0.03392  0.03335  0.50   24181     806   23774   324706  13.43
1838-1839       64      0.03570  0.03508  0.50   23375     820   22966   300932  12.87
1838-1839       65      0.03774  0.03706  0.52   22555     836   22153   277966  12.32
1838-1839       66      0.04319  0.04230  0.51   21719     919   21269   255813  11.78
1838-1839       67      0.04599  0.04494  0.50   20800     935   20328   234544  11.28
1838-1839       68      0.05050  0.04929  0.51   19865     979   19388   214216  10.78
1838-1839       69      0.05609  0.05457  0.50   18886    1031   18374   194828  10.32
1838-1839       70      0.05385  0.05246  0.51   17856     937   17395   176454   9.88
1838-1839       71      0.05630  0.05477  0.50   16919     927   16459   159059   9.40
1838-1839       72      0.05711  0.05551  0.49   15992     888   15544   142600   8.92
1838-1839       73      0.06311  0.06122  0.51   15105     925   14651   127056   8.41
1838-1839       74      0.08223  0.07906  0.51   14180    1121   13634   112405   7.93
1838-1839       75      0.08554  0.08207  0.51   13059    1072   12530    98771   7.56
1838-1839       76      0.09045  0.08664  0.51   11987    1039   11483    86241   7.19
1838-1839       77      0.10978  0.10414  0.51   10948    1140   10385    74757   6.83
1838-1839       78      0.11107  0.10505  0.48    9808    1030    9277    64372   6.56
1838-1839       79      0.11910  0.11231  0.49    8778     986    8278    55095   6.28
1838-1839       80      0.11237  0.10651  0.51    7792     830    7386    46818   6.01
1838-1839       81      0.12605  0.11888  0.52    6962     828    6566    39432   5.66
1838-1839       82      0.14610  0.13623  0.50    6134     836    5720    32866   5.36
1838-1839       83      0.15718  0.14583  0.50    5299     773    4916    27146   5.12
1838-1839       84      0.16867  0.15580  0.51    4526     705    4181    22230   4.91
1838-1839       85      0.15960  0.14775  0.50    3821     565    3537    18049   4.72
1838-1839       86      0.15924  0.14776  0.51    3256     481    3022    14511   4.46
1838-1839       87      0.20334  0.18530  0.52    2775     514    2529    11490   4.14
1838-1839       88      0.24732  0.22033  0.50    2261     498    2014     8961   3.96
1838-1839       89      0.26031  0.23058  0.50    1763     406    1561     6947   3.94
1838-1839       90      0.24432  0.21752  0.50    1356     295    1208     5385   3.97
1838-1839       91      0.21752  0.19658  0.51    1061     209     959     4178   3.94
1838-1839       92      0.22292  0.20075  0.50     853     171     768     3219   3.77
1838-1839       93      0.18378  0.16757  0.47     682     114     621     2451   3.60
1838-1839       94      0.20362  0.18672  0.56     567     106     520     1829   3.22
1838-1839       95      0.26143  0.23257  0.53     461     107     410     1309   2.84
1838-1839       96      0.22337  0.20052  0.49     354      71     318      899   2.54
1838-1839       97      0.26032  0.23214  0.53     283      66     252      581   2.05
1838-1839       98      0.44473  0.36575  0.51     217      80     179      328   1.51
1838-1839       99      0.51776  0.40500  0.46     138      56     108      150   1.09
