Finland, Life tables (cohort 1x10), Total	Last modified: 20 Jun 2024;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1878-1879        0      0.17374  0.15504  0.31  100000   15504   89237  4229895  42.30
1878-1879        1      0.06533  0.06324  0.49   84496    5344   81790  4140658  49.00
1878-1879        2      0.04336  0.04245  0.50   79152    3360   77481  4058868  51.28
1878-1879        3      0.03016  0.02971  0.50   75792    2252   74658  3981387  52.53
1878-1879        4      0.02154  0.02131  0.50   73541    1567   72754  3906729  53.12
1878-1879        5      0.01526  0.01515  0.50   71974    1090   71431  3833975  53.27
1878-1879        6      0.01248  0.01240  0.51   70883     879   70452  3762544  53.08
1878-1879        7      0.00997  0.00992  0.49   70004     695   69647  3692091  52.74
1878-1879        8      0.00682  0.00679  0.48   69310     471   69063  3622444  52.26
1878-1879        9      0.00469  0.00468  0.50   68839     322   68679  3553381  51.62
1878-1879       10      0.00520  0.00519  0.52   68517     355   68346  3484702  50.86
1878-1879       11      0.00487  0.00486  0.51   68161     331   68000  3416356  50.12
1878-1879       12      0.00448  0.00447  0.52   67830     304   67683  3348356  49.36
1878-1879       13      0.00451  0.00450  0.51   67526     304   67377  3280672  48.58
1878-1879       14      0.00477  0.00476  0.51   67222     320   67065  3213296  47.80
1878-1879       15      0.00445  0.00444  0.50   66903     297   66755  3146231  47.03
1878-1879       16      0.00457  0.00456  0.52   66605     303   66458  3079476  46.23
1878-1879       17      0.00509  0.00508  0.51   66302     337   66138  3013018  45.44
1878-1879       18      0.00547  0.00546  0.51   65965     360   65789  2946880  44.67
1878-1879       19      0.00562  0.00560  0.52   65605     367   65429  2881091  43.92
1878-1879       20      0.00682  0.00680  0.51   65238     443   65022  2815662  43.16
1878-1879       21      0.00712  0.00709  0.51   64794     459   64569  2750641  42.45
1878-1879       22      0.00790  0.00787  0.50   64335     506   64081  2686071  41.75
1878-1879       23      0.00738  0.00736  0.50   63829     470   63595  2621991  41.08
1878-1879       24      0.00709  0.00707  0.51   63359     448   63139  2558396  40.38
1878-1879       25      0.00793  0.00790  0.50   62912     497   62665  2495257  39.66
1878-1879       26      0.00744  0.00741  0.51   62415     463   62186  2432593  38.97
1878-1879       27      0.00762  0.00759  0.51   61952     470   61720  2370407  38.26
1878-1879       28      0.00784  0.00781  0.51   61482     480   61246  2308687  37.55
1878-1879       29      0.00761  0.00759  0.50   61002     463   60770  2247441  36.84
1878-1879       30      0.00739  0.00736  0.50   60539     446   60316  2186671  36.12
1878-1879       31      0.00727  0.00724  0.50   60093     435   59877  2126355  35.38
1878-1879       32      0.00812  0.00809  0.51   59658     483   59421  2066478  34.64
1878-1879       33      0.00777  0.00774  0.51   59175     458   58951  2007057  33.92
1878-1879       34      0.00810  0.00807  0.51   58717     474   58484  1948106  33.18
1878-1879       35      0.00787  0.00784  0.50   58244     457   58018  1889623  32.44
1878-1879       36      0.00795  0.00792  0.51   57787     458   57561  1831605  31.70
1878-1879       37      0.00960  0.00956  0.51   57329     548   57061  1774045  30.94
1878-1879       38      0.01309  0.01302  0.55   56781     739   56452  1716983  30.24
1878-1879       39      0.01776  0.01760  0.51   56042     987   55554  1660531  29.63
1878-1879       40      0.01582  0.01569  0.47   55055     864   54594  1604977  29.15
1878-1879       41      0.00923  0.00919  0.52   54192     498   53953  1550382  28.61
1878-1879       42      0.00942  0.00938  0.51   53694     504   53449  1496430  27.87
1878-1879       43      0.00914  0.00910  0.51   53190     484   52954  1442981  27.13
1878-1879       44      0.00965  0.00961  0.50   52706     506   52454  1390027  26.37
1878-1879       45      0.01059  0.01054  0.51   52200     550   51933  1337573  25.62
1878-1879       46      0.01178  0.01171  0.50   51650     605   51347  1285640  24.89
1878-1879       47      0.01162  0.01156  0.52   51045     590   50765  1234294  24.18
1878-1879       48      0.01130  0.01124  0.51   50455     567   50180  1183529  23.46
1878-1879       49      0.01302  0.01294  0.53   49888     645   49584  1133350  22.72
1878-1879       50      0.01463  0.01452  0.50   49243     715   48888  1083765  22.01
1878-1879       51      0.01443  0.01433  0.52   48528     696   48193  1034877  21.33
1878-1879       52      0.01568  0.01556  0.52   47832     744   47475   986685  20.63
1878-1879       53      0.01613  0.01601  0.52   47088     754   46726   939210  19.95
1878-1879       54      0.01568  0.01556  0.51   46334     721   45983   892484  19.26
1878-1879       55      0.01761  0.01746  0.51   45613     796   45219   846501  18.56
1878-1879       56      0.01819  0.01803  0.51   44817     808   44423   801282  17.88
1878-1879       57      0.01966  0.01948  0.51   44008     857   43589   756859  17.20
1878-1879       58      0.02236  0.02212  0.51   43151     955   42683   713270  16.53
1878-1879       59      0.02380  0.02353  0.51   42197     993   41706   670587  15.89
1878-1879       60      0.02705  0.02670  0.51   41204    1100   40669   628882  15.26
1878-1879       61      0.02839  0.02800  0.51   40104    1123   39550   588212  14.67
1878-1879       62      0.02962  0.02920  0.51   38981    1138   38429   548663  14.08
1878-1879       63      0.03096  0.03049  0.50   37843    1154   37265   510234  13.48
1878-1879       64      0.03327  0.03273  0.50   36689    1201   36094   472968  12.89
1878-1879       65      0.03556  0.03495  0.51   35488    1240   34881   436875  12.31
1878-1879       66      0.03695  0.03628  0.50   34248    1243   33627   401994  11.74
1878-1879       67      0.04055  0.03976  0.51   33005    1312   32357   368366  11.16
1878-1879       68      0.04493  0.04394  0.50   31693    1393   30999   336009  10.60
1878-1879       69      0.04899  0.04784  0.51   30300    1450   29591   305011  10.07
1878-1879       70      0.05634  0.05483  0.51   28851    1582   28078   275420   9.55
1878-1879       71      0.05881  0.05714  0.50   27269    1558   26496   247342   9.07
1878-1879       72      0.06329  0.06138  0.51   25711    1578   24934   220847   8.59
1878-1879       73      0.06823  0.06602  0.51   24133    1593   23350   195912   8.12
1878-1879       74      0.07932  0.07636  0.51   22539    1721   21700   172562   7.66
1878-1879       75      0.08271  0.07950  0.51   20818    1655   20009   150862   7.25
1878-1879       76      0.09039  0.08655  0.51   19163    1659   18348   130853   6.83
1878-1879       77      0.09957  0.09486  0.50   17505    1660   16677   112504   6.43
1878-1879       78      0.10660  0.10123  0.50   15844    1604   15047    95828   6.05
1878-1879       79      0.12566  0.11825  0.50   14240    1684   13400    80781   5.67
1878-1879       80      0.12755  0.11992  0.50   12556    1506   11806    67381   5.37
1878-1879       81      0.13389  0.12560  0.51   11051    1388   10367    55575   5.03
1878-1879       82      0.15773  0.14654  0.52    9663    1416    8977    45208   4.68
1878-1879       83      0.17536  0.16145  0.51    8247    1331    7592    36232   4.39
1878-1879       84      0.17835  0.16385  0.50    6915    1133    6353    28639   4.14
1878-1879       85      0.20865  0.18925  0.51    5782    1094    5245    22286   3.85
1878-1879       86      0.22601  0.20334  0.51    4688     953    4218    17041   3.64
1878-1879       87      0.23415  0.20959  0.50    3735     783    3343    12824   3.43
1878-1879       88      0.26152  0.23156  0.51    2952     684    2614     9481   3.21
1878-1879       89      0.29077  0.25419  0.50    2268     577    1983     6867   3.03
1878-1879       90      0.31907  0.27531  0.50    1692     466    1460     4884   2.89
1878-1879       91      0.31835  0.27434  0.50    1226     336    1057     3425   2.79
1878-1879       92      0.34427  0.29443  0.51     890     262     761     2368   2.66
1878-1879       93      0.35482  0.30123  0.50     628     189     533     1607   2.56
1878-1879       94      0.38553  0.32332  0.50     439     142     368     1074   2.45
1878-1879       95      0.36847  0.31070  0.50     297      92     250      706   2.38
1878-1879       96      0.48006  0.39015  0.52     205      80     166      456   2.23
1878-1879       97      0.34327  0.29193  0.49     125      36     106      290   2.32
1878-1879       98      0.60705  0.46491  0.50      88      41      68      184   2.08
1878-1879       99      0.39913  0.32787  0.46      47      15      39      116   2.45
1878-1879      100      0.34543  0.29268  0.48      32       9      27       77   2.43
1878-1879      101      0.45714  0.37931  0.55      22       9      19       50   2.24
1878-1879      102      0.41807  0.33333  0.39      14       5      11       32   2.26
1878-1879      103      0.39883  0.33333  0.51       9       3       8       20   2.20
