Denmark, Life tables (cohort 1x10), Total	Last modified: 24 Feb 2024;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1835-1839        0      0.20532  0.17970  0.31  100000   17970   87524  4420951  44.21
1835-1839        1      0.04375  0.04276  0.47   82030    3508   80169  4333427  52.83
1835-1839        2      0.02990  0.02946  0.50   78522    2313   77359  4253257  54.17
1835-1839        3      0.01743  0.01728  0.49   76209    1317   75544  4175898  54.80
1835-1839        4      0.00990  0.00985  0.49   74893     738   74520  4100354  54.75
1835-1839        5      0.00815  0.00812  0.50   74155     602   73853  4025835  54.29
1835-1839        6      0.00769  0.00766  0.50   73553     563   73273  3951981  53.73
1835-1839        7      0.00749  0.00746  0.51   72990     545   72720  3878708  53.14
1835-1839        8      0.00727  0.00725  0.51   72445     525   72187  3805988  52.54
1835-1839        9      0.00702  0.00699  0.51   71920     503   71673  3733801  51.92
1835-1839       10      0.00653  0.00651  0.51   71417     465   71188  3662128  51.28
1835-1839       11      0.00578  0.00576  0.50   70952     409   70749  3590940  50.61
1835-1839       12      0.00513  0.00512  0.50   70543     361   70364  3520190  49.90
1835-1839       13      0.00475  0.00474  0.51   70182     332   70019  3449826  49.16
1835-1839       14      0.00466  0.00465  0.51   69850     325   69690  3379808  48.39
1835-1839       15      0.00482  0.00481  0.51   69525     334   69361  3310118  47.61
1835-1839       16      0.00504  0.00502  0.51   69191     348   69020  3240757  46.84
1835-1839       17      0.00530  0.00529  0.51   68843     364   68664  3171737  46.07
1835-1839       18      0.00564  0.00562  0.51   68479     385   68289  3103072  45.31
1835-1839       19      0.00604  0.00603  0.51   68094     410   67892  3034783  44.57
1835-1839       20      0.00655  0.00653  0.50   67684     442   67463  2966891  43.83
1835-1839       21      0.00696  0.00694  0.50   67242     466   67010  2899428  43.12
1835-1839       22      0.00707  0.00705  0.50   66775     471   66539  2832418  42.42
1835-1839       23      0.00693  0.00690  0.50   66305     458   66076  2765879  41.71
1835-1839       24      0.00736  0.00733  0.51   65847     483   65612  2699803  41.00
1835-1839       25      0.00796  0.00793  0.50   65364     518   65107  2634191  40.30
1835-1839       26      0.00811  0.00807  0.50   64846     524   64586  2569085  39.62
1835-1839       27      0.00813  0.00809  0.50   64323     521   64062  2504499  38.94
1835-1839       28      0.00804  0.00801  0.50   63802     511   63547  2440437  38.25
1835-1839       29      0.00781  0.00777  0.50   63291     492   63042  2376890  37.56
1835-1839       30      0.00767  0.00764  0.50   62799     480   62558  2313847  36.85
1835-1839       31      0.00778  0.00775  0.50   62319     483   62078  2251289  36.13
1835-1839       32      0.00802  0.00799  0.50   61836     494   61590  2189211  35.40
1835-1839       33      0.00831  0.00828  0.50   61342     508   61089  2127621  34.68
1835-1839       34      0.00879  0.00875  0.50   60834     532   60570  2066533  33.97
1835-1839       35      0.00942  0.00937  0.51   60302     565   60022  2005963  33.27
1835-1839       36      0.00969  0.00965  0.50   59737     576   59450  1945940  32.58
1835-1839       37      0.00961  0.00957  0.50   59161     566   58878  1886490  31.89
1835-1839       38      0.00954  0.00950  0.50   58595     557   58317  1827612  31.19
1835-1839       39      0.00965  0.00960  0.50   58038     557   57761  1769295  30.49
1835-1839       40      0.00974  0.00970  0.50   57481     557   57203  1711534  29.78
1835-1839       41      0.00975  0.00970  0.50   56923     552   56649  1654330  29.06
1835-1839       42      0.00987  0.00982  0.50   56371     554   56096  1597681  28.34
1835-1839       43      0.01005  0.01000  0.50   55817     558   55541  1541585  27.62
1835-1839       44      0.01042  0.01037  0.50   55259     573   54975  1486044  26.89
1835-1839       45      0.01070  0.01064  0.50   54686     582   54397  1431069  26.17
1835-1839       46      0.01092  0.01086  0.50   54104     588   53813  1376672  25.44
1835-1839       47      0.01120  0.01114  0.50   53516     596   53221  1322859  24.72
1835-1839       48      0.01158  0.01152  0.50   52920     609   52619  1269638  23.99
1835-1839       49      0.01212  0.01205  0.51   52311     630   51999  1217020  23.27
1835-1839       50      0.01292  0.01283  0.51   51680     663   51353  1165020  22.54
1835-1839       51      0.01376  0.01367  0.51   51017     697   50673  1113668  21.83
1835-1839       52      0.01467  0.01456  0.51   50320     733   49959  1062995  21.12
1835-1839       53      0.01557  0.01545  0.51   49587     766   49208  1013036  20.43
1835-1839       54      0.01641  0.01628  0.50   48821     795   48427   963828  19.74
1835-1839       55      0.01727  0.01713  0.50   48027     822   47619   915400  19.06
1835-1839       56      0.01788  0.01772  0.50   47204     836   46788   867782  18.38
1835-1839       57      0.01851  0.01835  0.50   46368     851   45946   820993  17.71
1835-1839       58      0.01916  0.01898  0.50   45517     864   45087   775047  17.03
1835-1839       59      0.02042  0.02021  0.51   44653     903   44208   729960  16.35
1835-1839       60      0.02265  0.02240  0.51   43751     980   43268   685752  15.67
1835-1839       61      0.02465  0.02435  0.51   42771    1042   42256   642484  15.02
1835-1839       62      0.02608  0.02575  0.50   41729    1074   41196   600228  14.38
1835-1839       63      0.02773  0.02736  0.51   40655    1112   40105   559031  13.75
1835-1839       64      0.03030  0.02985  0.51   39542    1180   38959   518926  13.12
1835-1839       65      0.03342  0.03288  0.51   38362    1261   37739   479967  12.51
1835-1839       66      0.03634  0.03570  0.51   37101    1324   36447   442228  11.92
1835-1839       67      0.03945  0.03870  0.51   35776    1384   35094   405781  11.34
1835-1839       68      0.04272  0.04184  0.51   34392    1439   33681   370687  10.78
1835-1839       69      0.04663  0.04558  0.51   32953    1502   32213   337006  10.23
1835-1839       70      0.05119  0.04993  0.51   31451    1570   30676   304793   9.69
1835-1839       71      0.05587  0.05438  0.51   29880    1625   29081   274117   9.17
1835-1839       72      0.06065  0.05889  0.51   28256    1664   27435   245036   8.67
1835-1839       73      0.06520  0.06317  0.51   26592    1680   25762   217601   8.18
1835-1839       74      0.07139  0.06897  0.51   24912    1718   24065   191839   7.70
1835-1839       75      0.08054  0.07748  0.51   23194    1797   22313   167774   7.23
1835-1839       76      0.09082  0.08694  0.51   21397    1860   20483   145461   6.80
1835-1839       77      0.10097  0.09620  0.51   19536    1879   18613   124978   6.40
1835-1839       78      0.10732  0.10188  0.50   17657    1799   16762   106366   6.02
1835-1839       79      0.11768  0.11120  0.51   15858    1763   14985    89603   5.65
1835-1839       80      0.12785  0.12022  0.50   14095    1694   13254    74618   5.29
1835-1839       81      0.13546  0.12690  0.50   12400    1574   11616    61364   4.95
1835-1839       82      0.15317  0.14237  0.50   10827    1541   10064    49748   4.59
1835-1839       83      0.17872  0.16434  0.51    9285    1526    8539    39684   4.27
1835-1839       84      0.18750  0.17169  0.51    7759    1332    7105    31146   4.01
1835-1839       85      0.21337  0.19284  0.50    6427    1239    5809    24041   3.74
1835-1839       86      0.22656  0.20361  0.50    5188    1056    4662    18232   3.51
1835-1839       87      0.24709  0.22046  0.51    4131     911    3686    13570   3.28
1835-1839       88      0.27661  0.24326  0.50    3221     783    2832     9884   3.07
1835-1839       89      0.30320  0.26370  0.51    2437     643    2120     7052   2.89
1835-1839       90      0.30843  0.26735  0.50    1795     480    1555     4932   2.75
1835-1839       91      0.33816  0.29025  0.51    1315     382    1128     3376   2.57
1835-1839       92      0.38046  0.31987  0.50     933     298     785     2248   2.41
1835-1839       93      0.39027  0.32563  0.49     635     207     530     1463   2.31
1835-1839       94      0.41181  0.34400  0.52     428     147     358      934   2.18
1835-1839       95      0.44169  0.36096  0.49     281     101     229      576   2.05
1835-1839       96      0.45896  0.37380  0.50     179      67     146      347   1.93
1835-1839       97      0.48787  0.39079  0.49     112      44      90      201   1.79
1835-1839       98      0.55024  0.43000  0.49      68      29      53      111   1.62
1835-1839       99      0.60774  0.46995  0.52      39      18      30       57   1.47
1835-1839      100      0.72578  0.52613  0.48      21      11      15       27   1.32
1835-1839      101      0.93351  0.62678  0.48      10       6       7       12   1.25
1835-1839      102      0.91727  0.60950  0.45       4       2       2        6   1.54
1835-1839      103      0.98658  0.66216  0.50       1       1       1        3   2.25
1835-1839      104      0.00000  0.00000  0.50       0       0       0        2   4.67
1835-1839      105      0.00000  0.00000  0.50       0       0       0        2   3.67
1835-1839      106      0.00000  0.00000  0.50       0       0       0        1   2.67
1835-1839      107      0.00000  0.00000  0.50       0       0       0        1   1.67
1835-1839      108      1.50000  1.00000  0.67       0       0       0        0   0.67
1835-1839      109            .        .     .       0       0       0        0      .
1835-1839      110+           .        .     .       0       0       0        0      .
1840-1849        0      0.21460  0.18678  0.31  100000   18678   87033  4408979  44.09
1840-1849        1      0.03960  0.03879  0.47   81322    3154   79657  4321946  53.15
1840-1849        2      0.02709  0.02672  0.50   78168    2089   77120  4242289  54.27
1840-1849        3      0.01828  0.01811  0.50   76079    1378   75394  4165169  54.75
1840-1849        4      0.01333  0.01324  0.50   74701     989   74207  4089775  54.75
1840-1849        5      0.01126  0.01120  0.50   73712     825   73301  4015568  54.48
1840-1849        6      0.00982  0.00977  0.50   72887     712   72532  3942267  54.09
1840-1849        7      0.00857  0.00853  0.50   72174     616   71869  3869736  53.62
1840-1849        8      0.00769  0.00766  0.51   71559     548   71288  3797867  53.07
1840-1849        9      0.00696  0.00693  0.50   71010     492   70765  3726579  52.48
1840-1849       10      0.00625  0.00623  0.51   70518     440   70301  3655814  51.84
1840-1849       11      0.00580  0.00578  0.51   70079     405   69879  3585514  51.16
1840-1849       12      0.00548  0.00547  0.51   69673     381   69485  3515635  50.46
1840-1849       13      0.00515  0.00513  0.50   69293     356   69116  3446150  49.73
1840-1849       14      0.00504  0.00503  0.51   68937     347   68766  3377034  48.99
1840-1849       15      0.00517  0.00516  0.51   68590     354   68417  3308268  48.23
1840-1849       16      0.00543  0.00542  0.51   68237     370   68055  3239851  47.48
1840-1849       17      0.00568  0.00567  0.51   67867     385   67677  3171796  46.74
1840-1849       18      0.00595  0.00593  0.51   67483     400   67285  3104118  46.00
1840-1849       19      0.00632  0.00631  0.51   67082     423   66873  3036834  45.27
1840-1849       20      0.00681  0.00679  0.50   66659     453   66434  2969961  44.55
1840-1849       21      0.00727  0.00725  0.50   66207     480   65968  2903527  43.86
1840-1849       22      0.00764  0.00761  0.50   65727     500   65478  2837560  43.17
1840-1849       23      0.00785  0.00782  0.50   65227     510   64972  2772082  42.50
1840-1849       24      0.00766  0.00763  0.50   64716     494   64468  2707110  41.83
1840-1849       25      0.00732  0.00730  0.50   64223     469   63988  2642642  41.15
1840-1849       26      0.00722  0.00720  0.50   63754     459   63524  2578654  40.45
1840-1849       27      0.00720  0.00717  0.50   63295     454   63068  2515129  39.74
1840-1849       28      0.00727  0.00724  0.50   62841     455   62614  2452061  39.02
1840-1849       29      0.00738  0.00735  0.50   62386     459   62157  2389447  38.30
1840-1849       30      0.00756  0.00753  0.50   61928     466   61695  2327290  37.58
1840-1849       31      0.00775  0.00772  0.50   61461     475   61224  2265595  36.86
1840-1849       32      0.00790  0.00787  0.50   60987     480   60747  2204370  36.15
1840-1849       33      0.00805  0.00801  0.50   60507     485   60265  2143624  35.43
1840-1849       34      0.00815  0.00811  0.50   60022     487   59778  2083359  34.71
1840-1849       35      0.00817  0.00814  0.50   59535     485   59293  2023581  33.99
1840-1849       36      0.00825  0.00821  0.50   59050     485   58809  1964287  33.26
1840-1849       37      0.00838  0.00834  0.50   58565     488   58322  1905479  32.54
1840-1849       38      0.00857  0.00854  0.50   58077     496   57830  1847156  31.81
1840-1849       39      0.00876  0.00872  0.50   57581     502   57331  1789326  31.07
1840-1849       40      0.00893  0.00889  0.50   57079     507   56826  1731995  30.34
1840-1849       41      0.00911  0.00907  0.50   56571     513   56317  1675169  29.61
1840-1849       42      0.00934  0.00930  0.50   56058     521   55799  1618852  28.88
1840-1849       43      0.00959  0.00954  0.50   55537     530   55273  1563053  28.14
1840-1849       44      0.00979  0.00974  0.50   55007     536   54740  1507779  27.41
1840-1849       45      0.01002  0.00997  0.50   54471     543   54201  1453039  26.68
1840-1849       46      0.01031  0.01025  0.50   53928     553   53653  1398838  25.94
1840-1849       47      0.01067  0.01061  0.50   53375     566   53094  1345184  25.20
1840-1849       48      0.01106  0.01100  0.50   52808     581   52520  1292091  24.47
1840-1849       49      0.01160  0.01154  0.50   52228     602   51929  1239571  23.73
1840-1849       50      0.01225  0.01218  0.50   51625     629   51313  1187642  23.01
1840-1849       51      0.01288  0.01280  0.50   50996     653   50672  1136329  22.28
1840-1849       52      0.01344  0.01335  0.50   50344     672   50010  1085657  21.56
1840-1849       53      0.01407  0.01397  0.50   49672     694   49327  1035647  20.85
1840-1849       54      0.01475  0.01464  0.50   48978     717   48622   986320  20.14
1840-1849       55      0.01557  0.01545  0.50   48260     746   47891   937698  19.43
1840-1849       56      0.01650  0.01637  0.50   47515     778   47129   889808  18.73
1840-1849       57      0.01753  0.01737  0.50   46737     812   46334   842679  18.03
1840-1849       58      0.01875  0.01858  0.50   45925     853   45502   796345  17.34
1840-1849       59      0.01997  0.01978  0.50   45072     891   44629   750843  16.66
1840-1849       60      0.02106  0.02084  0.50   44180     921   43723   706214  15.98
1840-1849       61      0.02255  0.02230  0.50   43260     965   42782   662490  15.31
1840-1849       62      0.02448  0.02419  0.51   42295    1023   41789   619708  14.65
1840-1849       63      0.02661  0.02627  0.50   41272    1084   40735   577919  14.00
1840-1849       64      0.02887  0.02847  0.50   40188    1144   39621   537185  13.37
1840-1849       65      0.03126  0.03079  0.50   39044    1202   38449   497564  12.74
1840-1849       66      0.03400  0.03344  0.51   37842    1265   37217   459115  12.13
1840-1849       67      0.03721  0.03654  0.51   36576    1336   35915   421899  11.53
1840-1849       68      0.03999  0.03921  0.50   35240    1382   34553   385984  10.95
1840-1849       69      0.04362  0.04269  0.50   33858    1445   33139   351431  10.38
1840-1849       70      0.04762  0.04652  0.50   32413    1508   31666   318291   9.82
1840-1849       71      0.05228  0.05096  0.50   30905    1575   30125   286626   9.27
1840-1849       72      0.05766  0.05607  0.51   29330    1644   28518   256501   8.75
1840-1849       73      0.06367  0.06173  0.51   27686    1709   26842   227983   8.23
1840-1849       74      0.07142  0.06899  0.51   25977    1792   25093   201141   7.74
1840-1849       75      0.07929  0.07630  0.51   24185    1845   23273   176048   7.28
