Denmark, Life tables (cohort 1x5), Females	Last modified: 24 Feb 2024;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1835-1839        0      0.18365  0.16310  0.31  100000   16310   88813  4553896  45.54
1835-1839        1      0.04253  0.04159  0.47   83690    3481   81845  4465083  53.35
1835-1839        2      0.02869  0.02828  0.50   80209    2268   79069  4383238  54.65
1835-1839        3      0.01771  0.01755  0.50   77941    1368   77250  4304169  55.22
1835-1839        4      0.01088  0.01082  0.50   76573     829   76154  4226919  55.20
1835-1839        5      0.00877  0.00873  0.50   75744     661   75413  4150764  54.80
1835-1839        6      0.00799  0.00796  0.51   75083     598   74788  4075352  54.28
1835-1839        7      0.00764  0.00761  0.51   74485     567   74205  4000564  53.71
1835-1839        8      0.00743  0.00740  0.51   73918     547   73650  3926359  53.12
1835-1839        9      0.00724  0.00721  0.51   73371     529   73110  3852709  52.51
1835-1839       10      0.00677  0.00675  0.51   72842     492   72600  3779599  51.89
1835-1839       11      0.00602  0.00600  0.50   72350     434   72135  3706999  51.24
1835-1839       12      0.00532  0.00531  0.50   71916     382   71726  3634864  50.54
1835-1839       13      0.00500  0.00499  0.51   71534     357   71360  3563138  49.81
1835-1839       14      0.00502  0.00501  0.51   71178     356   71002  3491778  49.06
1835-1839       15      0.00514  0.00513  0.51   70821     363   70643  3420776  48.30
1835-1839       16      0.00531  0.00529  0.51   70458     373   70275  3350133  47.55
1835-1839       17      0.00555  0.00553  0.51   70085     388   69896  3279858  46.80
1835-1839       18      0.00574  0.00572  0.51   69697     399   69500  3209962  46.06
1835-1839       19      0.00588  0.00587  0.51   69298     406   69098  3140462  45.32
1835-1839       20      0.00621  0.00619  0.51   68892     426   68682  3071364  44.58
1835-1839       21      0.00663  0.00661  0.51   68466     453   68243  3002682  43.86
1835-1839       22      0.00682  0.00679  0.50   68013     462   67783  2934440  43.15
1835-1839       23      0.00676  0.00674  0.50   67551     455   67324  2866657  42.44
1835-1839       24      0.00701  0.00698  0.51   67096     469   66866  2799332  41.72
1835-1839       25      0.00745  0.00742  0.51   66627     494   66383  2732467  41.01
1835-1839       26      0.00787  0.00784  0.51   66133     518   65878  2666083  40.31
1835-1839       27      0.00813  0.00810  0.50   65614     531   65351  2600206  39.63
1835-1839       28      0.00821  0.00818  0.50   65083     532   64819  2534855  38.95
1835-1839       29      0.00824  0.00821  0.50   64551     530   64287  2470036  38.26
1835-1839       30      0.00828  0.00825  0.50   64021     528   63758  2405749  37.58
1835-1839       31      0.00844  0.00841  0.50   63493     534   63229  2341990  36.89
1835-1839       32      0.00874  0.00870  0.50   62959     548   62688  2278762  36.19
1835-1839       33      0.00915  0.00911  0.51   62412     569   62131  2216074  35.51
1835-1839       34      0.00968  0.00963  0.51   61843     596   61548  2153943  34.83
1835-1839       35      0.01019  0.01014  0.51   61247     621   60940  2092395  34.16
1835-1839       36      0.01039  0.01033  0.50   60626     627   60315  2031455  33.51
1835-1839       37      0.01024  0.01019  0.50   59999     612   59695  1971140  32.85
1835-1839       38      0.01002  0.00997  0.50   59388     592   59094  1911445  32.19
1835-1839       39      0.00989  0.00985  0.50   58796     579   58509  1852351  31.50
1835-1839       40      0.00970  0.00965  0.50   58217     562   57937  1793842  30.81
1835-1839       41      0.00939  0.00935  0.50   57655     539   57388  1735905  30.11
1835-1839       42      0.00940  0.00935  0.51   57116     534   56852  1678518  29.39
1835-1839       43      0.00946  0.00941  0.50   56582     533   56318  1621666  28.66
1835-1839       44      0.00967  0.00963  0.51   56049     540   55783  1565348  27.93
