Scotland, Life tables (period 5x10), Females	Last modified: 14 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1855-1859        0      0.11544  0.10697  0.31  100000   10697   92663  4502979  45.03
1855-1859      1-4      0.03628  0.13270  1.42   89303   11850  326664  4410316  49.39
1855-1859      5-9      0.00889  0.04331  1.98   77453    3354  377141  4083651  52.72
1855-1859     10-14     0.00464  0.02295  2.52   74099    1701  366277  3706511  50.02
1855-1859     15-19     0.00616  0.03036  2.61   72398    2198  356734  3340234  46.14
1855-1859     20-24     0.00781  0.03831  2.55   70200    2689  344409  2983500  42.50
1855-1859     25-29     0.00880  0.04307  2.53   67511    2907  330366  2639091  39.09
1855-1859     30-34     0.00986  0.04812  2.52   64603    3109  315308  2308725  35.74
1855-1859     35-39     0.01048  0.05106  2.50   61494    3140  299630  1993418  32.42
1855-1859     40-44     0.01158  0.05628  2.51   58355    3284  283593  1693787  29.03
1855-1859     45-49     0.01210  0.05872  2.53   55071    3234  267368  1410194  25.61
1855-1859     50-54     0.01649  0.07930  2.59   51837    4111  249258  1142826  22.05
1855-1859     55-59     0.01884  0.09005  2.55   47726    4298  228104   893567  18.72
1855-1859     60-64     0.03085  0.14375  2.63   43428    6243  202335   665464  15.32
1855-1859     65-69     0.04057  0.18455  2.55   37185    6863  169141   463129  12.45
1855-1859     70-74     0.06796  0.29156  2.56   30323    8841  130082   293988   9.70
1855-1859     75-79     0.09578  0.38455  2.44   21482    8261   86251   163906   7.63
1855-1859     80-84     0.14071  0.51551  2.41   13221    6816   48436    77655   5.87
1855-1859     85-89     0.19771  0.63596  2.20    6405    4074   20604    29219   4.56
1855-1859     90-94     0.24888  0.72450  2.12    2332    1689    6788     8615   3.69
1855-1859     95-99     0.33820  0.82930  1.93     642     533    1575     1827   2.84
1855-1859    100-104    0.42696  0.89469  1.75     110      98     230      252   2.30
1855-1859    105-109    0.52081  0.93714  1.58      12      11      21       22   1.90
1855-1859    110+       0.59704  1.00000  1.67       1       1       1        1   1.67
1860-1869        0      0.12170  0.11233  0.31  100000   11233   92296  4343782  43.44
1860-1869      1-4      0.03766  0.13734  1.43   88767   12191  323745  4251487  47.89
1860-1869      5-9      0.00925  0.04501  2.02   76576    3447  372608  3927742  51.29
1860-1869     10-14     0.00525  0.02594  2.54   73129    1897  360986  3555134  48.61
1860-1869     15-19     0.00730  0.03587  2.60   71232    2555  350034  3194148  44.84
1860-1869     20-24     0.00862  0.04219  2.53   68677    2898  336227  2844113  41.41
1860-1869     25-29     0.00962  0.04698  2.51   65780    3090  321193  2507886  38.13
1860-1869     30-34     0.01004  0.04900  2.51   62689    3072  305814  2186693  34.88
1860-1869     35-39     0.01166  0.05667  2.53   59618    3379  289757  1880879  31.55
1860-1869     40-44     0.01264  0.06125  2.49   56239    3445  272557  1591122  28.29
1860-1869     45-49     0.01388  0.06713  2.55   52795    3544  255285  1318564  24.98
1860-1869     50-54     0.01727  0.08283  2.52   49250    4079  236143  1063279  21.59
1860-1869     55-59     0.02039  0.09719  2.61   45171    4390  215345   827136  18.31
1860-1869     60-64     0.03181  0.14762  2.57   40781    6020  189250   611791  15.00
1860-1869     65-69     0.04153  0.18860  2.57   34760    6556  157877   422542  12.16
1860-1869     70-74     0.07016  0.29946  2.56   28205    8446  120377   264665   9.38
1860-1869     75-79     0.10427  0.41208  2.46   19758    8142   78088   144288   7.30
1860-1869     80-84     0.14746  0.53201  2.38   11616    6180   41910    66199   5.70
1860-1869     85-89     0.20353  0.64695  2.18    5436    3517   17280    24290   4.47
1860-1869     90-94     0.25134  0.72456  2.08    1919    1391    5533     7009   3.65
1860-1869     95-99     0.34530  0.83554  1.91     529     442    1279     1476   2.79
1860-1869    100-104    0.43305  0.89798  1.74      87      78     180      197   2.27
1860-1869    105-109    0.52534  0.93857  1.58       9       8      16       17   1.89
1860-1869    110+       0.60015  1.00000  1.67       1       1       1        1   1.67
1870-1879        0      0.12157  0.11221  0.31  100000   11221   92303  4396721  43.97
1870-1879      1-4      0.03303  0.12177  1.42   88779   10811  327266  4304418  48.48
1870-1879      5-9      0.00887  0.04322  2.06   77968    3370  379936  3977152  51.01
1870-1879     10-14     0.00531  0.02619  2.53   74598    1954  368172  3597216  48.22
1870-1879     15-19     0.00726  0.03569  2.61   72644    2593  357019  3229044  44.45
1870-1879     20-24     0.00883  0.04319  2.54   70051    3025  342809  2872026  41.00
1870-1879     25-29     0.00972  0.04746  2.50   67026    3181  327173  2529216  37.73
1870-1879     30-34     0.00999  0.04873  2.51   63845    3111  311483  2202044  34.49
1870-1879     35-39     0.01141  0.05550  2.53   60734    3371  295339  1890561  31.13
1870-1879     40-44     0.01249  0.06057  2.50   57363    3474  278121  1595222  27.81
1870-1879     45-49     0.01395  0.06745  2.57   53889    3635  260596  1317100  24.44
1870-1879     50-54     0.01865  0.08915  2.55   50254    4480  240292  1056504  21.02
1870-1879     55-59     0.02250  0.10672  2.58   45773    4885  217066   816212  17.83
1870-1879     60-64     0.03389  0.15650  2.56   40889    6399  188829   599146  14.65
