Czechia, Life tables (period 5x10), Females	Last modified: 25 Jan 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1950-1959        0      0.03259  0.03174  0.17  100000    3174   97376  7038995  70.39
1950-1959      1-4      0.00160  0.00636  1.42   96826     616  385713  6941619  71.69
1950-1959      5-9      0.00045  0.00224  2.23   96210     215  480454  6555906  68.14
1950-1959     10-14     0.00040  0.00201  2.63   95995     193  479515  6075452  63.29
1950-1959     15-19     0.00065  0.00327  2.73   95801     313  478297  5595937  58.41
1950-1959     20-24     0.00090  0.00450  2.57   95488     430  476399  5117641  53.59
1950-1959     25-29     0.00108  0.00537  2.51   95059     510  474025  4641241  48.82
1950-1959     30-34     0.00133  0.00665  2.57   94548     629  471216  4167216  44.07
1950-1959     35-39     0.00188  0.00938  2.66   93920     881  467535  3696000  39.35
1950-1959     40-44     0.00270  0.01343  2.62   93039    1250  462225  3228465  34.70
1950-1959     45-49     0.00400  0.01981  2.67   91789    1818  454703  2766239  30.14
1950-1959     50-54     0.00623  0.03069  2.67   89971    2762  443414  2311536  25.69
1950-1959     55-59     0.00976  0.04772  2.66   87209    4161  426320  1868122  21.42
1950-1959     60-64     0.01627  0.07841  2.68   83048    6512  400133  1441802  17.36
1950-1959     65-69     0.02868  0.13441  2.67   76536   10287  358724  1041669  13.61
1950-1959     70-74     0.05094  0.22714  2.62   66248   15048  295428   682945  10.31
1950-1959     75-79     0.08810  0.36215  2.54   51200   18542  210478   387517   7.57
1950-1959     80-84     0.14710  0.53179  2.40   32658   17367  118068   177039   5.42
1950-1959     85-89     0.23172  0.70380  2.21   15291   10762   46443    58971   3.86
1950-1959     90-94     0.34488  0.84107  1.95    4529    3809   11045    12527   2.77
1950-1959     95-99     0.47722  0.92376  1.68     720     665    1393     1482   2.06
1950-1959    100-104    0.61424  0.96456  1.44      55      53      86       89   1.62
1950-1959    105-109    0.73658  0.98208  1.27       2       2       3        3   1.36
1950-1959    110+       0.82172  1.00000  1.22       0       0       0        0   1.22
1960-1969        0      0.01823  0.01794  0.12  100000    1794   98416  7339331  73.39
1960-1969      1-4      0.00078  0.00312  1.57   98206     306  392078  7240914  73.73
1960-1969      5-9      0.00034  0.00169  2.26   97900     166  489045  6848836  69.96
1960-1969     10-14     0.00027  0.00134  2.58   97734     131  488354  6359791  65.07
1960-1969     15-19     0.00049  0.00245  2.69   97603     240  487462  5871437  60.16
1960-1969     20-24     0.00054  0.00271  2.55   97364     263  486172  5383976  55.30
1960-1969     25-29     0.00064  0.00321  2.59   97100     312  484748  4897804  50.44
1960-1969     30-34     0.00088  0.00438  2.66   96788     424  482950  4413055  45.59
1960-1969     35-39     0.00133  0.00661  2.65   96364     637  480323  3930106  40.78
1960-1969     40-44     0.00204  0.01017  2.68   95727     974  476376  3449783  36.04
1960-1969     45-49     0.00329  0.01630  2.66   94753    1545  470157  2973407  31.38
1960-1969     50-54     0.00518  0.02561  2.67   93209    2387  460487  2503251  26.86
1960-1969     55-59     0.00829  0.04070  2.69   90821    3696  445573  2042763  22.49
1960-1969     60-64     0.01394  0.06752  2.68   87125    5883  422005  1597190  18.33
1960-1969     65-69     0.02461  0.11640  2.68   81243    9456  384265  1175185  14.47
1960-1969     70-74     0.04416  0.20002  2.65   71786   14359  325136   790919  11.02
1960-1969     75-79     0.07766  0.32641  2.56   57427   18745  241377   465783   8.11
1960-1969     80-84     0.13328  0.49677  2.44   38682   19216  144174   224406   5.80
1960-1969     85-89     0.21371  0.67211  2.24   19466   13083   61220    80232   4.12
1960-1969     90-94     0.31602  0.81243  2.01    6383    5186   16409    19012   2.98
1960-1969     95-99     0.45015  0.91133  1.73    1197    1091    2424     2603   2.17
1960-1969    100-104    0.58807  0.95899  1.49     106     102     173      179   1.69
1960-1969    105-109    0.71474  0.97977  1.30       4       4       6        6   1.40
1960-1969    110+       0.80470  1.00000  1.24       0       0       0        0   1.24
1970-1979        0      0.01623  0.01600  0.12  100000    1600   98585  7383452  73.83
1970-1979      1-4      0.00055  0.00221  1.69   98400     218  393094  7284867  74.03
1970-1979      5-9      0.00029  0.00146  2.23   98182     143  490514  6891772  70.19
1970-1979     10-14     0.00023  0.00115  2.61   98039     113  489925  6401258  65.29
1970-1979     15-19     0.00044  0.00219  2.68   97926     214  489134  5911333  60.37
1970-1979     20-24     0.00048  0.00240  2.51   97712     234  487977  5422199  55.49
1970-1979     25-29     0.00056  0.00282  2.55   97478     274  486718  4934222  50.62
1970-1979     30-34     0.00075  0.00373  2.64   97203     362  485163  4447504  45.75
1970-1979     35-39     0.00116  0.00576  2.69   96841     558  482914  3962341  40.92
1970-1979     40-44     0.00194  0.00965  2.70   96283     929  479275  3479427  36.14
1970-1979     45-49     0.00323  0.01605  2.68   95353    1530  473211  3000152  31.46
1970-1979     50-54     0.00524  0.02590  2.67   93823    2430  463449  2526941  26.93
1970-1979     55-59     0.00835  0.04095  2.68   91393    3743  448279  2063493  22.58
1970-1979     60-64     0.01388  0.06723  2.67   87650    5893  424549  1615214  18.43
1970-1979     65-69     0.02405  0.11390  2.68   81758    9312  387200  1190665  14.56
1970-1979     70-74     0.04335  0.19666  2.64   72446   14247  328663   803465  11.09
1970-1979     75-79     0.07678  0.32362  2.57   58199   18834  245287   474803   8.16
1970-1979     80-84     0.13208  0.49342  2.44   39365   19423  147058   229516   5.83
1970-1979     85-89     0.21168  0.66915  2.25   19941   13344   63036    82457   4.14
1970-1979     90-94     0.32112  0.81903  2.01    6598    5404   16828    19422   2.94
1970-1979     95-99     0.45047  0.91158  1.73    1194    1088    2416     2594   2.17
1970-1979    100-104    0.58936  0.95933  1.48     106     101     172      178   1.68
1970-1979    105-109    0.71669  0.98001  1.29       4       4       6        6   1.39
1970-1979    110+       0.80684  1.00000  1.24       0       0       0        0   1.24
1980-1989        0      0.01122  0.01112  0.13  100000    1112   99028  7467797  74.68
1980-1989      1-4      0.00044  0.00174  1.66   98888     173  395150  7368768  74.52
