England and Wales, Civilian National Population, Exposure to risk (cohort 5x10), 	Last modified: 23 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1764-1769        0                    .               .               .
1764-1769      1-4                    .               .               .
1764-1769      5-9                    .               .               .
1764-1769     10-14                   .               .               .
1764-1769     15-19                   .               .               .
1764-1769     20-24                   .               .               .
1764-1769     25-29                   .               .               .
1764-1769     30-34                   .               .               .
1764-1769     35-39                   .               .               .
1764-1769     40-44                   .               .               .
1764-1769     45-49                   .               .               .
1764-1769     50-54                   .               .               .
1764-1769     55-59                   .               .               .
1764-1769     60-64                   .               .               .
1764-1769     65-69                   .               .               .
1764-1769     70-74                   .               .               .
1764-1769     75-79           402535.78       334845.48       737381.27
1764-1769     80-84           278434.11       208625.08       487059.19
1764-1769     85-89           108642.23        71897.08       180539.31
1764-1769     90-94            29476.10        16926.25        46402.35
1764-1769     95-99             5078.02         2547.46         7625.48
1764-1769    100-104             529.68          199.97          729.65
1764-1769    105-109              27.08            1.96           29.04
1764-1769    110+                  0.00            0.00            0.00
1770-1779        0                    .               .               .
1770-1779      1-4                    .               .               .
1770-1779      5-9                    .               .               .
1770-1779     10-14                   .               .               .
1770-1779     15-19                   .               .               .
1770-1779     20-24                   .               .               .
1770-1779     25-29                   .               .               .
1770-1779     30-34                   .               .               .
1770-1779     35-39                   .               .               .
1770-1779     40-44                   .               .               .
1770-1779     45-49                   .               .               .
1770-1779     50-54                   .               .               .
1770-1779     55-59                   .               .               .
1770-1779     60-64                   .               .               .
1770-1779     65-69          1004765.90       881954.87      1886720.77
1770-1779     70-74          1195558.92      1012018.09      2207577.01
1770-1779     75-79           829268.40       668365.53      1497633.93
1770-1779     80-84           489893.03       362477.66       852370.69
1770-1779     85-89           190256.61       124581.48       314838.09
1770-1779     90-94            52540.51        29899.68        82440.19
1770-1779     95-99             9618.62         4451.92        14070.54
1770-1779    100-104             973.60          334.63         1308.23
1770-1779    105-109              26.16            1.22           27.38
1770-1779    110+                  0.00            0.00            0.00
1780-1789        0                    .               .               .
1780-1789      1-4                    .               .               .
1780-1789      5-9                    .               .               .
1780-1789     10-14                   .               .               .
1780-1789     15-19                   .               .               .
1780-1789     20-24                   .               .               .
1780-1789     25-29                   .               .               .
1780-1789     30-34                   .               .               .
1780-1789     35-39                   .               .               .
1780-1789     40-44                   .               .               .
1780-1789     45-49                   .               .               .
1780-1789     50-54                   .               .               .
1780-1789     55-59          1552601.54      1433345.20      2985946.75
1780-1789     60-64          2151633.14      1936251.59      4087884.73
1780-1789     65-69          1876626.70      1631888.45      3508515.15
1780-1789     70-74          1410826.15      1183591.23      2594417.38
1780-1789     75-79           929561.40       748662.26      1678223.66
1780-1789     80-84           536723.96       398308.53       935032.50
1780-1789     85-89           205827.76       134356.84       340184.60
1780-1789     90-94            53925.69        30367.44        84293.12
1780-1789     95-99             8639.88         4081.78        12721.67
1780-1789    100-104             837.14          311.68         1148.82
1780-1789    105-109              22.00            1.69           23.70
1780-1789    110+                  0.00            0.00            0.00
1790-1799        0                    .               .               .
1790-1799      1-4                    .               .               .
1790-1799      5-9                    .               .               .
1790-1799     10-14                   .               .               .
1790-1799     15-19                   .               .               .
1790-1799     20-24                   .               .               .
1790-1799     25-29                   .               .               .
1790-1799     30-34                   .               .               .
1790-1799     35-39                   .               .               .
1790-1799     40-44                   .               .               .
1790-1799     45-49          2246583.96      2161333.16      4407917.12
1790-1799     50-54          3199191.15      3043743.32      6242934.47
