Australia, Exposure to risk (cohort 5x10), 	Last modified: 10 Oct 2024;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1845-1849        0                    .               .               .
1845-1849      1-4                    .               .               .
1845-1849      5-9                    .               .               .
1845-1849     10-14                   .               .               .
1845-1849     15-19                   .               .               .
1845-1849     20-24                   .               .               .
1845-1849     25-29                   .               .               .
1845-1849     30-34                   .               .               .
1845-1849     35-39                   .               .               .
1845-1849     40-44                   .               .               .
1845-1849     45-49                   .               .               .
1845-1849     50-54                   .               .               .
1845-1849     55-59                   .               .               .
1845-1849     60-64                   .               .               .
1845-1849     65-69                   .               .               .
1845-1849     70-74                   .               .               .
1845-1849     75-79           107763.87       103542.69       211306.56
1845-1849     80-84            72610.38        61563.51       134173.89
1845-1849     85-89            33725.09        24596.79        58321.88
1845-1849     90-94            10595.57         6606.97        17202.54
1845-1849     95-99             1819.98         1058.90         2878.88
1845-1849    100-104             135.00           61.99          196.99
1845-1849    105-109               0.30            0.00            0.30
1845-1849    110+                  0.00            0.00            0.00
1850-1859        0                    .               .               .
1850-1859      1-4                    .               .               .
1850-1859      5-9                    .               .               .
1850-1859     10-14                   .               .               .
1850-1859     15-19                   .               .               .
1850-1859     20-24                   .               .               .
1850-1859     25-29                   .               .               .
1850-1859     30-34                   .               .               .
1850-1859     35-39                   .               .               .
1850-1859     40-44                   .               .               .
1850-1859     45-49                   .               .               .
1850-1859     50-54                   .               .               .
1850-1859     55-59                   .               .               .
1850-1859     60-64                   .               .               .
1850-1859     65-69           372088.56       417945.94       790034.49
1850-1859     70-74           452356.16       481874.86       934231.02
1850-1859     75-79           335430.02       326133.29       661563.31
1850-1859     80-84           219103.61       190211.13       409314.74
1850-1859     85-89            99210.19        72776.53       171986.73
1850-1859     90-94            30564.10        18858.18        49422.28
1850-1859     95-99             5641.66         3030.81         8672.47
1850-1859    100-104             475.90          254.23          730.13
1850-1859    105-109              28.93            4.90           33.84
1850-1859    110+                  0.73            0.00            0.73
1860-1869        0                    .               .               .
1860-1869      1-4                    .               .               .
1860-1869      5-9                    .               .               .
1860-1869     10-14                   .               .               .
1860-1869     15-19                   .               .               .
1860-1869     20-24                   .               .               .
1860-1869     25-29                   .               .               .
1860-1869     30-34                   .               .               .
1860-1869     35-39                   .               .               .
1860-1869     40-44                   .               .               .
1860-1869     45-49                   .               .               .
1860-1869     50-54                   .               .               .
1860-1869     55-59           654086.16       738953.46      1393039.62
1860-1869     60-64           961811.19      1063167.55      2024978.73
1860-1869     65-69           872577.19       912438.05      1785015.24
1860-1869     70-74           727832.49       709243.98      1437076.47
1860-1869     75-79           538574.64       476451.55      1015026.19
1860-1869     80-84           352095.43       273920.45       626015.89
1860-1869     85-89           164927.48       109292.73       274220.21
1860-1869     90-94            53949.38        29046.91        82996.29
1860-1869     95-99            10985.93         4567.24        15553.17
1860-1869    100-104            1164.49          382.53         1547.03
1860-1869    105-109              42.85           14.14           56.99
1860-1869    110+                  1.13            0.00            1.13
1870-1879        0                    .               .               .
1870-1879      1-4                    .               .               .
1870-1879      5-9                    .               .               .
1870-1879     10-14                   .               .               .
1870-1879     15-19                   .               .               .
1870-1879     20-24                   .               .               .
1870-1879     25-29                   .               .               .
1870-1879     30-34                   .               .               .
1870-1879     35-39                   .               .               .
1870-1879     40-44                   .               .               .
1870-1879     45-49           887602.41       944884.95      1832487.36
1870-1879     50-54          1352794.76      1441620.58      2794415.35
1870-1879     55-59          1307081.96      1353786.00      2660867.96
1870-1879     60-64          1215045.33      1205646.21      2420691.54
1870-1879     65-69          1087140.51      1016432.50      2103573.01
1870-1879     70-74           911022.79       788184.93      1699207.72
1870-1879     75-79           689658.21       532538.26      1222196.47
1870-1879     80-84           474340.76       310033.37       784374.12
1870-1879     85-89           237664.66       127898.75       365563.40
1870-1879     90-94            84530.63        35417.93       119948.56
1870-1879     95-99            18326.95         5946.10        24273.05
1870-1879    100-104            2288.80          600.45         2889.25
1870-1879    105-109             179.71           36.38          216.09
1870-1879    110+                  3.77            0.72            4.49
1880-1889        0                    .               .               .
1880-1889      1-4                    .               .               .
1880-1889      5-9                    .               .               .
1880-1889     10-14                   .               .               .
1880-1889     15-19                   .               .               .
1880-1889     20-24                   .               .               .
1880-1889     25-29                   .               .               .
1880-1889     30-34                   .               .               .
1880-1889     35-39          1261010.21      1322448.11      2583458.32
1880-1889     40-44          1940833.54      2040937.36      3981770.89
1880-1889     45-49          1925289.44      2018697.66      3943987.10
1880-1889     50-54          1852557.79      1921438.15      3773995.95
1880-1889     55-59          1770121.48      1792110.06      3562231.54
1880-1889     60-64          1659546.40      1607546.79      3267093.19
1880-1889     65-69          1505476.44      1352794.99      2858271.44
1880-1889     70-74          1290406.59      1049906.47      2340313.05
1880-1889     75-79          1004881.14       709838.60      1714719.74
1880-1889     80-84           705100.43       411014.02      1116114.45
1880-1889     85-89           368611.77       171044.72       539656.49
1880-1889     90-94           144607.04        50432.47       195039.51
1880-1889     95-99            38053.12         9720.76        47773.88
1880-1889    100-104            5803.39         1090.92         6894.31
1880-1889    105-109             406.28           70.17          476.46
1880-1889    110+                  4.68            0.00            4.68
1890-1899        0                    .               .               .
1890-1899      1-4                    .               .               .
1890-1899      5-9                    .               .               .
1890-1899     10-14                   .               .               .
1890-1899     15-19                   .               .               .
1890-1899     20-24                   .               .               .
