United Kingdom, Life expectancy at birth (period, 1x10)	Last modified: 28 Nov 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1922-1929     60.51    56.63    58.58
1930-1939     63.57    59.47    61.53
1940-1949     67.55    62.39    65.06
1950-1959     72.51    67.16    69.89
1960-1969     74.33    68.24    71.34
1970-1979     75.57    69.36    72.51
1980-1989     77.43    71.58    74.56
1990-1999     79.17    73.91    76.60
2000-2009     81.07    76.65    78.92
2010-2019     82.83    79.08    80.99
2020-2021     82.47    78.43    80.45
