France, Civilian Population, Exposure to risk (period 1x1), 	Last modified: 26 Aug 2024;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1816           0            408224.19       426130.37       834354.56
  1816           1            382452.05       399821.03       782273.08
  1816           2            351453.99       363400.89       714854.88
  1816           3            337733.13       349089.95       686823.09
  1816           4            331575.95       342626.58       674202.54
  1816           5            313553.99       326521.46       640075.45
  1816           6            306853.25       323499.68       630352.92
  1816           7            301860.39       318097.36       619957.76
  1816           8            296638.63       312456.81       609095.44
  1816           9            289057.31       304312.66       593369.97
  1816          10            289241.71       297433.94       586675.65
  1816          11            288732.04       290416.93       579148.96
  1816          12            286347.73       287943.64       574291.37
  1816          13            284360.18       285914.92       570275.10
  1816          14            283227.93       284839.87       568067.80
  1816          15            288579.87       285400.31       573980.18
  1816          16            291359.33       282969.97       574329.30
  1816          17            286102.94       278130.40       564233.35
  1816          18            278641.73       271143.10       549784.84
  1816          19            269791.67       262667.82       532459.49
  1816          20            277696.67       254225.06       531921.74
  1816          21            282093.29       243420.98       525514.27
  1816          22            268549.77       231410.73       499960.50
  1816          23            256876.31       220946.70       477823.01
  1816          24            246824.97       211889.72       458714.69
  1816          25            241060.96       201570.30       442631.26
  1816          26            240881.71       197019.56       437901.28
  1816          27            239737.47       195955.67       435693.14
  1816          28            240189.33       196264.55       436453.88
  1816          29            243038.35       198587.88       441626.22
  1816          30            232950.98       200163.71       433114.69
  1816          31            223302.23       202008.48       425310.71
  1816          32            221673.75       200555.21       422228.96
  1816          33            219527.00       198635.88       418162.88
  1816          34            217022.19       196409.99       413432.18
  1816          35            214880.04       195251.45       410131.49
  1816          36            210445.06       191875.67       402320.73
  1816          37            206078.74       187939.71       394018.45
  1816          38            200596.28       182969.93       383566.21
  1816          39            193966.43       176946.99       370913.42
  1816          40            194697.48       170573.29       365270.77
  1816          41            195270.28       164250.83       359521.10
  1816          42            188913.54       158860.01       347773.55
  1816          43            183994.07       154683.39       338677.46
  1816          44            179887.00       151222.58       331109.58
  1816          45            174415.12       148064.45       322479.57
  1816          46            171287.05       146637.61       317924.66
  1816          47            171184.31       146659.64       317843.95
  1816          48            170670.82       146349.67       317020.50
  1816          49            169993.71       145900.66       315894.37
  1816          50            163897.35       145542.27       309439.62
  1816          51            156946.95       144043.23       300990.18
  1816          52            154145.46       141578.21       295723.67
  1816          53            151110.34       138866.39       289976.73
  1816          54            147662.09       135724.96       283387.04
  1816          55            143510.21       133653.35       277163.56
  1816          56            137705.00       130246.71       267951.71
  1816          57            134590.47       127162.17       261752.63
  1816          58            130807.67       123441.99       254249.66
  1816          59            125926.28       118697.34       244623.62
  1816          60            122360.31       115335.46       237695.77
  1816          61            116078.81       109714.81       225793.63
  1816          62            110389.81       104340.49       214730.30
