Czechia, Life tables (period 5x1), Males	Last modified: 25 Jan 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1950           0      0.07559  0.07166  0.27  100000    7166   94803  6194950  61.95
  1950         1-4      0.00275  0.01091  1.48   92834    1013  368780  6100147  65.71
  1950         5-9      0.00088  0.00437  2.43   91821     402  458072  5731367  62.42
  1950        10-14     0.00096  0.00481  2.59   91419     440  456033  5273295  57.68
  1950        15-19     0.00169  0.00844  2.85   90979     768  453246  4817262  52.95
  1950        20-24     0.00224  0.01114  2.45   90211    1005  448493  4364016  48.38
  1950        25-29     0.00263  0.01306  2.55   89206    1165  443175  3915523  43.89
  1950        30-34     0.00271  0.01345  2.61   88042    1184  437374  3472349  39.44
  1950        35-39     0.00323  0.01601  2.53   86858    1391  430847  3034975  34.94
  1950        40-44     0.00480  0.02372  2.65   85467    2028  422576  2604128  30.47
  1950        45-49     0.00714  0.03514  2.69   83439    2932  410434  2181552  26.15
  1950        50-54     0.01222  0.05940  2.67   80507    4782  391414  1771118  22.00
  1950        55-59     0.01886  0.09023  2.60   75725    6833  362257  1379704  18.22
  1950        60-64     0.02989  0.13939  2.59   68892    9603  321287  1017447  14.77
  1950        65-69     0.04444  0.20045  2.56   59289   11885  267424   696160  11.74
  1950        70-74     0.07037  0.30001  2.54   47405   14222  202105   428736   9.04
  1950        75-79     0.10512  0.41449  2.45   33183   13754  130843   226631   6.83
  1950        80-84     0.16935  0.58589  2.37   19429   11383   67215    95788   4.93
  1950        85-89     0.25717  0.74345  2.16    8046    5982   23259    28573   3.55
  1950        90-94     0.37414  0.86790  1.91    2064    1791    4788     5314   2.57
  1950        95-99     0.51189  0.93709  1.62     273     256     499      526   1.93
  1950       100-104    0.64552  0.97018  1.40      17      17      26       26   1.54
  1950       105-109    0.76096  0.98433  1.23       1       1       1        1   1.31
  1950       110+       0.83963  1.00000  1.19       0       0       0        0   1.19
  1951           0      0.06532  0.06224  0.24  100000    6224   95278  6276523  62.77
  1951         1-4      0.00270  0.01073  1.38   93776    1006  372473  6181245  65.91
  1951         5-9      0.00087  0.00432  2.49   92770     401  462844  5808772  62.61
  1951        10-14     0.00080  0.00402  2.73   92370     371  461006  5345927  57.88
